assembly_accession	biosample	organism	rule_id	field	value	condition	evidence	status	detail	Host_SD	Host_TaxID	Host_Context_SD	Host_Health_State_SD	Host_Disease_SD	Isolation_Site_SD	Isolation_Source_SD	Sample_Type_SD
GCA_012365355.1	SAMN07781719	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing_different	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure		manure
GCA_030271535.1	SAMN32648606	Nocardiopsis sp. ATB16-24	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing_different	existing nonblank destination preserved per merge policy; existing=compost; proposed=agricultural organic material	Mammalia	40674				manure	clinical/host-associated material	cell culture
GCA_057611335.1	SAMN50509720	Hominicoprocola fusiformis	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	existing_different	existing nonblank destination preserved per merge policy; existing=healthy/control; proposed=healthy	Homo sapiens	9606		healthy/control	healthy/no disease reported		clinical/host-associated material	feces/stool
GCA_001512545.1	SAMN03777436	Clostridia bacterium DTU065	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing_different	existing nonblank destination preserved per merge policy; existing=wastewater; proposed=agricultural organic material	Bos taurus	9913				manure		manure
GCA_001512945.1	SAMN03778992	Clostridiales bacterium DTU023	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing_different	existing nonblank destination preserved per merge policy; existing=wastewater; proposed=agricultural organic material	Bos taurus	9913				manure		manure
GCA_964508185.1	SAMEA117305307	uncultured Sphingomonadales bacterium	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing_different	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material						manure		
GCA_013361755.1	SAMN14571733	Sinomonas sp.	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	existing_different	existing nonblank destination preserved per merge policy; existing=healthy/control; proposed=healthy				healthy/control	healthy/no disease reported		environmental material	
GCA_000736455.1	SAMN02911820	Staphylococcus aureus	PH2A-HHS-PATIENT-HUMAN-CONTEXT	Host_Context_SD	human-associated	human_host_evidence	human_host_evidence=true	existing_different	existing nonblank destination preserved per merge policy; existing=microbial self/lab culture descriptor; proposed=human-associated	Homo sapiens	9606	microbial self/lab culture descriptor	patient	sepsis/bacteremia		environmental material	laboratory
GCA_054956715.1	SAMN55022342	Exiguobacterium sp. EF_C8	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing_different	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Anser anser	8843				manure	environmental material	culture
GCA_056648225.1	SAMN56814150	Escherichia coli O157:H7	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing_different	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure		manure
GCA_056651445.1	SAMN56813724	Escherichia coli O157:H7	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing_different	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure		manure
GCA_056651725.1	SAMN56813553	Escherichia coli O157:H7	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing_different	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure		manure
GCA_057047045.1	SAMN50509332	Candidatus Limivicinus sp.	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	existing_different	existing nonblank destination preserved per merge policy; existing=healthy/control; proposed=healthy	Homo sapiens	9606		healthy/control	healthy/no disease reported		clinical/host-associated material	feces/stool
GCA_057421235.1	SAMN50510494	Candidatus Limisoma sp.	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	existing_different	existing nonblank destination preserved per merge policy; existing=healthy/control; proposed=healthy	Homo sapiens	9606		healthy/control	healthy/no disease reported		clinical/host-associated material	feces/stool
GCA_012008385.1	SAMN12602944	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing_different	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure	environmental material	manure
GCA_020367025.1	SAMN06645748	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing_different	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure		feces/stool
GCA_028278905.1	SAMN31047470	Candidatus Hopanoidivorans cymbastelae	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	existing_different	existing nonblank destination preserved per merge policy; existing=healthy/control; proposed=healthy	Cymbastela coralliophila	85786		healthy/control	healthy/no disease reported		clinical/host-associated material	tissue
GCA_034421235.1	SAMN13291834	Clostridium perfringens	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing_different	existing nonblank destination preserved per merge policy; existing=soil; proposed=agricultural organic material						manure	agricultural environment	farm
GCA_011946165.1	SAMN11656136	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing_different	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure		manure
GCA_022658275.1	SAMN26722431	Listeria monocytogenes	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing_different	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material						manure	environmental material	manure
GCA_030131445.1	SAMN31927128	Acinetobacter baumannii	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	existing_different	existing nonblank destination preserved per merge policy; existing=healthy/control; proposed=healthy	Poaceae	4479		healthy/control	healthy/no disease reported		environmental material	
GCA_032429155.1	SAMN36638873	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing_different	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material						manure	environmental material	manure
GCA_043279685.1	SAMN44236769	Salmonella enterica	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	existing_different	existing nonblank destination preserved per merge policy; existing=healthy/no disease reported; proposed=healthy	Homo sapiens	9606		healthy/no disease reported	healthy/no disease reported			
GCA_055778745.1	SAMN56442431	Listeria innocua	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing_different	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material						manure	environmental material	manure
GCA_055779505.1	SAMN56441633	Listeria monocytogenes	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing_different	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material						manure	environmental material	manure
GCA_057350965.1	SAMN59157885	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing_different	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure		manure
GCA_057359405.1	SAMN59518344	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing_different	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure		manure
GCA_032410225.1	SAMEA111551626	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing_different	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Cervus elaphus	9860				manure	clinical/host-associated material	feces/stool
GCA_054857405.1	SAMN51360303	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing_different	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure	dairy food	dairy farm
GCA_056467345.1	SAMN56811670	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing_different	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure		manure
GCA_056468805.1	SAMN56812615	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing_different	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure		manure
GCA_056469625.1	SAMN56812601	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing_different	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure		manure
GCA_057040645.1	SAMN50509510	Christensenellaceae bacterium	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	existing_different	existing nonblank destination preserved per merge policy; existing=healthy/control; proposed=healthy	Homo sapiens	9606		healthy/control	healthy/no disease reported		clinical/host-associated material	feces/stool
GCA_943371045.1	SAMEA14447088	Rhizobium sp. Q54	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	existing_different	existing nonblank destination preserved per merge policy; existing=healthy/control; proposed=healthy				healthy/control	healthy/no disease reported	plant root/rhizosphere	plant-associated material	
GCA_042159635.1	SAMN42090641	Escherichia coli O157:H7	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing_different	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure	environmental material	manure
GCA_030131265.1	SAMN31927137	Acinetobacter baumannii	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing_different	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Gallus gallus	9031				manure		manure
GCA_005046895.1	SAMN08796978	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing_different	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure	agricultural environment	farm
GCA_011871655.1	SAMN12684767	Escherichia coli O157:H7	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing_different	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure		manure
GCA_011873425.1	SAMN12662900	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing_different	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure	environmental material	manure
GCA_011883685.2	SAMN12628466	Escherichia coli O157:H7	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing_different	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure		manure
GCA_011941585.1	SAMN11787684	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing_different	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure		manure
GCA_057033515.1	SAMN50509699	Mailhella sp.	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	existing_different	existing nonblank destination preserved per merge policy; existing=healthy/control; proposed=healthy	Homo sapiens	9606		healthy/control	healthy/no disease reported		clinical/host-associated material	feces/stool
GCA_057036805.1	SAMN50509615	Prevotella sp.	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	existing_different	existing nonblank destination preserved per merge policy; existing=healthy/control; proposed=healthy	Homo sapiens	9606		healthy/control	healthy/no disease reported		clinical/host-associated material	feces/stool
GCA_057045285.1	SAMN50509391	Anaerotignum faecicola	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	existing_different	existing nonblank destination preserved per merge policy; existing=healthy/control; proposed=healthy	Homo sapiens	9606		healthy/control	healthy/no disease reported		clinical/host-associated material	feces/stool
GCA_019729735.1	SAMN20932930	Listeria monocytogenes	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing_different	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure		manure
GCA_056965495.1	SAMN50491954	Culturomica massiliensis	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	existing_different	existing nonblank destination preserved per merge policy; existing=healthy/control; proposed=healthy	Homo sapiens	9606		healthy/control	healthy/no disease reported		clinical/host-associated material	feces/stool
GCA_021562475.1	SAMN25220625	Salmonella enterica	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing_different	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Gallus gallus	9031				manure		manure
GCA_021562535.1	SAMN25220628	Salmonella enterica	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing_different	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Gallus gallus	9031				manure		manure
GCA_024610105.1	SAMN29955717	Campylobacter jejuni	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing_different	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material						manure	environmental material	manure
GCA_032816285.1	SAMN35758847	Campylobacter jejuni	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing_different	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Metazoa	33208				manure	environmental material	manure
GCA_032816825.1	SAMN35758867	Campylobacter jejuni	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing_different	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Metazoa	33208				manure	environmental material	manure
GCA_032817425.1	SAMN35758887	Campylobacter jejuni	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing_different	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Metazoa	33208				manure	environmental material	manure
GCA_029282945.1	SAMN33771775	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing_different	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material						manure	clinical/host-associated material	feces/stool
GCA_050818925.1	SAMN37855248	Bacillus pumilus	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing_different	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material						manure	environmental material	manure
GCA_056633875.1	SAMN56813108	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing_different	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure		manure
GCA_056652145.1	SAMN56813424	Escherichia coli O157:H7	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing_different	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure		manure
GCA_056652525.1	SAMN56813338	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing_different	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure		manure
GCA_056672965.1	SAMN57203477	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing_different	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure		manure
GCA_057608805.1	SAMN50509822	Butyricimonas faecihominis	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	existing_different	existing nonblank destination preserved per merge policy; existing=healthy/control; proposed=healthy	Homo sapiens	9606		healthy/control	healthy/no disease reported		clinical/host-associated material	feces/stool
GCA_002919155.1	SAMN08158223	Thermomicrobia bacterium	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing_different	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Sus scrofa	9823				manure	environmental material	manure
GCA_018175235.1	SAMEA5905416	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing_different	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Gallus gallus	9031				manure		manure
GCA_001513385.1	SAMN03794752	Clostridiales bacterium DTU064	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing_different	existing nonblank destination preserved per merge policy; existing=wastewater; proposed=agricultural organic material	Bos taurus	9913				manure		manure
GCA_964470945.1	SAMEA117305447	uncultured Myxococcales bacterium	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing_different	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material						manure		
GCA_012401805.1	SAMN12547316	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing_different	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure	environmental material	manure
GCA_052405325.1	SAMN50921838	Salmonella enterica	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing_different	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Aves	8782				manure	environmental material	environmental sample
GCA_913776775.1	SAMEA8943770	uncultured Exiguobacterium sp.	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	existing_different	existing nonblank destination preserved per merge policy; existing=healthy/control; proposed=healthy				healthy/control	healthy/no disease reported		clinical/host-associated material	DNA extract
GCA_028463405.1	SAMN26871953	Proteus mirabilis	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing_different	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure		manure
GCA_049042625.1	SAMN46017601	Staphylococcus aureus	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	existing_different	existing nonblank destination preserved per merge policy; existing=healthy/control; proposed=healthy	Homo sapiens	9606		healthy/control	healthy/no disease reported		clinical/host-associated material	
GCA_002193205.1	SAMN07137397	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing_different	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure	environmental material	manure
GCA_020355265.1	SAMN07781686	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing_different	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure		manure
GCA_002193315.1	SAMN07137389	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing_different	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure	environmental material	manure
GCA_013185755.1	SAMN14572055	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing_different	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material						manure	environmental material	manure
GCA_014913985.1	SAMN16422288	Escherichia coli	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	existing_different	existing nonblank destination preserved per merge policy; existing=healthy/control; proposed=healthy				healthy/control	healthy/no disease reported		environmental material	
GCA_020388715.1	SAMN19550045	Staphylococcus aureus	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	existing_different	existing nonblank destination preserved per merge policy; existing=healthy/control; proposed=healthy	Homo sapiens	9606		healthy/control	healthy/no disease reported		clinical/host-associated material	
GCA_030992465.1	SAMN29499196	Listeria monocytogenes	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing_different	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material						manure	environmental material	manure
GCA_032180085.1	SAMN36303388	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing_different	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material						manure	environmental material	manure
GCA_043269485.1	SAMN44234664	Salmonella enterica	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	existing_different	existing nonblank destination preserved per merge policy; existing=healthy/no disease reported; proposed=healthy	Homo sapiens	9606		healthy/no disease reported	healthy/no disease reported			
GCA_043270765.1	SAMN44234628	Salmonella enterica	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	existing_different	existing nonblank destination preserved per merge policy; existing=healthy/no disease reported; proposed=healthy	Homo sapiens	9606		healthy/no disease reported	healthy/no disease reported			
GCA_043276445.1	SAMN44236863	Salmonella enterica	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	existing_different	existing nonblank destination preserved per merge policy; existing=healthy/no disease reported; proposed=healthy	Homo sapiens	9606		healthy/no disease reported	healthy/no disease reported			
GCA_043855695.1	SAMN44265569	Salmonella enterica	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	existing_different	existing nonblank destination preserved per merge policy; existing=healthy/no disease reported; proposed=healthy	Homo sapiens	9606		healthy/no disease reported	healthy/no disease reported			
GCA_043856495.1	SAMN44265532	Salmonella enterica	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	existing_different	existing nonblank destination preserved per merge policy; existing=healthy/no disease reported; proposed=healthy	Homo sapiens	9606		healthy/no disease reported	healthy/no disease reported			
GCA_043860095.1	SAMN44265407	Salmonella enterica	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	existing_different	existing nonblank destination preserved per merge policy; existing=healthy/no disease reported; proposed=healthy	Homo sapiens	9606		healthy/no disease reported	healthy/no disease reported			
GCA_043860595.1	SAMN44265392	Salmonella enterica	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	existing_different	existing nonblank destination preserved per merge policy; existing=healthy/no disease reported; proposed=healthy	Homo sapiens	9606		healthy/no disease reported	healthy/no disease reported			
GCA_057376625.1	SAMN59518227	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing_different	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure		manure
GCA_057377485.1	SAMN59518258	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing_different	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure		manure
GCA_057380115.1	SAMN58876570	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing_different	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure		manure
GCA_032410565.1	SAMEA111551689	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing_different	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure	clinical/host-associated material	feces/stool
GCA_043353875.1	SAMN43896503	Enterococcus faecalis	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing_different	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Sus scrofa	9823				manure		manure
GCA_049856835.1	SAMN48009803	Salmonella enterica subsp. enterica	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing_different	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure		manure
GCA_053093845.1	SAMN51023247	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing_different	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Sus scrofa	9823				manure		manure
GCA_054855725.1	SAMN51360173	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing_different	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure	dairy food	dairy farm
GCA_057044065.1	SAMN50509422	Ruminiclostridium sp.	PH2A-HD-HEALTHY-NO-DISEASE	Host_Health_State_SD	healthy	blank_or_same	merge_policy=set_when_blank_or_same	existing_different	existing nonblank destination preserved per merge policy; existing=healthy/control; proposed=healthy	Homo sapiens	9606		healthy/control	healthy/no disease reported		clinical/host-associated material	feces/stool
GCA_056465465.1	SAMN56810725	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing_different	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure		manure
GCA_056468725.1	SAMN56812867	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing_different	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure		manure
GCA_032411205.1	SAMEA111551616	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing_different	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Cervus elaphus	9860				manure	clinical/host-associated material	feces/stool
GCA_011868945.1	SAMN12715300	Escherichia coli O157:H7	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing_different	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure		manure
GCA_018279445.1	SAMN19011054	Escherichia coli	PH2A-SITE-MANURE-MEDIUM	Environment_Medium_SD	agricultural organic material	always	condition=always	existing_different	existing nonblank destination preserved per merge policy; existing=manure; proposed=agricultural organic material	Bos taurus	9913				manure		manure
