isolation_source_sd,assembly_count,signal_classes,recommended_action
LysMC8flx_mono_D20,2,raw_code_or_artifact,route_to_non_source_descriptor
MCF-7,2,raw_code_or_artifact,route_to_non_source_descriptor
Mouse KO miRNA26B,2,host_taxon_or_context,route_to_host_context
Mouse microbiome,2,host_taxon_or_context,route_to_host_context
Mut18-ATAC,2,raw_code_or_artifact,route_to_non_source_descriptor
Nebuliser_P23_BU25,2,raw_code_or_artifact,route_to_non_source_descriptor
Nebuliser_P50_BU7,2,raw_code_or_artifact,route_to_non_source_descriptor
Necrotic Tissue,2,sample_type,route_to_sample_type
Ngari (fermented fish),2,host_taxon_or_context,route_to_host_context
Nigg3,2,raw_code_or_artifact,route_to_non_source_descriptor
O_Room_1_D_Organism_2,2,raw_code_or_artifact,route_to_non_source_descriptor
O_Room_1_D_Organism_3,2,raw_code_or_artifact,route_to_non_source_descriptor
O_Room_3_D_Organism_2,2,raw_code_or_artifact,route_to_non_source_descriptor
O_Room_3_D_Organism_3,2,raw_code_or_artifact,route_to_non_source_descriptor
O_Room_4_D_Organism_1,2,raw_code_or_artifact,route_to_non_source_descriptor
O_Room_5_D_Organism_1,2,raw_code_or_artifact,route_to_non_source_descriptor
O_Room_5_D_Organism_2,2,raw_code_or_artifact,route_to_non_source_descriptor
PO_0009008,2,raw_code_or_artifact,route_to_non_source_descriptor
Pancreatic Tissue,2,sample_type,route_to_sample_type
Placental tissue,2,sample_type,route_to_sample_type
Post-lavage,2,sample_type,route_to_sample_type
Pustules of a dog,2,host_taxon_or_context,route_to_host_context
REL11319,2,raw_code_or_artifact,route_to_non_source_descriptor
REL4537,2,raw_code_or_artifact,route_to_non_source_descriptor
"Reptile, Wild Animal, Snake",2,host_taxon_or_context,route_to_host_context
Retail_133,2,raw_code_or_artifact,route_to_non_source_descriptor
Retail_135,2,raw_code_or_artifact,route_to_non_source_descriptor
Retail_137,2,raw_code_or_artifact,route_to_non_source_descriptor
Retail_139,2,raw_code_or_artifact,route_to_non_source_descriptor
Room_1_C_Organism_1,2,raw_code_or_artifact,route_to_non_source_descriptor
Room_1_C_Organism_4,2,raw_code_or_artifact,route_to_non_source_descriptor
Room_2_C_Organism_2,2,raw_code_or_artifact,route_to_non_source_descriptor
Room_2_E_Organism_3,2,raw_code_or_artifact,route_to_non_source_descriptor
Room_3_E_Organism_2,2,raw_code_or_artifact,route_to_non_source_descriptor
Room_4_C_Organism_5,2,raw_code_or_artifact,route_to_non_source_descriptor
Room_4_E_Organism_4,2,raw_code_or_artifact,route_to_non_source_descriptor
Room_5_E_Organism_4,2,raw_code_or_artifact,route_to_non_source_descriptor
Serum,2,sample_type,route_to_sample_type
SoSk1,2,raw_code_or_artifact,route_to_non_source_descriptor
SoSk2,2,raw_code_or_artifact,route_to_non_source_descriptor
Tfh_IL21_SP,2,raw_code_or_artifact,route_to_non_source_descriptor
Thumb Tissue,2,sample_type,route_to_sample_type
Tissue Right Shoulder COLLAR MEMBRANE,2,sample_type,route_to_sample_type
Tissue Right Shoulder GLENOID,2,sample_type,route_to_sample_type
Tissue Right Shoulder GLENOID MEMBRANE,2,sample_type,route_to_sample_type
"Tissue, Scalp",2,sample_type,route_to_sample_type
"Tissue, Wrist",2,sample_type,route_to_sample_type
Tissue; toe,2,sample_type,route_to_sample_type
Tracheobronchial lavage,2,sample_type,route_to_sample_type
Ventilator_P1_BU24,2,raw_code_or_artifact,route_to_non_source_descriptor
Ventilator_P23_BU25,2,raw_code_or_artifact,route_to_non_source_descriptor
Ventilator_P37_BU4,2,raw_code_or_artifact,route_to_non_source_descriptor
Ventilator_P4_BU3,2,raw_code_or_artifact,route_to_non_source_descriptor
Ventilator_P50_BU7,2,raw_code_or_artifact,route_to_non_source_descriptor
Ventilator_P6_BU8,2,raw_code_or_artifact,route_to_non_source_descriptor
Ventilator_P87_BU8,2,raw_code_or_artifact,route_to_non_source_descriptor
Ventilator_P96_BU15,2,raw_code_or_artifact,route_to_non_source_descriptor
White adipose tissue,2,sample_type,route_to_sample_type
Zoo animal,2,host_taxon_or_context,route_to_host_context
adipose tissue,2,sample_type,route_to_sample_type
animal feed blend,2,host_taxon_or_context,route_to_host_context
animal feed cotton seed meal,2,host_taxon_or_context,route_to_host_context
animal feed distilled corn,2,host_taxon_or_context,route_to_host_context
animal feed sesame meal,2,host_taxon_or_context,route_to_host_context
animal origin,2,host_taxon_or_context,route_to_host_context
animal protein,2,host_taxon_or_context,route_to_host_context
animal waste,2,host_taxon_or_context,route_to_host_context
artificially infected Catharanthus roseus,2,disease,route_to_disease_or_health_state
avian tissue,2,sample_type,route_to_sample_type
baby faeces,2,sample_type,route_to_sample_type
"bat, faeces",2,sample_type,route_to_sample_type
bladder wall,2,body_site,route_to_isolation_site
booties (chicken field),2,host_taxon_or_context,route_to_food_source
bovine multiple tissue,2,sample_type,route_to_sample_type
broncho alveolar lavage,2,sample_type,route_to_sample_type
canine tissue,2,sample_type,route_to_sample_type
central nervous system of the animal,2,host_taxon_or_context,route_to_host_context
cerebrospinal,2,sample_type,route_to_sample_type
deep tissue,2,sample_type,route_to_sample_type
deer mouse or kangaroo rat,2,host_taxon_or_context,route_to_host_context
dog chews pizzle,2,host_taxon_or_context,route_to_host_context
dog treat deer antler,2,host_taxon_or_context,route_to_host_context
dog treat lamb crumble,2,host_taxon_or_context,route_to_host_context
dried animal hooves,2,host_taxon_or_context,route_to_host_context
dried ostrich dog treat,2,host_taxon_or_context,route_to_host_context
dry dog kibble,2,host_taxon_or_context,route_to_host_context
eggs of a naturally infected Ixodes ricinus tick,2,disease,route_to_disease_or_health_state
eggs of a tick infected in nature,2,disease,route_to_disease_or_health_state
endophytic tissue,2,sample_type,route_to_sample_type
feline tissue,2,sample_type,route_to_sample_type
femur_chicken2_1,2,raw_code_or_artifact,route_to_non_source_descriptor
femur_chicken2_2,2,raw_code_or_artifact,route_to_non_source_descriptor
femur_chicken2_3,2,raw_code_or_artifact,route_to_non_source_descriptor
frozen animal feed feeder mouse,2,host_taxon_or_context,route_to_host_context
frozen animal feed pink baby mouse,2,host_taxon_or_context,route_to_host_context
frozen animal feed raw for cat,2,host_taxon_or_context,route_to_host_context
gastric tissue,2,sample_type,route_to_sample_type
"general (wound, abcess, Etc.)",2,body_site,route_to_isolation_site
hnRNP L KO mouse,2,host_taxon_or_context,route_to_host_context
host tissue homogenate,2,sample_type,route_to_sample_type
host-1,2,raw_code_or_artifact,route_to_non_source_descriptor
industrialized animal ration,2,host_taxon_or_context,route_to_host_context
kangaroo rat,2,host_taxon_or_context,route_to_host_context
kite (cloacal swab),2,sample_type,route_to_sample_type
motor cortex tissue,2,sample_type,route_to_sample_type
mouse,2,host_taxon_or_context,route_to_host_context
mouse embryonic fibroblasts,2,host_taxon_or_context,route_to_host_context
mouse mature inner hair cells,2,host_taxon_or_context,route_to_host_context
mouse mature outer hair cells,2,host_taxon_or_context,route_to_host_context
muscle tissue,2,sample_type,route_to_sample_type
necrotic tissue,2,sample_type,route_to_sample_type
organ from animal collected from slaughterhouse,2,host_taxon_or_context,route_to_host_context
patient1,2,raw_code_or_artifact,route_to_non_source_descriptor
pericardium_chicken2,2,raw_code_or_artifact,route_to_non_source_descriptor
phloem tissue of taproot,2,sample_type,route_to_sample_type
polyp tissue,2,sample_type,route_to_sample_type
pool tissue,2,sample_type,route_to_sample_type
raw cream cow,2,host_taxon_or_context,route_to_host_context
rawhide dog treat,2,host_taxon_or_context,route_to_host_context
respiratory swab,2,sample_type,route_to_sample_type
rhizome tissue,2,sample_type,route_to_sample_type
soft rot tissue,2,sample_type,route_to_sample_type
source/sample material,2,sample_type|metadata_descriptor,route_to_non_source_descriptor
synovial tissue,2,sample_type,route_to_sample_type
tissue excision,2,sample_type,route_to_sample_type
tissue from ulcer,2,sample_type,route_to_sample_type
tissue l great toe,2,sample_type,route_to_sample_type
tissue r heel,2,sample_type,route_to_sample_type
tissue right Shoulder glenoid membrane,2,sample_type,route_to_sample_type
tissue right shoulder collar membrame,2,sample_type,route_to_sample_type
wt mouse,2,host_taxon_or_context,route_to_host_context
xylem tissue,2,sample_type,route_to_sample_type
"""Bladder,Bladder """,1,body_site,route_to_isolation_site
"""Tissue, paraspinal mass""",1,sample_type,route_to_sample_type
1310K,1,raw_code_or_artifact,route_to_non_source_descriptor
1318K,1,raw_code_or_artifact,route_to_non_source_descriptor
1326K,1,raw_code_or_artifact,route_to_non_source_descriptor
1336K,1,raw_code_or_artifact,route_to_non_source_descriptor
1406K,1,raw_code_or_artifact,route_to_non_source_descriptor
1408K,1,raw_code_or_artifact,route_to_non_source_descriptor
1414K,1,raw_code_or_artifact,route_to_non_source_descriptor
1416K,1,raw_code_or_artifact,route_to_non_source_descriptor
1422K,1,raw_code_or_artifact,route_to_non_source_descriptor
1432K,1,raw_code_or_artifact,route_to_non_source_descriptor
1507K,1,raw_code_or_artifact,route_to_non_source_descriptor
1513K,1,raw_code_or_artifact,route_to_non_source_descriptor
1515K,1,raw_code_or_artifact,route_to_non_source_descriptor
1521K,1,raw_code_or_artifact,route_to_non_source_descriptor
1523K,1,raw_code_or_artifact,route_to_non_source_descriptor
1524K,1,raw_code_or_artifact,route_to_non_source_descriptor
1526K,1,raw_code_or_artifact,route_to_non_source_descriptor
1527K,1,raw_code_or_artifact,route_to_non_source_descriptor
1528K,1,raw_code_or_artifact,route_to_non_source_descriptor
1531K,1,raw_code_or_artifact,route_to_non_source_descriptor
1532K,1,raw_code_or_artifact,route_to_non_source_descriptor
1534K,1,raw_code_or_artifact,route_to_non_source_descriptor
1535K,1,raw_code_or_artifact,route_to_non_source_descriptor
1536K,1,raw_code_or_artifact,route_to_non_source_descriptor
1603K,1,raw_code_or_artifact,route_to_non_source_descriptor
1604K,1,raw_code_or_artifact,route_to_non_source_descriptor
1606K,1,raw_code_or_artifact,route_to_non_source_descriptor
1607K,1,raw_code_or_artifact,route_to_non_source_descriptor
1608K,1,raw_code_or_artifact,route_to_non_source_descriptor
1612K,1,raw_code_or_artifact,route_to_non_source_descriptor
1613K,1,raw_code_or_artifact,route_to_non_source_descriptor
1614K,1,raw_code_or_artifact,route_to_non_source_descriptor
1615K,1,raw_code_or_artifact,route_to_non_source_descriptor
1616K,1,raw_code_or_artifact,route_to_non_source_descriptor
1617K,1,raw_code_or_artifact,route_to_non_source_descriptor
1619K,1,raw_code_or_artifact,route_to_non_source_descriptor
1620K,1,raw_code_or_artifact,route_to_non_source_descriptor
1621K,1,raw_code_or_artifact,route_to_non_source_descriptor
1622K,1,raw_code_or_artifact,route_to_non_source_descriptor
1623K,1,raw_code_or_artifact,route_to_non_source_descriptor
1624K,1,raw_code_or_artifact,route_to_non_source_descriptor
1627K,1,raw_code_or_artifact,route_to_non_source_descriptor
1628K,1,raw_code_or_artifact,route_to_non_source_descriptor
1629K,1,raw_code_or_artifact,route_to_non_source_descriptor
1630K,1,raw_code_or_artifact,route_to_non_source_descriptor
1631K,1,raw_code_or_artifact,route_to_non_source_descriptor
1632K,1,raw_code_or_artifact,route_to_non_source_descriptor
1634K,1,raw_code_or_artifact,route_to_non_source_descriptor
1635K,1,raw_code_or_artifact,route_to_non_source_descriptor
1636K,1,raw_code_or_artifact,route_to_non_source_descriptor
1711L,1,raw_code_or_artifact,route_to_non_source_descriptor
1712L,1,raw_code_or_artifact,route_to_non_source_descriptor
1719L,1,raw_code_or_artifact,route_to_non_source_descriptor
1808L,1,raw_code_or_artifact,route_to_non_source_descriptor
1816L,1,raw_code_or_artifact,route_to_non_source_descriptor
1824L,1,raw_code_or_artifact,route_to_non_source_descriptor
1832L,1,raw_code_or_artifact,route_to_non_source_descriptor
1906L,1,raw_code_or_artifact,route_to_non_source_descriptor
2022SY-00100,1,raw_code_or_artifact,route_to_non_source_descriptor
2022SY-00101,1,raw_code_or_artifact,route_to_non_source_descriptor
2022SY-00107,1,raw_code_or_artifact,route_to_non_source_descriptor
2022SY-00108,1,raw_code_or_artifact,route_to_non_source_descriptor
2022SY-00109,1,raw_code_or_artifact,route_to_non_source_descriptor
2022SY-00110,1,raw_code_or_artifact,route_to_non_source_descriptor
2023JQ-00300,1,raw_code_or_artifact,route_to_non_source_descriptor
2023JQ-00301,1,raw_code_or_artifact,route_to_non_source_descriptor
2023JQ-00302,1,raw_code_or_artifact,route_to_non_source_descriptor
2023JQ-00315,1,raw_code_or_artifact,route_to_non_source_descriptor
2023JQ-00316,1,raw_code_or_artifact,route_to_non_source_descriptor
2023JQ-00317,1,raw_code_or_artifact,route_to_non_source_descriptor
2023JQ-00443,1,raw_code_or_artifact,route_to_non_source_descriptor
2023JQ-00444,1,raw_code_or_artifact,route_to_non_source_descriptor
2023JQ-00445,1,raw_code_or_artifact,route_to_non_source_descriptor
2023JQ-00446,1,raw_code_or_artifact,route_to_non_source_descriptor
2023JQ-00447,1,raw_code_or_artifact,route_to_non_source_descriptor
2023JQ-00449,1,raw_code_or_artifact,route_to_non_source_descriptor
2023JQ-00450,1,raw_code_or_artifact,route_to_non_source_descriptor
2023JQ-00451,1,raw_code_or_artifact,route_to_non_source_descriptor
2023JQ-00452,1,raw_code_or_artifact,route_to_non_source_descriptor
2023JQ-00453,1,raw_code_or_artifact,route_to_non_source_descriptor
2023JQ-00454,1,raw_code_or_artifact,route_to_non_source_descriptor
2023JQ-00455,1,raw_code_or_artifact,route_to_non_source_descriptor
2023JQ-00456,1,raw_code_or_artifact,route_to_non_source_descriptor
2023JQ-00457,1,raw_code_or_artifact,route_to_non_source_descriptor
2023JQ-00459,1,raw_code_or_artifact,route_to_non_source_descriptor
2023JQ-00460,1,raw_code_or_artifact,route_to_non_source_descriptor
2023JQ-00461,1,raw_code_or_artifact,route_to_non_source_descriptor
2023JQ-00462,1,raw_code_or_artifact,route_to_non_source_descriptor
2023JQ-00463,1,raw_code_or_artifact,route_to_non_source_descriptor
2023JQ-00464,1,raw_code_or_artifact,route_to_non_source_descriptor
2023JQ-00465,1,raw_code_or_artifact,route_to_non_source_descriptor
2023JQ-00466,1,raw_code_or_artifact,route_to_non_source_descriptor
2023JQ-00467,1,raw_code_or_artifact,route_to_non_source_descriptor
2023JQ-00469,1,raw_code_or_artifact,route_to_non_source_descriptor
2023JQ-00470,1,raw_code_or_artifact,route_to_non_source_descriptor
2023JQ-00471,1,raw_code_or_artifact,route_to_non_source_descriptor
2023JQ-00472,1,raw_code_or_artifact,route_to_non_source_descriptor
2023JQ-00473,1,raw_code_or_artifact,route_to_non_source_descriptor
2023JQ-00474,1,raw_code_or_artifact,route_to_non_source_descriptor
2023JQ-00476,1,raw_code_or_artifact,route_to_non_source_descriptor
2023JQ-00477,1,raw_code_or_artifact,route_to_non_source_descriptor
2023JQ-00480,1,raw_code_or_artifact,route_to_non_source_descriptor
2023JQ-00481,1,raw_code_or_artifact,route_to_non_source_descriptor
2023JQ-00482,1,raw_code_or_artifact,route_to_non_source_descriptor
2023JQ-00483,1,raw_code_or_artifact,route_to_non_source_descriptor
2023JQ-00484,1,raw_code_or_artifact,route_to_non_source_descriptor
2023SY-00001,1,raw_code_or_artifact,route_to_non_source_descriptor
2023SY-00002,1,raw_code_or_artifact,route_to_non_source_descriptor
2023SY-00003,1,raw_code_or_artifact,route_to_non_source_descriptor
2023SY-00004,1,raw_code_or_artifact,route_to_non_source_descriptor
2023SY-00005,1,raw_code_or_artifact,route_to_non_source_descriptor
2023SY-00008,1,raw_code_or_artifact,route_to_non_source_descriptor
2023SY-00009,1,raw_code_or_artifact,route_to_non_source_descriptor
2024EL-00764,1,raw_code_or_artifact,route_to_non_source_descriptor
2024EL-00765,1,raw_code_or_artifact,route_to_non_source_descriptor
293Trex,1,raw_code_or_artifact,route_to_non_source_descriptor
"7 DIV E16.5 mouse cortical neurons, before and after membrane depolarization induced by extracellular potassium",1,host_taxon_or_context,route_to_host_context
797Trex,1,raw_code_or_artifact,route_to_non_source_descriptor
A317,1,raw_code_or_artifact,route_to_non_source_descriptor
A362,1,raw_code_or_artifact,route_to_non_source_descriptor
AR449,1,raw_code_or_artifact,route_to_non_source_descriptor
AR461,1,raw_code_or_artifact,route_to_non_source_descriptor
ASXL3_Ab2_KP3,1,raw_code_or_artifact,route_to_non_source_descriptor
Aamose9,1,raw_code_or_artifact,route_to_non_source_descriptor
Abattoir_1,1,raw_code_or_artifact,route_to_non_source_descriptor
Abattoir_6,1,raw_code_or_artifact,route_to_non_source_descriptor
Abdominal (drain aspirate),1,sample_type,route_to_sample_type
Abdominal Incision Tissue,1,sample_type,route_to_sample_type
Abdominal Tissue,1,sample_type,route_to_sample_type
Abdominal cavity Tissue,1,sample_type,route_to_sample_type
Acetabular Tissue,1,sample_type,route_to_sample_type
Adenoid tissue,1,sample_type,route_to_sample_type
Adr2-,1,raw_code_or_artifact,route_to_non_source_descriptor
Adult female worm tissue,1,sample_type,route_to_sample_type
Airosal_in_HZ1,1,raw_code_or_artifact,route_to_non_source_descriptor
Airosal_in_HZ3,1,raw_code_or_artifact,route_to_non_source_descriptor
Airosal_in_Heyuan2,1,raw_code_or_artifact,route_to_non_source_descriptor
Airosal_in_Huadu3,1,raw_code_or_artifact,route_to_non_source_descriptor
Airosal_in_Kaiping1,1,raw_code_or_artifact,route_to_non_source_descriptor
Airosal_in_Kaiping2,1,raw_code_or_artifact,route_to_non_source_descriptor
Airosal_in_Xinhua1,1,raw_code_or_artifact,route_to_non_source_descriptor
Airosal_in_Xinhua3,1,raw_code_or_artifact,route_to_non_source_descriptor
Airosal_in_Yangchun2,1,raw_code_or_artifact,route_to_non_source_descriptor
Airosal_in_baiyun2,1,raw_code_or_artifact,route_to_non_source_descriptor
Alveolar lavage specimen,1,sample_type,route_to_sample_type
Anholt1,1,raw_code_or_artifact,route_to_non_source_descriptor
Anholt12,1,raw_code_or_artifact,route_to_non_source_descriptor
Anholt17,1,raw_code_or_artifact,route_to_non_source_descriptor
Anholt19,1,raw_code_or_artifact,route_to_non_source_descriptor
Animal - Avian-Yolk sac,1,host_taxon_or_context,route_to_host_context
Animal - Rodent,1,host_taxon_or_context,route_to_host_context
Animal excrete,1,host_taxon_or_context,route_to_host_context
Animal facility,1,host_taxon_or_context,route_to_host_context
"Animal facility center (vivarium, bioterio) from Institute of Tropical Medicine",1,host_taxon_or_context,route_to_host_context
Animal lymphoma parotid,1,host_taxon_or_context,route_to_host_context
Animal lymphoma pre-scapular,1,host_taxon_or_context,route_to_host_context
Animal lymphoma retrofaringeo,1,host_taxon_or_context,route_to_host_context
Animal lymphoma scapular,1,host_taxon_or_context,route_to_host_context
Animal rearing facility,1,host_taxon_or_context,route_to_host_context
"Animal, Animal",1,host_taxon_or_context,route_to_host_context
"Animal, cat",1,host_taxon_or_context,route_to_host_context
"Animal, iguana",1,host_taxon_or_context,route_to_host_context
"Animal, organs/carcasses",1,host_taxon_or_context,route_to_host_context
"Animal, reptile",1,host_taxon_or_context,route_to_host_context
Animal-Gecko,1,host_taxon_or_context,route_to_host_context
Animal-Leopard Gecko,1,host_taxon_or_context,route_to_host_context
Animal-Snake,1,host_taxon_or_context,route_to_host_context
Animal-snake,1,host_taxon_or_context,route_to_host_context
Animal-turtle,1,host_taxon_or_context,route_to_host_context
Aorta Tissue,1,sample_type,route_to_sample_type
Aorta Tissue Clot,1,sample_type,route_to_sample_type
Aortic Tissue,1,sample_type,route_to_sample_type
Aortic Valve Tissue,1,sample_type,route_to_sample_type
Aortic tissue,1,sample_type,route_to_sample_type
Arm Tissue,1,sample_type,route_to_sample_type
Atoh1.control,1,raw_code_or_artifact,route_to_non_source_descriptor
Atoh1.rep1,1,raw_code_or_artifact,route_to_non_source_descriptor
Atoh1.rep2,1,raw_code_or_artifact,route_to_non_source_descriptor
"Avian, Wild Animal, Bird",1,host_taxon_or_context,route_to_host_context
BELF3,1,raw_code_or_artifact,route_to_non_source_descriptor
BLDP2,1,raw_code_or_artifact,route_to_non_source_descriptor
BRD4_shNONT_H1963,1,raw_code_or_artifact,route_to_non_source_descriptor
Bladder Mucosa,1,body_site,route_to_isolation_site
Bladder mucosa,1,body_site,route_to_isolation_site
Bladder probe,1,body_site,route_to_isolation_site
Bladder-Sx,1,body_site,route_to_isolation_site
Bovine Mixed Tissue,1,sample_type,route_to_sample_type
Brochoalveolar lavage,1,sample_type,route_to_sample_type
Bronchialveolar Lavage,1,sample_type,route_to_sample_type
Bronchioaleveolar lavage,1,sample_type,route_to_sample_type
Bronchioalveolar lavage,1,sample_type,route_to_sample_type
Bronchoalve. Lavage,1,sample_type,route_to_sample_type
Bronchoalvelar lavage (BAL),1,sample_type,route_to_sample_type
Bronchoavleolar lavage,1,sample_type,route_to_sample_type
Broncholaveolar lavage,1,sample_type,route_to_sample_type
Broncial Lavage,1,sample_type,route_to_sample_type
Bronco-alveolar lavage,1,sample_type,route_to_sample_type
Bronko-alveolær lavage,1,sample_type,route_to_sample_type
Brown adipose tissue,1,sample_type,route_to_sample_type
Buccal mucosa Tissue,1,sample_type,route_to_sample_type
Burn tissue,1,sample_type,route_to_sample_type
Butchery_1,1,raw_code_or_artifact,route_to_non_source_descriptor
Butchery_105,1,raw_code_or_artifact,route_to_non_source_descriptor
Butchery_107,1,raw_code_or_artifact,route_to_non_source_descriptor
Butchery_11,1,raw_code_or_artifact,route_to_non_source_descriptor
Butchery_13,1,raw_code_or_artifact,route_to_non_source_descriptor
Butchery_150,1,raw_code_or_artifact,route_to_non_source_descriptor
Butchery_18,1,raw_code_or_artifact,route_to_non_source_descriptor
Butchery_21,1,raw_code_or_artifact,route_to_non_source_descriptor
Butchery_22,1,raw_code_or_artifact,route_to_non_source_descriptor
Butchery_24,1,raw_code_or_artifact,route_to_non_source_descriptor
Butchery_26,1,raw_code_or_artifact,route_to_non_source_descriptor
Butchery_28,1,raw_code_or_artifact,route_to_non_source_descriptor
Butchery_3,1,raw_code_or_artifact,route_to_non_source_descriptor
Butchery_30,1,raw_code_or_artifact,route_to_non_source_descriptor
Butchery_34,1,raw_code_or_artifact,route_to_non_source_descriptor
Butchery_36,1,raw_code_or_artifact,route_to_non_source_descriptor
Butchery_38,1,raw_code_or_artifact,route_to_non_source_descriptor
Butchery_40,1,raw_code_or_artifact,route_to_non_source_descriptor
Butchery_42,1,raw_code_or_artifact,route_to_non_source_descriptor
Butchery_44,1,raw_code_or_artifact,route_to_non_source_descriptor
Butchery_46,1,raw_code_or_artifact,route_to_non_source_descriptor
Butchery_48,1,raw_code_or_artifact,route_to_non_source_descriptor
Butchery_5,1,raw_code_or_artifact,route_to_non_source_descriptor
Butchery_50,1,raw_code_or_artifact,route_to_non_source_descriptor
Butchery_52,1,raw_code_or_artifact,route_to_non_source_descriptor
Butchery_54,1,raw_code_or_artifact,route_to_non_source_descriptor
Butchery_56,1,raw_code_or_artifact,route_to_non_source_descriptor
Butchery_58,1,raw_code_or_artifact,route_to_non_source_descriptor
Butchery_62,1,raw_code_or_artifact,route_to_non_source_descriptor
Butchery_64,1,raw_code_or_artifact,route_to_non_source_descriptor
Butchery_66,1,raw_code_or_artifact,route_to_non_source_descriptor
Butchery_68,1,raw_code_or_artifact,route_to_non_source_descriptor
Butchery_7,1,raw_code_or_artifact,route_to_non_source_descriptor
Butchery_70,1,raw_code_or_artifact,route_to_non_source_descriptor
Butchery_72,1,raw_code_or_artifact,route_to_non_source_descriptor
Butchery_75,1,raw_code_or_artifact,route_to_non_source_descriptor
Butchery_77,1,raw_code_or_artifact,route_to_non_source_descriptor
Butchery_83,1,raw_code_or_artifact,route_to_non_source_descriptor
Butchery_85,1,raw_code_or_artifact,route_to_non_source_descriptor
Butchery_87,1,raw_code_or_artifact,route_to_non_source_descriptor
Butchery_89,1,raw_code_or_artifact,route_to_non_source_descriptor
Butchery_9,1,raw_code_or_artifact,route_to_non_source_descriptor
Butchery_91,1,raw_code_or_artifact,route_to_non_source_descriptor
Butchery_93,1,raw_code_or_artifact,route_to_non_source_descriptor
Butchery_95,1,raw_code_or_artifact,route_to_non_source_descriptor
Butchery_97,1,raw_code_or_artifact,route_to_non_source_descriptor
Butchery_99,1,raw_code_or_artifact,route_to_non_source_descriptor
Butter_8,1,raw_code_or_artifact,route_to_non_source_descriptor
C201R-male,1,raw_code_or_artifact,route_to_non_source_descriptor
C57Bl/6 mouse at an animal facility,1,host_taxon_or_context,route_to_host_context
C57Bl/6 mouse at the Animal Research Facility,1,host_taxon_or_context,route_to_host_context
CANOLA MEAL FOR ANIMAL FEED,1,host_taxon_or_context,route_to_host_context
CS-1,1,raw_code_or_artifact,route_to_non_source_descriptor
CS-10,1,raw_code_or_artifact,route_to_non_source_descriptor
CS-11,1,raw_code_or_artifact,route_to_non_source_descriptor
CS-12,1,raw_code_or_artifact,route_to_non_source_descriptor
CS-13,1,raw_code_or_artifact,route_to_non_source_descriptor
CS-2,1,raw_code_or_artifact,route_to_non_source_descriptor
CS-3,1,raw_code_or_artifact,route_to_non_source_descriptor
CS-4,1,raw_code_or_artifact,route_to_non_source_descriptor
CS-5,1,raw_code_or_artifact,route_to_non_source_descriptor
CS-6,1,raw_code_or_artifact,route_to_non_source_descriptor
CS-7,1,raw_code_or_artifact,route_to_non_source_descriptor
CS-8,1,raw_code_or_artifact,route_to_non_source_descriptor
CS-9,1,raw_code_or_artifact,route_to_non_source_descriptor
Calf2,1,raw_code_or_artifact,route_to_non_source_descriptor
Canine bladder tissue and stones,1,body_site|sample_type,route_to_sample_type
Canine faeces,1,sample_type,route_to_sample_type
Canker on pear tree infected with Erwinia amylovora,1,disease,route_to_disease_or_health_state
Carbuncle Tissue,1,sample_type,route_to_sample_type
Cat (Fecal),1,host_taxon_or_context,route_to_host_context
Cat faeces,1,sample_type|host_taxon_or_context,route_to_sample_type
"Cat, gingiva",1,host_taxon_or_context,route_to_host_context
Cerebrospinal,1,sample_type,route_to_sample_type
Cervical cancer cell line (HeLa),1,disease,route_to_disease_or_health_state
Cervical spinal cord tissue,1,sample_type,route_to_sample_type
ChIp-seq_wt_IgG_rep1,1,raw_code_or_artifact,route_to_non_source_descriptor
Chest (PUS),1,sample_type,route_to_sample_type
Chest tissue,1,sample_type,route_to_sample_type
Cold salad (chicken),1,host_taxon_or_context,route_to_food_source
Coldstore_1,1,raw_code_or_artifact,route_to_non_source_descriptor
Coldstore_13,1,raw_code_or_artifact,route_to_non_source_descriptor
Coldstore_3,1,raw_code_or_artifact,route_to_non_source_descriptor
Coldstore_5,1,raw_code_or_artifact,route_to_non_source_descriptor
Coldstore_7,1,raw_code_or_artifact,route_to_non_source_descriptor
Coldstore_9,1,raw_code_or_artifact,route_to_non_source_descriptor
Colorectal cancer,1,disease,route_to_disease_or_health_state
Computer mouse,1,host_taxon_or_context,route_to_host_context
Computer_NA_BU6,1,raw_code_or_artifact,route_to_non_source_descriptor
Computer_P101_BU22,1,raw_code_or_artifact,route_to_non_source_descriptor
Computer_P19_BU20,1,raw_code_or_artifact,route_to_non_source_descriptor
Computer_P24_BU26,1,raw_code_or_artifact,route_to_non_source_descriptor
Computer_P25_BU27,1,raw_code_or_artifact,route_to_non_source_descriptor
Computer_P28_BU12,1,raw_code_or_artifact,route_to_non_source_descriptor
Computer_P34_BU17,1,raw_code_or_artifact,route_to_non_source_descriptor
Computer_P47_BU17,1,raw_code_or_artifact,route_to_non_source_descriptor
Computer_P49_BU12,1,raw_code_or_artifact,route_to_non_source_descriptor
Computer_P57_BU11,1,raw_code_or_artifact,route_to_non_source_descriptor
Computer_P91_BU9,1,raw_code_or_artifact,route_to_non_source_descriptor
Computer_P96_BU15,1,raw_code_or_artifact,route_to_non_source_descriptor
Corn Snake (Faeces),1,sample_type,route_to_sample_type
Cow,1,host_taxon_or_context,route_to_host_context
Cream_15,1,raw_code_or_artifact,route_to_non_source_descriptor
Cream_24,1,raw_code_or_artifact,route_to_non_source_descriptor
