isolation_source_sd,assembly_count,signal_classes,recommended_action
"Tissue, Eyelid",1,sample_type,route_to_sample_type
"Tissue, Fibula",1,sample_type,route_to_sample_type
"Tissue, Flank",1,sample_type,route_to_sample_type
"Tissue, Haematoma",1,sample_type,route_to_sample_type
"Tissue, Heel",1,sample_type,route_to_sample_type
"Tissue, Left Ischium",1,sample_type,route_to_sample_type
"Tissue, Lft Anterior Thigh",1,sample_type,route_to_sample_type
"Tissue, Mastoid",1,sample_type,route_to_sample_type
"Tissue, Neck",1,sample_type,route_to_sample_type
"Tissue, Orbit",1,sample_type,route_to_sample_type
"Tissue, Scrotum",1,sample_type,route_to_sample_type
"Tissue, Shin",1,sample_type,route_to_sample_type
"Tissue, Shouler, Right",1,sample_type,route_to_sample_type
"Tissue, Spine",1,sample_type,route_to_sample_type
"Tissue, Thoracic",1,sample_type,route_to_sample_type
"Tissue, Vocal Cord",1,sample_type,route_to_sample_type
"Tissue, animal",1,sample_type|host_taxon_or_context,route_to_sample_type
"Tissue, femur",1,sample_type,route_to_sample_type
Tissue: Back,1,sample_type,route_to_sample_type
Tissue:Adult_ovaries:EL:1 extraction1_seq1 channel_1,1,sample_type,route_to_sample_type
Tissue; Chest Wall,1,sample_type,route_to_sample_type
Tissue; EJ junction fat,1,sample_type,route_to_sample_type
Tissue; Left heel,1,sample_type,route_to_sample_type
Tissue; hip right,1,sample_type,route_to_sample_type
Tissue; left ethmoid,1,sample_type,route_to_sample_type
Tissue; left shoulder A-C joint,1,sample_type,route_to_sample_type
Tissue; right elbow,1,sample_type,route_to_sample_type
Tissue; right ischeal tuberosity,1,sample_type,route_to_sample_type
Toe Tissue ulcer,1,sample_type,route_to_sample_type
Toe tissue,1,sample_type,route_to_sample_type
Tumor tissue,1,sample_type,route_to_sample_type
UCSB animal house,1,host_taxon_or_context,route_to_host_context
Ulcerated tissue,1,sample_type,route_to_sample_type
Uncultivated_P2_T1_2,1,raw_code_or_artifact,route_to_non_source_descriptor
Upper arm muscle Tissue,1,sample_type,route_to_sample_type
Ventilator_NA_BU13,1,raw_code_or_artifact,route_to_non_source_descriptor
Ventilator_NA_BU21,1,raw_code_or_artifact,route_to_non_source_descriptor
Ventilator_NA_BU6,1,raw_code_or_artifact,route_to_non_source_descriptor
Ventilator_P101_BU13,1,raw_code_or_artifact,route_to_non_source_descriptor
Ventilator_P113_BU23,1,raw_code_or_artifact,route_to_non_source_descriptor
Ventilator_P113_BU6,1,raw_code_or_artifact,route_to_non_source_descriptor
Ventilator_P115_BU5,1,raw_code_or_artifact,route_to_non_source_descriptor
Ventilator_P125_BU10,1,raw_code_or_artifact,route_to_non_source_descriptor
Ventilator_P132_BU20,1,raw_code_or_artifact,route_to_non_source_descriptor
Ventilator_P138_BU17,1,raw_code_or_artifact,route_to_non_source_descriptor
Ventilator_P139_BU23,1,raw_code_or_artifact,route_to_non_source_descriptor
Ventilator_P13_BU21,1,raw_code_or_artifact,route_to_non_source_descriptor
Ventilator_P14_BU15,1,raw_code_or_artifact,route_to_non_source_descriptor
Ventilator_P19_BU18,1,raw_code_or_artifact,route_to_non_source_descriptor
Ventilator_P21_BU22,1,raw_code_or_artifact,route_to_non_source_descriptor
Ventilator_P24_BU26,1,raw_code_or_artifact,route_to_non_source_descriptor
Ventilator_P27_BU18,1,raw_code_or_artifact,route_to_non_source_descriptor
Ventilator_P29_BU6,1,raw_code_or_artifact,route_to_non_source_descriptor
Ventilator_P33_BU16,1,raw_code_or_artifact,route_to_non_source_descriptor
Ventilator_P33_BU24,1,raw_code_or_artifact,route_to_non_source_descriptor
Ventilator_P42_BU15,1,raw_code_or_artifact,route_to_non_source_descriptor
Ventilator_P46_BU24,1,raw_code_or_artifact,route_to_non_source_descriptor
Ventilator_P47_BU17,1,raw_code_or_artifact,route_to_non_source_descriptor
Ventilator_P49_BU12,1,raw_code_or_artifact,route_to_non_source_descriptor
Ventilator_P50_BU20,1,raw_code_or_artifact,route_to_non_source_descriptor
Ventilator_P51_BU14,1,raw_code_or_artifact,route_to_non_source_descriptor
Ventilator_P53_BU18,1,raw_code_or_artifact,route_to_non_source_descriptor
