isolation_source_sd,assembly_count
Rinsate,32
Sausage,32
Seagull,32
Ventilator,32
haemolymph,32
layer cloacal (backyard),32
mobile device,32
organism,32
rehabilitation department,32
salami paste production,32
toilet drainpipe,32
Crude-oil-containing beach sand,31
Lichen: Ephebe lanata,31
MRV,31
Muscle,31
Pacific Ocean,31
Punktat,31
Reptile,31
Vacuum Dustbin,31
Venous,31
coyote,31
live_animal,31
peaches,31
plaque,31
salmon,31
whole cell,31
Abdominal,30
CVC,30
Chilli,30
Chlorophyte: Penicillus capitatus,30
Digestive,30
"Eden Landing Ponds, San Francisco, CA, USA",30
Eggs,30
Femoral Arterial Sheath,30
Hydrothermal vent basalt,30
Insect,30
Knee,30
PA,30
Rifle well CD01 at 16ft depth; 1.2 micron filter at time point A,30
WILD BOAR,30
WWTP influent,30
alfalfa seed,30
boreal forest,30
desert sand,30
e9.5 right ventricular septum,30
embryonic death,30
floor-dry aisle,30
ground,30
guacamole,30
house sparrow,30
microbiological samples,30
nasophraynx,30
necrobiome,30
organic whole grain oatmeal cereal,30
ovaries,30
phlegm,30
pine siskin,30
tahini,30
0,29
"Alviso Ponds, San Francisco, CA, USA",29
Animal-Calf-Non Formula-fed Veal,29
China,29
DERBY,29
ENVO:00000446,29
Heads,29
PGA,29
Rectovaginal,29
Retail shop,29
Sub-seafloor massive sulfide deposits,29
Subsurface cyanoHAB grab,29
Subsurface fluids,29
Uknown,29
Unspecified Bird,29
Urin,29
abdominal,29
aerobic denitrifying enrichment 32 oxic-anoxic cycles/day,29
bovine feed,29
broth,29
herring gull,29
ovary,29
ovis aries,29
plastic,29
Genital,28
Mariane macroalgea Saccharina sp.,28
NHS Scotland,28
Non-Lithifying Microbial Mat A,28
Nut,28
Screen,28
Thiocyanate bioreactor,28
Tool samples,28
aerobic denitrifying enrichment 4 oxic-anoxic cycles/day,28
bedsheets,28
cumin seed,28
deep-sea hydrothermal vent,28
defecation,28
herring,28
hindgut (section IV),28
horse equine,28
midgut,28
mucus,28
mushroom,28
necrotic enteritis field case,28
opened powdered infant formula,28
organic whole grain multi-grain cereal,28
ovine,28
sandwich,28
shipment liner from hatchery,28
sold in market,28
wild boar,28
Amazonian Dark Earths litter,27
ENVO:01000317,27
Feeds,27
Health care,27
Honey,27
Mariner hydrothermal plume 25m,27
N2O respiring enrichment,27
PET_dung,27
Pastries,27
ULCER,27
WWTP outflow Grand Prado,27
bed rail,27
biosyringe of microbial iron mat on a black smoker,27
brine fluids,27
crabmeat,27
environemental,27
floating plastic debris,27
forest biome,27
litter,27
pellet,27
spice,27
tilapia (Oreochromis sp.),27
Arctic Ocean:Svalbard,26
BROOME,26
Beetle Malpighian tubules,26
Bos taurus,26
Day-old chick,26
"ECG monitor, infusion pump, vaporizer and hanging tower",26
Joints,26
Left guttural pouch,26
Raisins,26
Smooth Stromatolite C,26
WIP,26
WW Vallon-Hoarau,26
bark,26
bovine barrier,26
bronchoaspiration material,26
call button,26
carrot,26
celery,26
cumin powder,26
gastric antrum,26
hillside,26
infected vegetal samples,26
internal organs,26
introitus,26
nebulisers,26
nosocomial,26
nut butter,26
oregano,26
pistachio halva,26
plastisphere,26
poultry meat,26
product egg raw white,26
tongue scraping,26
white peach,26
46.500 N 11.350 E,25
CANDO+P Bioreactor,25
Cabernet Sauvignon,25
Ciliate: Metopus strain FRESH26,25
Dinoflagellate: Symbiodinium microadriaticum,25
FITZROY CROSSING,25
Garlic bread,25
Kisii,25
Peritoneum,25
Pigeon,25
Prostate,25
Reptiles,25
Rifle well CD01 at 16ft depth; 1.2 micron filter at time point D,25
Right guttural pouch,25
Spine,25
Sterile Body Site,25
Subgingival plaque,25
Toe,25
UC,25
alternating anaerobic and microareobic bioreactor,25
apex,25
cell passaging,25
cervical,25
chia powder,25
diaphragm,25
ducks,25
flocular biomat,25
ground cumin,25
hyperthermophilic anaerobic system,25
meconium,25
mesophilic anaerobic digestion,25
oyster product,25
shoot,25
thermophilic anaerobic digestion,25
wholesale market,25
Abattoir,24
Annelid: Aphrodita longipalpa,24
Barn floor,24
Bed rails and adjustors,24
Beebe hydrothermal vent plume at at depth of 4900m,24
Beta vulgaris var. Amethyst phytosphere,24
Ciliate: Plagiopyla sp. strain JUDRED,24
ENVO:00003862,24
Foliar,24
Gown,24
HALLS CREEK,24
Hand,24
Hydrothermal Plume,24
Imported/domestic retail Mussels,24
Inpatient samples,24
Market [ENVO:01000987],24
Meconium,24
Nasopharygneal lavage,24
Opalinus Clay rock porewater BRC-3 borehole,24
Squid,24
Tankmilk,24
Waterline,24
autopsy,24
biological sulfate-reducing reactor system: BSR_inoc,24
coral,24
fresh coriander,24
hip joint,24
needle,24
pleura,24
ring billed gull,24
silage,24
soybean meal,24
trach asp,24
whole black pepper,24
Back,23
CB-THIGHS,23
"Calvert Island, British Columbia, Canada",23
Ciliate: Trimyema sp. strain FARO3,23
Dry seeds,23
Electronic waste dumpsite,23
Endotracheal secretions,23
Greenhouse,23
Homa Bay,23
Internal Organs,23
Medical hoist tower related instruments,23
Ocean cavity beneath Ross Ice Shelf,23
"PROTECT experiment, Tray 1, Comp 2, dark layer",23
Rain forest,23
S.Ruminant (lamb/goat),23
Thiocyanate stock bioreactor,23
Tn5 transposon insertions mutant of the strain EB037,23
Tracheobronchial aspiration,23
banquettes,23
cake,23
chick-box-paper,23
cloacal,23
hamburger,23
insect,23
knee,23
lab-derived,23
mWWTP inflow,23
market,23
pharingeal exudate,23
sea crab,23
tuna salad,23
Ankle,22
Arctic Ocean,22
COPD,22
Capian Sea,22
Clean room,22
Computer keyboard and mouse,22
Crop,22
DGI,22
Device,22
Dispensing table,22
GM12878 cell line,22
Jejunum,22
Medical Equipment,22
Oropharinx,22
"PROTECT experiment, Tray 2, Comp 2, dark layer",22
Pharygitis,22
Probiotic,22
Public shower - women,22
Quilts,22
Rice seed,22
Surfaces hatchery,22
Veal,22
Wild birds,22
abdominal dropsy,22
black fungus,22
cloacal (commercial),22
deli case,22
gall,22
granny smith apple,22
lavage,22
natriuresis,22
organic material,22
organic whole grain multi-grain oatmeal infant cereal,22
pumpkin seed,22
raw pistachio,22
shower,22
tuna,22
Abcess,21
Agriculture,21
Box liner,21
Chocolate,21
Driveline,21
Droppings,21
Feaces,21
HCW-After-Right glove,21
Lichen: Cladonia diversa,21
Netherlands,21
Payload Hazardous Servicing Facility,21
Rifle well CD01 at 16ft depth; 1.2 micron filter at time point B,21
Rifle well CD01 at time point 5 / E; 5m depth; 0.2 filter,21
Surrounding Streams,21
"Table , Facility 2000",21
WHOLE BIRD,21
bed linen,21
butter,21
cannula,21
crow,21
dorsal fur,21
dropping,21
duck cloacal,21
estuarine biome [ENVO:01000020],21
expectorate,21
hemolymph,21
infant formula,21
phyllosphere,21
sugarcane,21
whole bodies,21
Abattoir Thigh,20
Anal gland,20
Biomedical waste site,20
CEREMI,20
Cellulitis,20
Chlorophyte: Penicillus lamourouxii,20
Ciliate: Metopus sp. strain SALT15A,20
Ciliate: Plagiopyla sp. strain F1A,20
Colorectal carcinoma,20
Embryonic fibroblast (E13.5),20
Endotracheal aspiration,20
Homemade sausage,20
Intraabdominal,20
MiniBAL,20
Mucilage in the Sea of Marmara,20
NICU,20
Nervous system,20
Powdered Infant Formula,20
Rifle well CD01 at 16ft depth; 1.2 micron filter at time point C,20
Transtracheal Wash,20
Tui Malila hydrothermal plume 10m,20
animal feed canola meal,20
bat,20
bovine body,20
coniferous forest humus,20
dorsal horn,20
duck organ,20
egg shell,20
egg white,20
filter sock,20
frozen octopus,20
ham sandwich,20
hand,20
iPS-derived motor neurons,20
necropsy,20
paw,20
undefined,20
walnut,20
AOM-Mn bioreactor day 314,19
BCLQ (http://bclq.org),19
Colloform Stromatolite A,19
Dinoflagellate: Gerakladium sp. JEP-2021,19
Dinoflagellate: Noctiluca scintillans,19
Dinoflagellate: Symbiodinium tridacnidarum,19
Domestic cat,19
ENVO:01000905,19
Heel,19
ND,19
Operation tabletop,19
Peanut,19
Phlegm,19
Pool,19
Rifle well CD01 at time point 2 / B; 5m depth; 0.2 filter,19
Rifle well FP-101 under low O2 conditions; 0.2 micron filter; 10% subassembly,19
Shower 3,19
Stromal vascular fraction,19
Suppuration,19
Sus scrofa,19
USA,19
Unspecified,19
Wild animal,19
back,19
biological sulfate-reducing reactor system: BSR_Ace_C_na,19
biome [ENVO:00000428],19
bodily cavity,19
carcasses,19
duodenum,19
field,19
guinea fowl,19
mangrove biome,19
microgreen,19
ocean biome,19
pancit noodles,19
periorbital,19
pure isolated colony,19
raw cream,19
rhizoplane from growth stage:V5,19
seedling,19
testis,19
trail snack mix,19
white sesame seed,19
zucchini,19
0.2-1 micron,18
"Bedrail , Facility 2000",18
Birds,18
Carrier,18
Chardonnay,18
Ciliate: Plagiopyla frontata,18
Ciliate: Plagiopyla sp. strain OYSTR,18
Factory,18
Fishery products,18
Gastric Liquid,18
Hydroponic greenhouse,18
INTEST,18
MRSA,18
NPS,18
PBMC,18
"PROTECT experiment, Tray 1, Comp 2, UV layer",18
Pool of organs,18
Salmonella enterica,18
Scotland: Edinburgh,18
Smoked herring,18
Tengger Desert,18
WWTP Brno,18
"West Anvers Island, Antarctica",18
bulbs,18
choana,18
corn,18
dog chew,18
faces,18
frozen sprouted moth beans,18
household tap filter,18
livestock,18
"microbial iron mat from Troll Wall vent field, rift valley",18
nectarine,18
not assigned,18
nut,18
probiotic supplement,18
quail,18
rapid sand filter,18
rhizoplane from growth stage:V2,18
room telephone,18
seaweed,18
shoot base of seedling,18
suspension,18
systemic,18
wheat flour,18
whole grain oatmeal baby cereal,18
Arctic cryosol methane SIP,17
Biological material,17
Cake,17
"Call button , Facility 2000",17
"Curtain , Facility 2000",17
Domestic pet,17
Effusion,17
Expectoration,17
Field,17
Gruyere,17
Lichen: Xanthoria parietina,17
Monocyte,17
Mouse ES Cells,17
Mycetoma Lesion,17
Osteoarticular,17
Pancreatic islet,17
Rain,17
Restaurant,17
Rifle well CD01 at time point 4 / D; 5m depth; 0.2 filter,17
Scarlet fever,17
South Nation Watershed,17
Ultrasound gel,17
anaerobic digestion bioreactor,17
bedding,17
cashew,17
chick papers,17
clover sprout,17
decompost/inocula,17
doorknob,17
dry sand,17
duedonoscope instrument,17
epithelial cells,17
exudate,17
fester,17
green powder,17
hazelnut,17
hummus,17
isolated from fly samples,17
no source specified,17
nuggets,17
peat,17
plant stem,17
raw macadamia nut,17
red chili powder,17
slaughterhouse (Gallus gallus),17
snail,17
spacecraft hardware,17
synovial,17
turkeys,17
various material,17
American white pelican,16
Ammonium sulfate bioreactor,16
Arugula,16
Baby meal,16
Beside Area,16
Blanched Organic Cashew Pieces,16
Decubitus,16
Diphtheritic lesion,16
Fertilizer,16
Gull,16
Intertidal zone,16
KUNUNURRA,16
Lichen: Verrucaria ditmarsica,16
Lv hultraeet,16
PE,16
ROV grab from gas hydrate in Gulf of Mexico,16
Rifle well CD01 at time point 2 / B; 5m depth; 0.1 filter,16
Riverwater from Wurundjeri lands,16
Sewer,16
T cells,16
"Tv buttons , Facility 1000",16
Upshore outside the box,16
VV,16
anaerobic fermentation tank,16
bacteriome and fat body,16
buccal mucosa,16
cassava fermentation tank,16
cerebral meninges,16
common tern,16
curd,16
dog treat,16
egg salad sandwich,16
elk,16
env,16
feline,16
field runoff,16
finished feed,16
floor-deli,16
garlic powder,16
grass shoots,16
head,16
hip,16
hot dog,16
lichen thallus,16
live specimen,16
lumbar DRG neuron,16
mangrove,16
rice field,16
serosa,16
soy nut butter,16
syringe drivers,16
unspecified,16
vastus lateralis muscle,16
whole grain oatmeal infant baby cereal,16
yolk,16
"Beds (handrails, rails, etc.)",15
Beet,15
CVP,15
ENVO:01000048,15
ENVO:01000320,15
ENVO_01000248,15
End proudct,15
Erinaceus europaeus,15
Fistula,15
Ground Lamb,15
Herd 103,15
Herd 226,15
Infiltrative Basal Cell Carcinoma,15
Laying_hens,15
Maize soils,15
Market,15
Medical Staff Soles,15
Mediterranean,15
Motoneurons Hb9::GFP positive,15
Nodular basal cell carcinoma,15
Parsley,15
Pecorino,15
Raw feed (bran crop),15
Rice flour product,15
Rifle well FP-101 under low O2 conditions; 1.2 micron filter; 10% subassembly,15
Rocket,15
Salpingitis,15
Shiraz,15
Slurry,15
Sow,15
TBA,15
TV remote,15
Thighs,15
"Toilet seat , Facility 2000",15
Tracheal lavage,15
"Tv buttons , Facility 2000",15
Wetland,15
"Wild boar, organs",15
ZIMBABWE,15
abattoir[ENVO:01000925],15
agricultural land,15
all purpose flour,15
avian population,15
bean sprout,15
cashew brie,15
cliff swallow,15
creamy soy nut butter,15
envrionmental,15
farm,15
frozen tuna steak,15
geese,15
hot pepper,15
inner-wall of overflows,15
meal replacement,15
microbes were collected at JL-Dive100-S03,15
orange juice,15
orchard biome,15
peanut,15
pigeon,15
plankton,15
