count,field,raw_value,normalized_value,status,current_standardized_value
1873,Host Disease,tuberculosis,tuberculosis,standardized,tuberculosis
1866,Isolation Source,root,root,standardized,plant-associated material
1865,Host Disease,Clostridium difficile infection,clostridium difficile infection,standardized,Clostridioides difficile infection
1860,Sample Type,tissue sample,tissue sample,standardized,tissue
1857,Isolation Source,clinical material,clinical material,standardized,clinical sample
1854,Isolation Source,Tissue,tissue,standardized,tissue
1816,Isolation Site,blood,blood,standardized,blood
1803,Sample Type,bacterial culture,bacterial culture,standardized,bacterial culture
1773,Isolation Source,meat,meat,standardized,meat product
1765,Isolation Source,cerebrospinal fluid,cerebrospinal fluid,standardized,body fluid
1763,Sample Type,culture,culture,standardized,culture
1750,Sample Type,food,food,standardized,food
1750,Host Disease,diarrhea,diarrhea,standardized,diarrheal disease
1744,Isolation Source,nares,nares,standardized,clinical/host-associated material
1732,Isolation Source,Animal-Cattle-Steer (cecal),animal cattle steer,standardized,clinical/host-associated material
1688,Isolation Source,Nonintact Chicken,nonintact chicken,standardized,poultry meat/product
1688,Environment (Local Scale),human feces,human feces,standardized,gut/fecal local context
1684,Environment Medium,rich broth,rich broth,standardized,culture medium
1680,Isolation Source,Rectal,rectal,standardized,clinical/host-associated material
1676,Isolation Source,Whole organism,whole organism,standardized,whole organism
1676,Isolation Source,seawater,seawater,standardized,seawater
1675,Isolation Source,NP,np,standardized,nasopharynx/oropharynx
1666,Isolation Source,tracheal aspirate,tracheal aspirate,standardized,tracheal aspirate
1647,Isolation Source,turkey,turkey,unmapped,
1621,Sample Type,human,human,unmapped,
1607,Isolation Source,stomach,stomach,standardized,clinical/host-associated material
1587,Environment (Broad Scale),algae metagenome,algae metagenome,standardized,marine environment
1574,Isolation Source,single cell amplified by WGA-X; Bigelow Laboratory Dock,single cell amplified by wga x bigelow laboratory dock,standardized,laboratory
1572,Isolation Source,spore release from mature blade,spore release from mature blade,standardized,spore release material
1550,Isolation Source,leaf,leaf,standardized,plant-associated material
1544,Environment (Local Scale),stream,stream,standardized,stream
1540,Environment (Broad Scale),Small river biome,small river biome,standardized,freshwater environment
1528,Host Disease,Tuberculosis,tuberculosis,standardized,tuberculosis
1526,Environment Medium,skin swab,skin swab,unmapped,
1519,Environment (Local Scale),Agricultural Land,agricultural land,standardized,agricultural land
1514,Environment Medium,Agricultural Land,agricultural land,standardized,soil
1498,Isolation Source,patient clinical specimen,patient clinical specimen,standardized,clinical sample
1485,Isolation Source,root nodule,root nodule,standardized,plant-associated material
1479,Environment (Broad Scale),estuarine biome [ENVO:01000020],estuarine biome envo 01000020,standardized,estuarine environment
1474,Environment Medium,water,water,standardized,water
1473,Sample Type,animal,animal,unmapped,
1466,Isolation Source,Homo Sapiens clinical,homo sapiens clinical,standardized,clinical sample
1460,Isolation Source,bovine,bovine,unmapped,
1455,Environment Medium,estuarine water [ENVO:01000301],estuarine water envo 01000301,standardized,estuarine water
1431,Host Disease,pertussis,pertussis,standardized,pertussis
1418,Isolation Source,clinical isolate,clinical isolate,standardized,clinical sample
1417,Isolation Source,Pork,pork,standardized,pork/meat product
1412,Isolation Source,Chicken meat,chicken meat,standardized,poultry meat/product
1405,Environment (Local Scale),feces,feces,standardized,gut/fecal local context
1402,Isolation Site,Faeces,feces,standardized,feces/stool
1400,Isolation Source,Human faeces,human faeces,unmapped,
1399,Isolation Source,Animal-Turkey-Young Turkey,animal turkey young turkey,unmapped,
1392,Isolation Source,Animal-Cattle-Heifer (cecal),animal cattle heifer,standardized,clinical/host-associated material
1386,Environment (Local Scale),Activated sludge,activated sludge,standardized,activated sludge
1377,Isolation Source,cattle,cattle,unmapped,
1377,Isolation Source,oyster,oyster,standardized,Oyster
1376,Isolation Source,Cell culture,cell culture,standardized,cell culture
1368,Environment (Broad Scale),human gut metagenome,human gut metagenome,standardized,host-associated gut/oral/fecal environment
1366,Environment (Broad Scale),Soil,soil,standardized,terrestrial environment
1364,Sample Type,Pure culture,pure culture,standardized,pure culture
1360,Isolation Source,tissue,tissue,standardized,tissue
1355,Isolation Source,urethra,urethra,standardized,clinical/host-associated material
1349,Isolation Source,beef,beef,standardized,beef/meat product
1328,Isolation Source,Blood Culture,blood culture,standardized,blood
1315,Environment (Broad Scale),skin of body [UBERON:0002097],skin of body uberon 0002097,unmapped,
1301,Isolation Source,groundwater,groundwater,standardized,groundwater
1289,Isolation Source,Chicken Wings,chicken wings,unmapped,
1287,Environment (Local Scale),biological sample,biological sample,standardized,gut/fecal local context
1285,Environment Medium,ENVO:02000040,envo 02000040,unmapped,
1284,Isolation Source,Product-Raw-Intact-Pork,product raw intact pork,standardized,pork/meat product
1284,Environment (Broad Scale),mine drainage metagenome,mine drainage metagenome,standardized,aquatic sediment environment
1284,Environment (Broad Scale),ENVO:01001055,envo 01001055,unmapped,
1266,Isolation Source,cheese,cheese,standardized,dairy food
1266,Environment Medium,sediment,sediment,standardized,sediment
1264,Isolation Source,bacteria,bacteria,standardized,metadata descriptor/non-source
1207,Isolation Source,Ground Beef,ground beef,standardized,beef/meat product
1200,Isolation Source,Stool swab,stool swab,standardized,fecal/stool swab
