count,field,raw_value,normalized_value,status,current_standardized_value
275,Isolation Source,FLUID (BODY)_SPUTUM (COUGHED),fluid sputum,standardized,body fluid
275,Isolation Source,tonsil swab,tonsil swab,standardized,clinical/host-associated material
274,Isolation Source,wildlife,wildlife,standardized,wildlife
274,Isolation Site,Fresh leaves,fresh leaves,standardized,leaf tissue
273,Isolation Source,papaya,papaya,standardized,plant/produce food product
273,Environment (Local Scale),estuary,estuary,standardized,estuary
273,Environment (Broad Scale),anthropogenic terrestrial biome,anthropogenic terrestrial biome,standardized,terrestrial environment
272,Isolation Source,vegetable,vegetable,standardized,plant/produce food product
272,Isolation Source,"Municipal wastewater, Sand Island WWTP",municipal wastewater sand island wwtp,standardized,wastewater
272,Isolation Source,Guyana,guyana,standardized,Guyana
272,Sample Type,Soil,soil,standardized,soil
272,Host Disease,M. abscessus lung disease,m. abscessus lung disease,standardized,respiratory disease
271,Isolation Source,colon contents,colon contents,standardized,clinical/host-associated material
271,Isolation Source,Human gut,human gut,standardized,clinical/host-associated material
271,Isolation Source,Clinical,clinical,standardized,clinical sample
271,Isolation Source,wood,wood,standardized,wood
271,Isolation Source,homo,homo,unmapped,
271,Environment Medium,surface swab,surface swab,unmapped,
271,Isolation Source,Infants,infants,unmapped,
271,Host Disease,acute respiratory tract infection,acute respiratory tract infection,standardized,respiratory infection
270,Isolation Source,agricultural soil,agricultural soil,standardized,soil
270,Isolation Source,Rectal swab/stool,rectal swab stool,standardized,clinical/host-associated material
270,Host Disease,Gastritis,gastritis,standardized,gastritis
269,Environment Medium,Colon contents,colon contents,unmapped,
269,Sample Type,animal,animal,standardized,clinical sample
268,Isolation Source,tree nut,tree nut,standardized,tree nut
268,Isolation Source,chicken feces,chicken feces,unmapped,
268,Environment Medium,buffered agar,buffered agar,standardized,culture medium
268,Environment (Broad Scale),laboratory Petri dish,laboratory petri dish,standardized,laboratory environment
267,Isolation Source,Human blood sample,human blood sample,unmapped,
267,Isolation Source,Leafy greens,leafy greens,standardized,leafy greens
267,Isolation Source,Vagina,vagina,standardized,clinical/host-associated material
267,Sample Type,Stool,stool,standardized,feces/stool
266,Host Disease,Diarrhea,diarrhea,standardized,diarrheal disease
266,Environment (Local Scale),shoreline,shoreline,unmapped,
266,Host Disease,pneumonia,pneumonia,standardized,pneumonia
266,Isolation Source,Citrus leaf,citrus leaf,standardized,Citrus leaf
265,Isolation Source,Human stool,human stool,unmapped,
265,Environment (Broad Scale),oral_cavity,oral cavity,standardized,host-associated gut/oral/fecal environment
265,Environment (Local Scale),supragingival_plaque,supragingival plaque,unmapped,
264,Isolation Source,Plant,plant,standardized,plant-associated material
264,Isolation Source,roots,roots,standardized,plant root/rhizosphere
263,Isolation Source,Culture,culture,standardized,culture
263,Isolation Source,Pure Culture,pure culture,standardized,pure culture
263,Sample Type,human,human,standardized,fecal/stool swab
263,Environment (Broad Scale),freshwater metagenome,freshwater metagenome,standardized,freshwater environment
261,Isolation Source,fecal swab,fecal swab,standardized,fecal/stool swab
261,Isolation Source,Fecal microbiome of Nelore,fecal microbiome of nelore,standardized,feces/stool
261,Host Disease,Sepsis,sepsis,standardized,sepsis/bacteremia
261,Isolation Source,meat processing facility,meat processing facility,standardized,meat product
260,Isolation Source,feces from patient with diarrhea,feces from patient with diarrhea,unmapped,
260,Isolation Source,peanut butter,peanut butter,standardized,peanut butter
260,Isolation Source,"URINE, CLEAN VOID",urine clean void,standardized,urine
260,Isolation Source,anaerobic bioreactor effluent,anaerobic bioreactor effluent,standardized,wastewater
260,Isolation Source,Long-term care facility,long term care facility,standardized,healthcare facility
259,Isolation Source,Blood for culture,blood for culture,standardized,blood
258,Isolation Source,Chicken Gizzard (Giblets),chicken gizzard,unmapped,
258,Environment Medium,Fecal microbiome of Bos indicus,fecal microbiome of bos indicus,unmapped,
258,Environment (Local Scale),Feces of Bos indicus,feces of bos indicus,standardized,gut/fecal local context
257,Isolation Source,endotracheal aspirate,endotracheal aspirate,standardized,aspirate
257,Isolation Source,Sea water,seawater,standardized,seawater
257,Environment (Local Scale),Cropland,cropland,unmapped,
256,Isolation Source,salmon,salmon,standardized,salmon
256,Isolation Source,hospital wastewater,hospital wastewater,standardized,hospital wastewater
256,Environment (Local Scale),gut,gut,standardized,gut/fecal local context
256,Sample Type,Whole organism,whole organism,standardized,gastric biopsy
255,Isolation Source,ground chicken,ground chicken,standardized,ground chicken
255,Isolation Source,pond water,pond water,standardized,pond water
255,Isolation Source,Perianal swab,perianal swab,standardized,clinical/host-associated material
255,Isolation Source,paddy soil,paddy soil,standardized,soil
255,Environment (Broad Scale),oil production facility metagenome,oil production facility metagenome,unmapped,
255,Isolation Site,Root nodule,root nodule,standardized,plant root/rhizosphere
253,Isolation Source,vagina,vagina,standardized,clinical/host-associated material
253,Isolation Site,Buffy Coat,buffy coat,unmapped,
252,Isolation Source,heart,heart,standardized,clinical/host-associated material
252,Isolation Source,"Human, Stool",human stool,unmapped,
252,Isolation Source,surface,surface,standardized,surface
252,Isolation Source,Drain,drain,standardized,drain
252,Host Disease,Yes,yes,standardized,diseased
252,Environment (Broad Scale),tick metagenome,tick metagenome,unmapped,
251,Isolation Source,broiler,broiler,standardized,broiler
251,Isolation Source,ascites,ascites,standardized,ascites
251,Isolation Source,stool; NASH/Fibrosis stage >=2; MASH1,stool nash fibrosis stage 2 mash1,standardized,feces/stool
251,Isolation Source,rice leaves,rice leaves,standardized,leaf tissue
250,Isolation Source,Enviromental,enviromental,standardized,environmental material
250,Isolation Source,cattle fecal samples,cattle fecal samples,unmapped,
250,Sample Type,Bacterial isolate,bacterial isolate,standardized,microbial isolate
250,Host Disease,infection,infection,standardized,infectious disease
250,Environment (Local Scale),ENVO:00002044,envo 00002044,unmapped,
250,Sample Type,Clinical or host-associated pathogen,clinical or host associated pathogen,standardized,clinical sample
249,Isolation Source,endovascular,endovascular,standardized,endovascular
249,Isolation Source,Swab rectum,swab rectum,standardized,clinical/host-associated material
248,Isolation Source,URINARY,urinary,standardized,urine
248,Host Disease,bacterial gastritis,bacterial gastritis,standardized,gastritis
248,Environment Medium,Wine,wine,unmapped,
248,Host Disease,Wine,wine,unmapped,
247,Isolation Source,sponge,sponge,standardized,sponge
247,Isolation Source,carcass swab,carcass swab,standardized,poultry meat/product
247,Isolation Source,patient with urinary tract infection,patient with urinary tract infection,standardized,urine
247,Isolation Source,Coastal bare tidal mudflat sediment,coastal bare tidal mudflat sediment,standardized,sediment
247,Isolation Source,gastric biopsy specimen,gastric biopsy specimen,standardized,gastric biopsy
246,Isolation Source,cantaloupe,cantaloupe,standardized,plant/produce food product
246,Isolation Source,Caecal,caecal,standardized,clinical/host-associated material
246,Environment Medium,ENVO:00002003,envo 00002003,unmapped,
246,Sample Type,whole organism,whole organism,standardized,rhizosphere
246,Environment Medium,freshwater,freshwater,standardized,freshwater
246,Host Disease,BRD,brd,standardized,respiratory disease
244,Isolation Source,swab (wound),swab,standardized,swab
244,Host Disease,diseased,diseased,standardized,diseased
244,Isolation Source,"broiler, feces",broiler feces,standardized,broiler
244,Isolation Source,Human body sites or biosamples,human body sites or biosamples,unmapped,
244,Environment (Local Scale),China,china,unmapped,
243,Isolation Source,environmental sample,environmental sample,standardized,environmental material
243,Isolation Source,air,air,standardized,air
243,Isolation Source,Stool,stool,standardized,feces/stool
243,Environment (Broad Scale),ENVO_00000021,envo 00000021,standardized,freshwater environment
242,Isolation Source,ICU,icu,standardized,healthcare facility
242,Sample Type,sputum,sputum,standardized,sputum
242,Isolation Source,kimchi,kimchi,standardized,plant/produce food product
242,Isolation Site,Leaf shoot,leaf shoot,standardized,leaf tissue
242,Isolation Source,Microcystis colony from freshwater lake,microcystis colony from freshwater lake,standardized,freshwater
241,Isolation Source,stool samples,stool samples,standardized,feces/stool
241,Isolation Source,mammary gland,mammary gland,standardized,clinical/host-associated material
241,Isolation Source,feral pig,feral pig,unmapped,
241,Host Disease,Legionnaires' disease,legionnaires disease,standardized,legionellosis
241,Environment (Local Scale),microbial feature,microbial feature,standardized,gut/fecal local context
240,Host Health State,diseased,diseased,standardized,diseased
240,Isolation Source,enoki mushroom,enoki mushroom,standardized,enoki mushroom
240,Isolation Source,Hospital_ICU,hospital icu,standardized,healthcare facility
239,Isolation Source,ground pork,ground pork,standardized,pork/meat product
239,Environment Medium,mucus,mucus,unmapped,
238,Isolation Source,Animal-Turkey-Turkey Carcass Sponge,animal turkey turkey carcass sponge,standardized,poultry meat/product
238,Isolation Source,chickens,chickens,unmapped,
238,Isolation Source,Food processing environment,food processing environment,standardized,food/food product
238,Sample Type,Pure culture one microbial species,pure culture one microbial species,standardized,pure/single culture
238,Isolation Site,Whole polyp cell suspension neuron,whole polyp cell suspension neuron,unmapped,
238,Environment (Broad Scale),water metagenome,water metagenome,unmapped,
237,Isolation Source,abdominal fluid,abdominal fluid,standardized,body fluid
237,Isolation Source,Marine,marine,standardized,marine
237,Environment Medium,plant matter [ENVO:01001121],plant matter envo 01001121,standardized,wastewater
237,Host Disease,Glaucoma,glaucoma,standardized,glaucoma
236,Isolation Source,faeces,feces,standardized,feces/stool
236,Sample Type,Whole organism,whole organism,standardized,soil
236,Environment (Broad Scale),marine biome [ENVO_00000447],marine biome envo 00000447,standardized,marine environment
236,Environment (Local Scale),[ENVO:02000049],envo 02000049,unmapped,
235,Isolation Source,Ground beef,ground beef,standardized,beef/meat product
235,Isolation Source,brisket swab,brisket swab,standardized,food/animal-production swab
235,Isolation Source,raw sewage,raw sewage,standardized,sewage
235,Isolation Source,groin,groin,standardized,groin
235,Isolation Source,Sputum,sputum,standardized,sputum
235,Environment Medium,leaf,leaf,standardized,plant tissue
235,Environment Medium,[ENVO:01000301],envo 01000301,standardized,surface water
235,Environment (Broad Scale),[ENVO:01000320],envo 01000320,standardized,marine environment
234,Isolation Source,Broiler,broiler,standardized,broiler
234,Isolation Source,sheep,sheep,unmapped,
234,Isolation Source,Swab sample,swab sample,standardized,swab
234,Isolation Source,cleanroom floor,cleanroom floor,standardized,built environment surface
234,Environment Medium,brine [ENVO_00003044],brine envo 00003044,standardized,seawater
234,Environment (Local Scale),coastal sea water [ENVO_00002150],coastal sea water envo 00002150,standardized,coastal area
234,Environment (Broad Scale),ENVO:01000030 (marine hydrothermal vent biome),envo 01000030,standardized,marine environment
234,Environment (Local Scale),ENVO:00000215 (hydrothermal vent ),envo 00000215,unmapped,
233,Isolation Source,Poultry meat,poultry meat,standardized,poultry meat/product
233,Isolation Source,Human urine,human urine,unmapped,
233,Environment Medium,Gut,gut,unmapped,
232,Isolation Source,avocado,avocado,standardized,avocado
232,Isolation Source,metal/plastic,metal plastic,standardized,metal
232,Environment Medium,skeleton,skeleton,unmapped,
231,Isolation Source,Rectal screen,rectal screen,standardized,clinical/host-associated material
231,Isolation Source,terrestrial,terrestrial,standardized,terrestrial environment
231,Isolation Source,Lower Respiratory Tract Secrection,lower respiratory tract secrection,standardized,respiratory sample
230,Isolation Source,dairy manure,dairy manure,standardized,manure
230,Sample Type,bacteria,bacteria,unmapped,
230,Host Disease,Screening culture,screening culture,unmapped,
229,Isolation Source,Calf fecal composite,calf fecal composite,standardized,feces/stool
229,Environment (Local Scale),greenhouse,greenhouse,unmapped,
229,Environment Medium,Biofilm,biofilm,standardized,biofilm
228,Environment (Local Scale),human-associated habitat,human associated habitat,standardized,gut/fecal local context
228,Isolation Source,respiratory samples,respiratory samples,standardized,respiratory sample
228,Isolation Source,MRSA Screen - Nose/Throat/Perineum,mrsa screen nose throat perineum,standardized,nasopharynx/oropharynx
228,Environment (Broad Scale),Marine,marine,standardized,marine environment
