synonym,canonical,taxid,confidence,note
Ciconia boyciana,Ciconia boyciana,52775,high,NCBI Taxonomy name2taxid reviewed import
Crepititermes verruculosus,Crepititermes verruculosus,187533,high,NCBI Taxonomy name2taxid reviewed import
Cornitermes pugnax,Cornitermes pugnax,377892,high,NCBI Taxonomy name2taxid reviewed import
Euhamitermes sp.,Euhamitermes sp.,3029282,high,NCBI Taxonomy name2taxid reviewed import
Colobanthus quitensis,Colobanthus quitensis,552857,high,NCBI Taxonomy name2taxid reviewed import
Oryza meridionalis,Oryza meridionalis,40149,high,NCBI Taxonomy name2taxid reviewed import
Parabotia bimaculata,Parabotia bimaculata,1173609,high,NCBI Taxonomy name2taxid reviewed import
Leiocassis longirostris,Leiocassis longirostris,175787,high,NCBI Taxonomy name2taxid reviewed import
Megalobrama pellegrini,Megalobrama pellegrini,77646,high,NCBI Taxonomy name2taxid reviewed import
Sinogastromyzon sichangensis,Sinogastromyzon sichangensis,241451,high,NCBI Taxonomy name2taxid reviewed import
Megalobrama amblycephala,Megalobrama amblycephala,75352,high,NCBI Taxonomy name2taxid reviewed import
Sinibrama melrosei,Sinibrama melrosei,286646,high,NCBI Taxonomy name2taxid reviewed import
Schizopyge dolichonema,Schizopyge dolichonema,343525,high,NCBI Taxonomy name2taxid reviewed import
Lucinoma capensis,Lucinoma capensis,2878262,high,NCBI Taxonomy name2taxid reviewed import
Dulcina madagascariensis,Dulcina madagascariensis,1548724,high,NCBI Taxonomy name2taxid reviewed import
Ctena cf. galapagana BY-2023,Ctena cf. galapagana BY-2023,3019270,high,NCBI Taxonomy name2taxid reviewed import
Liagora sp.,Liagora sp.,31488,high,NCBI Taxonomy name2taxid reviewed import
Dianthus caryophyllus,Dianthus caryophyllus,3570,high,NCBI Taxonomy name2taxid reviewed import
Prunus mume,Prunus mume,102107,high,NCBI Taxonomy name2taxid reviewed import
Oculina patagonica,Oculina patagonica,130080,high,NCBI Taxonomy name2taxid reviewed import
Helichrysum italicum,Helichrysum italicum,261786,high,NCBI Taxonomy name2taxid reviewed import
Cistus monspeliensis,Cistus monspeliensis,335184,high,NCBI Taxonomy name2taxid reviewed import
Ficus carica,Ficus carica,3494,high,NCBI Taxonomy name2taxid reviewed import
Quercus sp.,Quercus sp.,2506272,high,NCBI Taxonomy name2taxid reviewed import
Aetobatus narinari,Aetobatus narinari,87140,high,NCBI Taxonomy name2taxid reviewed import
Indri indri,Indri indri,34827,high,NCBI Taxonomy name2taxid reviewed import
Phleum pratense,Phleum pratense,15957,high,NCBI Taxonomy name2taxid reviewed import
Aegle marmelos,Aegle marmelos,68527,high,NCBI Taxonomy name2taxid reviewed import
Hydrolithon boergesenii,Hydrolithon boergesenii,1437491,high,NCBI Taxonomy name2taxid reviewed import
Prostephanus truncatus,Prostephanus truncatus,101470,high,NCBI Taxonomy name2taxid reviewed import
Oedothorax gibbosus,Oedothorax gibbosus,931172,high,NCBI Taxonomy name2taxid reviewed import
Ambragaeana ambra,Ambragaeana ambra,2811627,high,NCBI Taxonomy name2taxid reviewed import
Vittagaeana paviei,Vittagaeana paviei,2746127,high,NCBI Taxonomy name2taxid reviewed import
Hydractinia symbiolongicarpus,Hydractinia symbiolongicarpus,13093,high,NCBI Taxonomy name2taxid reviewed import
Rytidosperma caespitosum,Rytidosperma caespitosum,348273,high,NCBI Taxonomy name2taxid reviewed import
Carex sp.,Carex sp.,3136889,high,NCBI Taxonomy name2taxid reviewed import
Dyspersa apicalis,Dyspersa apicalis,3350242,high,NCBI Taxonomy name2taxid reviewed import
Bactericera trigonica,Bactericera trigonica,1100831,high,NCBI Taxonomy name2taxid reviewed import
Sulla coronaria,Sulla coronaria,299721,high,NCBI Taxonomy name2taxid reviewed import
Trifolium incarnatum,Trifolium incarnatum,60916,high,NCBI Taxonomy name2taxid reviewed import
Sophora flavescens,Sophora flavescens,49840,high,NCBI Taxonomy name2taxid reviewed import
Medicago ruthenica,Medicago ruthenica,70973,high,NCBI Taxonomy name2taxid reviewed import
Vaccinium sp.,Vaccinium sp.,3394667,high,NCBI Taxonomy name2taxid reviewed import
Malus sylvestris,Malus sylvestris,3752,high,NCBI Taxonomy name2taxid reviewed import
Oxytropis pumilio,Oxytropis pumilio,1527603,high,NCBI Taxonomy name2taxid reviewed import
Codium fragile,Codium fragile,3133,high,NCBI Taxonomy name2taxid reviewed import
Amphicarpaea bracteata,Amphicarpaea bracteata,45679,high,NCBI Taxonomy name2taxid reviewed import
Dracaena sanderiana,Dracaena sanderiana,326070,high,NCBI Taxonomy name2taxid reviewed import
Lucilia cuprina,Lucilia cuprina,7375,high,NCBI Taxonomy name2taxid reviewed import
Echinochloa crus-galli,Echinochloa crus-galli,90397,high,NCBI Taxonomy name2taxid reviewed import
Syngonium podophyllum,Syngonium podophyllum,267621,high,NCBI Taxonomy name2taxid reviewed import
Photinus corruscus,Photinus corruscus,3446125,high,NCBI Taxonomy name2taxid reviewed import
Chionoecetes japonicus,Chionoecetes japonicus,290538,high,NCBI Taxonomy name2taxid reviewed import
Smenospongia aurea,Smenospongia aurea,289409,high,NCBI Taxonomy name2taxid reviewed import
Psidium guajava,Psidium guajava,120290,high,NCBI Taxonomy name2taxid reviewed import
Cydonia oblonga,Cydonia oblonga,36610,high,NCBI Taxonomy name2taxid reviewed import
Orius albidipennis,Orius albidipennis,1005351,high,NCBI Taxonomy name2taxid reviewed import
Pyrus sp.,Pyrus sp.,3120530,high,NCBI Taxonomy name2taxid reviewed import
Abies koreana,Abies koreana,97170,high,NCBI Taxonomy name2taxid reviewed import
Nasonia giraulti,Nasonia giraulti,7426,high,NCBI Taxonomy name2taxid reviewed import
Leptinotarsa decemlineata,Leptinotarsa decemlineata,7539,high,NCBI Taxonomy name2taxid reviewed import
Monopterus albus,Monopterus albus,43700,high,NCBI Taxonomy name2taxid reviewed import
Trichiurus lepturus,Trichiurus lepturus,13733,high,NCBI Taxonomy name2taxid reviewed import
Caenorhabditis briggsae,Caenorhabditis briggsae,6238,high,NCBI Taxonomy name2taxid reviewed import
Crotalaria pallida,Crotalaria pallida,3830,high,NCBI Taxonomy name2taxid reviewed import
Merluccius capensis,Merluccius capensis,89947,high,NCBI Taxonomy name2taxid reviewed import
Brassica rapa subsp. oleifera,Brassica rapa subsp. oleifera,145471,high,NCBI Taxonomy name2taxid reviewed import
Steinernema khoisanae,Steinernema khoisanae,362947,high,NCBI Taxonomy name2taxid reviewed import
Steinernema feltiae,Steinernema feltiae,52066,high,NCBI Taxonomy name2taxid reviewed import
Idas modiolaeformis,Idas modiolaeformis,1417997,high,NCBI Taxonomy name2taxid reviewed import
Aporrectodea caliginosa,Aporrectodea caliginosa,302032,high,NCBI Taxonomy name2taxid reviewed import
Symbiodinium kawagutii,Symbiodinium kawagutii,104179,high,NCBI Taxonomy name2taxid reviewed import
Reishia bronni,Reishia bronni,578817,high,NCBI Taxonomy name2taxid reviewed import
Cygnus melancoryphus,Cygnus melancoryphus,41691,high,NCBI Taxonomy name2taxid reviewed import
Arctocephalus tropicalis,Arctocephalus tropicalis,37194,high,NCBI Taxonomy name2taxid reviewed import
Anser cygnoides,Anser cygnoides,8845,high,NCBI Taxonomy name2taxid reviewed import
Orius sp.,Orius sp.,3609675,high,NCBI Taxonomy name2taxid reviewed import
Lasioglossum imitatum,Lasioglossum imitatum,88493,high,NCBI Taxonomy name2taxid reviewed import
Haliotis discus hannai,Haliotis discus hannai,42344,high,NCBI Taxonomy name2taxid reviewed import
Stictoleptura rubra,Stictoleptura rubra,1553007,high,NCBI Taxonomy name2taxid reviewed import
Wohlfahrtia magnifica,Wohlfahrtia magnifica,641482,high,NCBI Taxonomy name2taxid reviewed import
Bombus vagans,Bombus vagans,239131,high,NCBI Taxonomy name2taxid reviewed import
Carnegiea gigantea,Carnegiea gigantea,171969,high,NCBI Taxonomy name2taxid reviewed import
Colocasia esculenta,Colocasia esculenta,4460,high,NCBI Taxonomy name2taxid reviewed import
Papaver rhoeas,Papaver rhoeas,33128,high,NCBI Taxonomy name2taxid reviewed import
Thamnophis sirtalis,Thamnophis sirtalis,35019,high,NCBI Taxonomy name2taxid reviewed import
Parabuteo unicinctus,Parabuteo unicinctus,223492,high,NCBI Taxonomy name2taxid reviewed import
Eocanthecona furcellata,Eocanthecona furcellata,696902,high,NCBI Taxonomy name2taxid reviewed import
Undaria pinnatifida,Undaria pinnatifida,74381,high,NCBI Taxonomy name2taxid reviewed import
Chloris chloris,Chloris chloris,37601,high,NCBI Taxonomy name2taxid reviewed import
Centella asiatica,Centella asiatica,48106,high,NCBI Taxonomy name2taxid reviewed import
Luciobarbus capito,Luciobarbus capito,77794,high,NCBI Taxonomy name2taxid reviewed import
Oxytropis kamtschatica,Oxytropis kamtschatica,1527596,high,NCBI Taxonomy name2taxid reviewed import
Grateloupia sp.,Grateloupia sp.,185958,high,NCBI Taxonomy name2taxid reviewed import
Jugositermes tuberculatus,Jugositermes tuberculatus,377920,high,NCBI Taxonomy name2taxid reviewed import
Bursaphelenchus xylophilus,Bursaphelenchus xylophilus,6326,high,NCBI Taxonomy name2taxid reviewed import
Pyropia tenera,Pyropia tenera,2785,high,NCBI Taxonomy name2taxid reviewed import
Rattus losea,Rattus losea,69075,high,NCBI Taxonomy name2taxid reviewed import
Microtus arvalis,Microtus arvalis,47230,high,NCBI Taxonomy name2taxid reviewed import
Gasterosteus aculeatus,Gasterosteus aculeatus,69293,high,NCBI Taxonomy name2taxid reviewed import
Leishmania braziliensis,Leishmania braziliensis,5660,high,NCBI Taxonomy name2taxid reviewed import
Acanthamoeba polyphaga,Acanthamoeba polyphaga,5757,high,NCBI Taxonomy name2taxid reviewed import
Pinna nobilis,Pinna nobilis,111169,high,NCBI Taxonomy name2taxid reviewed import
Xiphophorus helleri,Xiphophorus helleri,8084,high,NCBI Taxonomy name2taxid reviewed import
Maytenus austroyunnanensis,Maytenus austroyunnanensis,714482,high,NCBI Taxonomy name2taxid reviewed import
Reishia luteostoma,Reishia luteostoma,578820,high,NCBI Taxonomy name2taxid reviewed import
Lissodendoryx sigmata,Lissodendoryx sigmata,458503,high,NCBI Taxonomy name2taxid reviewed import
Tedania ignis,Tedania ignis,278976,high,NCBI Taxonomy name2taxid reviewed import
Serapias vomeracea,Serapias vomeracea,145958,high,NCBI Taxonomy name2taxid reviewed import
Pyxine cocoes,Pyxine cocoes,205636,high,NCBI Taxonomy name2taxid reviewed import
Barleria lupulina,Barleria lupulina,101743,high,NCBI Taxonomy name2taxid reviewed import
Odontomachus simillimus,Odontomachus simillimus,451825,high,NCBI Taxonomy name2taxid reviewed import
Cladonia cristatella,Cladonia cristatella,174055,high,NCBI Taxonomy name2taxid reviewed import
Blaps rhynchoptera,Blaps rhynchoptera,1379410,high,NCBI Taxonomy name2taxid reviewed import
Fucus vesiculosus,Fucus vesiculosus,49266,high,NCBI Taxonomy name2taxid reviewed import
Medicago arborea,Medicago arborea,66807,high,NCBI Taxonomy name2taxid reviewed import
Broussonetia papyrifera,Broussonetia papyrifera,172644,high,NCBI Taxonomy name2taxid reviewed import
Callitris preissii,Callitris preissii,329097,high,NCBI Taxonomy name2taxid reviewed import
Geodia barretti,Geodia barretti,519541,high,NCBI Taxonomy name2taxid reviewed import
Phoebe bournei,Phoebe bournei,460784,high,NCBI Taxonomy name2taxid reviewed import
Casuarius casuarius,Casuarius casuarius,8787,high,NCBI Taxonomy name2taxid reviewed import
Schizothorax sinensis,Schizothorax sinensis,1080309,high,NCBI Taxonomy name2taxid reviewed import
Glossina fuscipes fuscipes,Glossina fuscipes fuscipes,201502,high,NCBI Taxonomy name2taxid reviewed import
Drosophila neotestacea,Drosophila neotestacea,38839,high,NCBI Taxonomy name2taxid reviewed import
Eriocheir sinensis,Eriocheir sinensis,95602,high,NCBI Taxonomy name2taxid reviewed import
Haliotis diversicolor,Haliotis diversicolor,36095,high,NCBI Taxonomy name2taxid reviewed import
Ciona robusta,Ciona robusta,1774208,high,NCBI Taxonomy name2taxid reviewed import
Discogobio yunnanensis,Discogobio yunnanensis,887869,high,NCBI Taxonomy name2taxid reviewed import
Triplophysa leptosoma,Triplophysa leptosoma,1792972,high,NCBI Taxonomy name2taxid reviewed import
Diatraea saccharalis,Diatraea saccharalis,40085,high,NCBI Taxonomy name2taxid reviewed import
Acanthurus sohal,Acanthurus sohal,1484167,high,NCBI Taxonomy name2taxid reviewed import
Gopherus polyphemus,Gopherus polyphemus,38773,high,NCBI Taxonomy name2taxid reviewed import
Tetragonula carbonaria,Tetragonula carbonaria,148810,high,NCBI Taxonomy name2taxid reviewed import
Rhinoceros unicornis,Rhinoceros unicornis,9809,high,NCBI Taxonomy name2taxid reviewed import
Dendropanax trifidus,Dendropanax trifidus,96665,high,NCBI Taxonomy name2taxid reviewed import
Photinia glabra,Photinia glabra,294377,high,NCBI Taxonomy name2taxid reviewed import
Ficus erecta,Ficus erecta,66383,high,NCBI Taxonomy name2taxid reviewed import
Ribes aureum,Ribes aureum,23283,high,NCBI Taxonomy name2taxid reviewed import
Solidago canadensis var. scabra,Solidago canadensis var. scabra,59294,high,NCBI Taxonomy name2taxid reviewed import
Zizania aquatica,Zizania aquatica,75727,high,NCBI Taxonomy name2taxid reviewed import
Pueraria montana,Pueraria montana,132459,high,NCBI Taxonomy name2taxid reviewed import
Acer buergerianum,Acer buergerianum,57649,high,NCBI Taxonomy name2taxid reviewed import
Sugar beet,Sugar beet,3555,high,NCBI Taxonomy name2taxid reviewed import
Morchella sp.,Morchella sp.,1935343,high,NCBI Taxonomy name2taxid reviewed import
Castanea sativa,Castanea sativa,21020,high,NCBI Taxonomy name2taxid reviewed import
Primula sp.,Primula sp.,3387838,high,NCBI Taxonomy name2taxid reviewed import
Syringa vulgaris,Syringa vulgaris,34270,high,NCBI Taxonomy name2taxid reviewed import
Flammulina filiformis,Flammulina filiformis,2060913,high,NCBI Taxonomy name2taxid reviewed import
Salmo coruhensis,Salmo coruhensis,2358192,high,NCBI Taxonomy name2taxid reviewed import
Poecilia sphenops,Poecilia sphenops,69235,high,NCBI Taxonomy name2taxid reviewed import
Borago officinalis,Borago officinalis,13363,high,NCBI Taxonomy name2taxid reviewed import
Erodium acaule,Erodium acaule,337346,high,NCBI Taxonomy name2taxid reviewed import
Cichorium intybus var. foliosum,Cichorium intybus var. foliosum,2954304,high,NCBI Taxonomy name2taxid reviewed import
Erigeron canadensis,Erigeron canadensis,72917,high,NCBI Taxonomy name2taxid reviewed import
Mareca penelope,Mareca penelope,8838,high,NCBI Taxonomy name2taxid reviewed import
Abelmoschus esculentus,Abelmoschus esculentus,455045,high,NCBI Taxonomy name2taxid reviewed import
Aloe vera,Aloe vera,34199,high,NCBI Taxonomy name2taxid reviewed import
Acipenser baerii,Acipenser baerii,27689,high,NCBI Taxonomy name2taxid reviewed import
Thuja occidentalis,Thuja occidentalis,3317,high,NCBI Taxonomy name2taxid reviewed import
Oenothera laciniata,Oenothera laciniata,238288,high,NCBI Taxonomy name2taxid reviewed import
Thaumetopoea processionea,Thaumetopoea processionea,499230,high,NCBI Taxonomy name2taxid reviewed import
Crataegus pinnatifida,Crataegus pinnatifida,510735,high,NCBI Taxonomy name2taxid reviewed import
Cacopsylla pyri,Cacopsylla pyri,121839,high,NCBI Taxonomy name2taxid reviewed import
Nothobranchius guentheri,Nothobranchius guentheri,451738,high,NCBI Taxonomy name2taxid reviewed import
Ecklonia cava,Ecklonia cava,105407,high,NCBI Taxonomy name2taxid reviewed import
Kummerowia stipulacea,Kummerowia stipulacea,53891,high,NCBI Taxonomy name2taxid reviewed import
Parmotrema sp.,Parmotrema sp.,2560049,high,NCBI Taxonomy name2taxid reviewed import
Pariaconus hina,Pariaconus hina,1950160,high,NCBI Taxonomy name2taxid reviewed import
Pariaconus gracilis,Pariaconus gracilis,1950182,high,NCBI Taxonomy name2taxid reviewed import
Pariaconus poliahu,Pariaconus poliahu,1950173,high,NCBI Taxonomy name2taxid reviewed import
Solanum sp.,Solanum sp.,2909985,high,NCBI Taxonomy name2taxid reviewed import
Gomphocarpus fruticosus,Gomphocarpus fruticosus,219240,high,NCBI Taxonomy name2taxid reviewed import
Crotalaria juncea,Crotalaria juncea,3829,high,NCBI Taxonomy name2taxid reviewed import
Petroselinum crispum,Petroselinum crispum,4043,high,NCBI Taxonomy name2taxid reviewed import
Bidens pilosa,Bidens pilosa,42337,high,NCBI Taxonomy name2taxid reviewed import
Urtica dioica,Urtica dioica,3501,high,NCBI Taxonomy name2taxid reviewed import
Bulinus sp.,Bulinus sp.,3373980,high,NCBI Taxonomy name2taxid reviewed import
Cassidulina limbata,Cassidulina limbata,2448412,high,NCBI Taxonomy name2taxid reviewed import
Centrosema pubescens,Centrosema pubescens,185703,high,NCBI Taxonomy name2taxid reviewed import
Centrolobium paraense,Centrolobium paraense,500179,high,NCBI Taxonomy name2taxid reviewed import
Aeschynomene americana,Aeschynomene americana,134032,high,NCBI Taxonomy name2taxid reviewed import
Lupinus albescens,Lupinus albescens,53214,high,NCBI Taxonomy name2taxid reviewed import
Erigeron annuus,Erigeron annuus,91248,high,NCBI Taxonomy name2taxid reviewed import
Pongamia pinnata,Pongamia pinnata,56065,high,NCBI Taxonomy name2taxid reviewed import
Pearsonia obovata,Pearsonia obovata,1638917,high,NCBI Taxonomy name2taxid reviewed import
Calicotome spinosa,Calicotome spinosa,194235,high,NCBI Taxonomy name2taxid reviewed import
Acacia mearnsii,Acacia mearnsii,139012,high,NCBI Taxonomy name2taxid reviewed import
Kennedia coccinea,Kennedia coccinea,556511,high,NCBI Taxonomy name2taxid reviewed import
Argyrolobium rupestre,Argyrolobium rupestre,2976903,high,NCBI Taxonomy name2taxid reviewed import
Pediculus humanus,Pediculus humanus,121225,high,NCBI Taxonomy name2taxid reviewed import
Rhopalotria slossonae,Rhopalotria slossonae,2268821,high,NCBI Taxonomy name2taxid reviewed import
Bison priscus,Bison priscus,268291,high,NCBI Taxonomy name2taxid reviewed import
Chenopodium album,Chenopodium album,3559,high,NCBI Taxonomy name2taxid reviewed import
Polyplax serrata,Polyplax serrata,468196,high,NCBI Taxonomy name2taxid reviewed import
Bombus balteatus,Bombus balteatus,85657,high,NCBI Taxonomy name2taxid reviewed import
Entylia carinata,Entylia carinata,1464891,high,NCBI Taxonomy name2taxid reviewed import
Dermacentor variabilis,Dermacentor variabilis,34621,high,NCBI Taxonomy name2taxid reviewed import
Neoplatypleura badia,Neoplatypleura badia,3350973,high,NCBI Taxonomy name2taxid reviewed import
Neoplatypleura nobilis,Neoplatypleura nobilis,3414173,high,NCBI Taxonomy name2taxid reviewed import
Lophiosilurus alexandri,Lophiosilurus alexandri,490146,high,NCBI Taxonomy name2taxid reviewed import
Trichogaster lalius,Trichogaster lalius,1749025,high,NCBI Taxonomy name2taxid reviewed import
Ictalurus furcatus,Ictalurus furcatus,66913,high,NCBI Taxonomy name2taxid reviewed import
Arapaima gigas,Arapaima gigas,113544,high,NCBI Taxonomy name2taxid reviewed import
Pseudobrama simoni,Pseudobrama simoni,70551,high,NCBI Taxonomy name2taxid reviewed import
Hemiculter bleekeri,Hemiculter bleekeri,198511,high,NCBI Taxonomy name2taxid reviewed import
Piaractus brachypomus,Piaractus brachypomus,42529,high,NCBI Taxonomy name2taxid reviewed import
Zacco platypus,Zacco platypus,80810,high,NCBI Taxonomy name2taxid reviewed import
Tilia x moltkei,Tilia x moltkei,1522113,high,NCBI Taxonomy name2taxid reviewed import
Bombus lepidus,Bombus lepidus,309966,high,NCBI Taxonomy name2taxid reviewed import
Staphylococcus capitis,Staphylococcus capitis,29388,high,NCBI Taxonomy name2taxid reviewed import
Macaca assamensis,Macaca assamensis,9551,high,NCBI Taxonomy name2taxid reviewed import
Rhodotorula mucilaginosa,Rhodotorula mucilaginosa,5537,high,NCBI Taxonomy name2taxid reviewed import
Cathartes aura,Cathartes aura,43455,high,NCBI Taxonomy name2taxid reviewed import
Lantana camara,Lantana camara,126435,high,NCBI Taxonomy name2taxid reviewed import
Setaria viridis,Setaria viridis,4556,high,NCBI Taxonomy name2taxid reviewed import
Recilia dorsalis,Recilia dorsalis,1582033,high,NCBI Taxonomy name2taxid reviewed import
Antirrhinum sp.,Antirrhinum sp.,29720,high,NCBI Taxonomy name2taxid reviewed import
Liriope muscari,Liriope muscari,39529,high,NCBI Taxonomy name2taxid reviewed import
Helicoverpa assulta,Helicoverpa assulta,52344,high,NCBI Taxonomy name2taxid reviewed import
Limoniastrum monopetalum,Limoniastrum monopetalum,63095,high,NCBI Taxonomy name2taxid reviewed import
Ostrinia nubilalis,Ostrinia nubilalis,29057,high,NCBI Taxonomy name2taxid reviewed import
Ephestia kuehniella,Ephestia kuehniella,40079,high,NCBI Taxonomy name2taxid reviewed import
Alectra sessiliflora,Alectra sessiliflora,46040,high,NCBI Taxonomy name2taxid reviewed import
Cenchrus americanus,Cenchrus americanus,4543,high,NCBI Taxonomy name2taxid reviewed import
Syncerus caffer,Syncerus caffer,9970,high,NCBI Taxonomy name2taxid reviewed import
Archidendron pauciflorum,Archidendron pauciflorum,2954247,high,NCBI Taxonomy name2taxid reviewed import
Sporobolus anglicus,Sporobolus anglicus,49785,high,NCBI Taxonomy name2taxid reviewed import
Homarus americanus,Homarus americanus,6706,high,NCBI Taxonomy name2taxid reviewed import
Sargassum polycystum,Sargassum polycystum,127578,high,NCBI Taxonomy name2taxid reviewed import
Oryza sp.,Oryza sp.,52841,high,NCBI Taxonomy name2taxid reviewed import
Aepyceros melampus,Aepyceros melampus,9897,high,NCBI Taxonomy name2taxid reviewed import
Equus zebra,Equus zebra,9791,high,NCBI Taxonomy name2taxid reviewed import
Eleutheronema tetradactylum,Eleutheronema tetradactylum,210139,high,NCBI Taxonomy name2taxid reviewed import
Cancer pagurus,Cancer pagurus,6755,high,NCBI Taxonomy name2taxid reviewed import
Alopochen aegyptiaca,Alopochen aegyptiaca,30382,high,NCBI Taxonomy name2taxid reviewed import
Geronticus eremita,Geronticus eremita,100822,high,NCBI Taxonomy name2taxid reviewed import
Neophocaena asiaeorientalis,Neophocaena asiaeorientalis,189058,high,NCBI Taxonomy name2taxid reviewed import
Felis silvestris,Felis silvestris,9683,high,NCBI Taxonomy name2taxid reviewed import
Casuarina glauca,Casuarina glauca,3522,high,NCBI Taxonomy name2taxid reviewed import
Comptonia peregrina,Comptonia peregrina,29742,high,NCBI Taxonomy name2taxid reviewed import
Sapajus apella,Sapajus apella,9515,high,NCBI Taxonomy name2taxid reviewed import
Cryptopsaras couesii,Cryptopsaras couesii,412659,high,NCBI Taxonomy name2taxid reviewed import
Camponotus herculeanus,Camponotus herculeanus,36169,high,NCBI Taxonomy name2taxid reviewed import
Camponotus modoc,Camponotus modoc,168610,high,NCBI Taxonomy name2taxid reviewed import
Camponotus vicinus,Camponotus vicinus,168615,high,NCBI Taxonomy name2taxid reviewed import
Ostrea denselamellosa,Ostrea denselamellosa,74434,high,NCBI Taxonomy name2taxid reviewed import
Ulva sp.,Ulva sp.,2812607,high,NCBI Taxonomy name2taxid reviewed import
Vicia costata,Vicia costata,1276815,high,NCBI Taxonomy name2taxid reviewed import
Leiosporoceros dussii,Leiosporoceros dussii,263836,high,NCBI Taxonomy name2taxid reviewed import
Alpinia purpurata,Alpinia purpurata,230707,high,NCBI Taxonomy name2taxid reviewed import
Euscelidius variegatus,Euscelidius variegatus,13064,high,NCBI Taxonomy name2taxid reviewed import
Neltuma laevigata,Neltuma laevigata,364022,high,NCBI Taxonomy name2taxid reviewed import
Mirabilis jalapa,Mirabilis jalapa,3538,high,NCBI Taxonomy name2taxid reviewed import
Sphaeralcea angustifolia,Sphaeralcea angustifolia,217322,high,NCBI Taxonomy name2taxid reviewed import
Simenchelys parasitica,Simenchelys parasitica,189493,high,NCBI Taxonomy name2taxid reviewed import
Salix sp.,Salix sp.,65566,high,NCBI Taxonomy name2taxid reviewed import
Parabotia fasciatus,Parabotia fasciatus,143406,high,NCBI Taxonomy name2taxid reviewed import
Panesthia tryoni tryoni,Panesthia tryoni tryoni,112961,high,NCBI Taxonomy name2taxid reviewed import
Aerides multiflora,Aerides multiflora,280449,high,NCBI Taxonomy name2taxid reviewed import
Bryoria fuscescens,Bryoria fuscescens,172611,high,NCBI Taxonomy name2taxid reviewed import
Penaeus plebejus,Penaeus plebejus,161926,high,NCBI Taxonomy name2taxid reviewed import
Wild cucumber,Wild cucumber,252533,high,NCBI Taxonomy name2taxid reviewed import
Molgula manhattensis,Molgula manhattensis,30281,high,NCBI Taxonomy name2taxid reviewed import
Myliobatis tenuicaudatus,Myliobatis tenuicaudatus,2578303,high,NCBI Taxonomy name2taxid reviewed import
Karenia brevis,Karenia brevis,156230,high,NCBI Taxonomy name2taxid reviewed import
Tamandua mexicana,Tamandua mexicana,9351,high,NCBI Taxonomy name2taxid reviewed import
Capra nubiana,Capra nubiana,72543,high,NCBI Taxonomy name2taxid reviewed import
Gazella cuvieri,Gazella cuvieri,69301,high,NCBI Taxonomy name2taxid reviewed import
Giant panda,Giant panda,9646,high,NCBI Taxonomy name2taxid reviewed import
Gymnorhina tibicen,Gymnorhina tibicen,9132,high,NCBI Taxonomy name2taxid reviewed import
Subulo gouazoubira,Subulo gouazoubira,52407,high,NCBI Taxonomy name2taxid reviewed import
Lontra longicaudis,Lontra longicaudis,71113,high,NCBI Taxonomy name2taxid reviewed import
Romerolagus diazi,Romerolagus diazi,48089,high,NCBI Taxonomy name2taxid reviewed import
Alouatta palliata,Alouatta palliata,30589,high,NCBI Taxonomy name2taxid reviewed import
Dipodomys merriami,Dipodomys merriami,94247,high,NCBI Taxonomy name2taxid reviewed import
Peromyscus sp.,Peromyscus sp.,97218,high,NCBI Taxonomy name2taxid reviewed import
Molossus molossus,Molossus molossus,27622,high,NCBI Taxonomy name2taxid reviewed import
Bos mutus,Bos mutus,72004,high,NCBI Taxonomy name2taxid reviewed import
Chlorocebus aethiops,Chlorocebus aethiops,9534,high,NCBI Taxonomy name2taxid reviewed import
Pyrrhura molinae,Pyrrhura molinae,311895,high,NCBI Taxonomy name2taxid reviewed import
Amblypharyngodon mola,Amblypharyngodon mola,857615,high,NCBI Taxonomy name2taxid reviewed import
Sperata seenghala,Sperata seenghala,209114,high,NCBI Taxonomy name2taxid reviewed import
Philander opossum,Philander opossum,9272,high,NCBI Taxonomy name2taxid reviewed import
Trichechus manatus,Trichechus manatus,9778,high,NCBI Taxonomy name2taxid reviewed import
Channa striata,Channa striata,64152,high,NCBI Taxonomy name2taxid reviewed import
Channa punctata,Channa punctata,304456,high,NCBI Taxonomy name2taxid reviewed import
Mystus tengara,Mystus tengara,402707,high,NCBI Taxonomy name2taxid reviewed import
Dasyprocta leporina,Dasyprocta leporina,42152,high,NCBI Taxonomy name2taxid reviewed import
Saimiri boliviensis,Saimiri boliviensis,27679,high,NCBI Taxonomy name2taxid reviewed import
Panopea generosa,Panopea generosa,1049056,high,NCBI Taxonomy name2taxid reviewed import
Cyanobacterium stanieri,Cyanobacterium stanieri,102235,high,NCBI Taxonomy name2taxid reviewed import
Scarus ghobban,Scarus ghobban,242806,high,NCBI Taxonomy name2taxid reviewed import
Oratosquilla oratoria,Oratosquilla oratoria,337810,high,NCBI Taxonomy name2taxid reviewed import
Telescopium telescopium,Telescopium telescopium,146722,high,NCBI Taxonomy name2taxid reviewed import
Eunicella verrucosa,Eunicella verrucosa,396355,high,NCBI Taxonomy name2taxid reviewed import
Leptobotia elongata,Leptobotia elongata,143403,high,NCBI Taxonomy name2taxid reviewed import
Siganus guttatus,Siganus guttatus,92439,high,NCBI Taxonomy name2taxid reviewed import
Mussismilia hispida,Mussismilia hispida,242724,high,NCBI Taxonomy name2taxid reviewed import
European eel,European eel,7936,high,NCBI Taxonomy name2taxid reviewed import
