synonym,canonical,taxid,confidence,note
Prunus domestica,Prunus domestica,3758,high,NCBI Taxonomy name2taxid reviewed import
Pogona vitticeps,Pogona vitticeps,103695,high,NCBI Taxonomy name2taxid reviewed import
Larus argentatus,Larus argentatus,35669,high,NCBI Taxonomy name2taxid reviewed import
Heterorhabditis bacteriophora,Heterorhabditis bacteriophora,37862,high,NCBI Taxonomy name2taxid reviewed import
Dactylis glomerata,Dactylis glomerata,4509,high,NCBI Taxonomy name2taxid reviewed import
Solanum dulcamara,Solanum dulcamara,45834,high,NCBI Taxonomy name2taxid reviewed import
Lotus burttii,Lotus burttii,645164,high,NCBI Taxonomy name2taxid reviewed import
Micropterus salmoides,Micropterus salmoides,27706,high,NCBI Taxonomy name2taxid reviewed import
Alnus alnobetula subsp. fruticosa,Alnus alnobetula subsp. fruticosa,253214,high,NCBI Taxonomy name2taxid reviewed import
Suricata suricatta,Suricata suricatta,37032,high,NCBI Taxonomy name2taxid reviewed import
Mimosa pudica,Mimosa pudica,76306,high,NCBI Taxonomy name2taxid reviewed import
Branta canadensis,Branta canadensis,8853,high,NCBI Taxonomy name2taxid reviewed import
Hirudo verbana,Hirudo verbana,311461,high,NCBI Taxonomy name2taxid reviewed import
Hyalomma scupense,Hyalomma scupense,1260755,high,NCBI Taxonomy name2taxid reviewed import
Pelecanus erythrorhynchos,Pelecanus erythrorhynchos,33618,high,NCBI Taxonomy name2taxid reviewed import
Nasturtium officinale,Nasturtium officinale,65948,high,NCBI Taxonomy name2taxid reviewed import
Apostichopus japonicus,Apostichopus japonicus,307972,high,NCBI Taxonomy name2taxid reviewed import
Ophiactis savignyi,Ophiactis savignyi,154024,high,NCBI Taxonomy name2taxid reviewed import
Tapirus terrestris,Tapirus terrestris,9801,high,NCBI Taxonomy name2taxid reviewed import
Grus grus,Grus grus,40816,high,NCBI Taxonomy name2taxid reviewed import
Lama glama,Lama glama,9844,high,NCBI Taxonomy name2taxid reviewed import
Thryonomys swinderianus,Thryonomys swinderianus,10169,high,NCBI Taxonomy name2taxid reviewed import
Medicago polymorpha,Medicago polymorpha,47084,high,NCBI Taxonomy name2taxid reviewed import
Nematostella vectensis,Nematostella vectensis,45351,high,NCBI Taxonomy name2taxid reviewed import
Phyllospongia foliascens,Phyllospongia foliascens,593584,high,NCBI Taxonomy name2taxid reviewed import
Coleus scutellarioides,Coleus scutellarioides,4142,high,NCBI Taxonomy name2taxid reviewed import
Ditylum brightwellii,Ditylum brightwellii,49249,high,NCBI Taxonomy name2taxid reviewed import
Tribulus terrestris,Tribulus terrestris,210369,high,NCBI Taxonomy name2taxid reviewed import
Ctenopharyngodon idella,Ctenopharyngodon idella,7959,high,NCBI Taxonomy name2taxid reviewed import
Minutocellus polymorphus,Minutocellus polymorphus,265543,high,NCBI Taxonomy name2taxid reviewed import
Metrosideros polymorpha,Metrosideros polymorpha,101976,high,NCBI Taxonomy name2taxid reviewed import
Ginkgo biloba,Ginkgo biloba,3311,high,NCBI Taxonomy name2taxid reviewed import
Alces alces,Alces alces,9852,high,NCBI Taxonomy name2taxid reviewed import
Panthera tigris altaica,Panthera tigris altaica,74533,high,NCBI Taxonomy name2taxid reviewed import
Euprymna morsei,Euprymna morsei,70204,high,NCBI Taxonomy name2taxid reviewed import
Ailurus fulgens,Ailurus fulgens,9649,high,NCBI Taxonomy name2taxid reviewed import
Codakia orbicularis,Codakia orbicularis,13016,high,NCBI Taxonomy name2taxid reviewed import
Biomphalaria glabrata,Biomphalaria glabrata,6526,high,NCBI Taxonomy name2taxid reviewed import
Gorilla gorilla,Gorilla gorilla,9593,high,NCBI Taxonomy name2taxid reviewed import
Orius laevigatus,Orius laevigatus,82742,high,NCBI Taxonomy name2taxid reviewed import
Camellia sinensis,Camellia sinensis,4442,high,NCBI Taxonomy name2taxid reviewed import
Citrullus colocynthis,Citrullus colocynthis,252529,high,NCBI Taxonomy name2taxid reviewed import
Oreochromis sp.,Oreochromis sp.,3139419,high,NCBI Taxonomy name2taxid reviewed import
Rattus tanezumi,Rattus tanezumi,35732,high,NCBI Taxonomy name2taxid reviewed import
Arion vulgaris,Arion vulgaris,1028688,high,NCBI Taxonomy name2taxid reviewed import
Somateria fischeri,Somateria fischeri,50367,high,NCBI Taxonomy name2taxid reviewed import
Sus sp.,Sus sp.,9826,high,NCBI Taxonomy name2taxid reviewed import
Klebsiella pneumoniae,Klebsiella pneumoniae,573,high,NCBI Taxonomy name2taxid reviewed import
Thalassiosira rotula,Thalassiosira rotula,49265,high,NCBI Taxonomy name2taxid reviewed import
Catharanthus roseus,Catharanthus roseus,4058,high,NCBI Taxonomy name2taxid reviewed import
Prunus persica,Prunus persica,3760,high,NCBI Taxonomy name2taxid reviewed import
Ailuropoda melanoleuca,Ailuropoda melanoleuca,9646,high,NCBI Taxonomy name2taxid reviewed import
Bison bison,Bison bison,9901,high,NCBI Taxonomy name2taxid reviewed import
Raphanus raphanistrum subsp. sativus,Raphanus raphanistrum subsp. sativus,3726,high,NCBI Taxonomy name2taxid reviewed import
Capra sp.,Capra sp.,61294,high,NCBI Taxonomy name2taxid reviewed import
Tiger frog,Tiger frog,103373,high,NCBI Taxonomy name2taxid reviewed import
Crocodylus acutus,Crocodylus acutus,48399,high,NCBI Taxonomy name2taxid reviewed import
Faba bean,Faba bean,3906,high,NCBI Taxonomy name2taxid reviewed import
Trieres regia,Trieres regia,1335017,high,NCBI Taxonomy name2taxid reviewed import
Thalassiosira tenera,Thalassiosira tenera,291031,high,NCBI Taxonomy name2taxid reviewed import
Lotus corniculatus,Lotus corniculatus,47247,high,NCBI Taxonomy name2taxid reviewed import
Mastotermes darwiniensis,Mastotermes darwiniensis,13139,high,NCBI Taxonomy name2taxid reviewed import
Neotermes castaneus,Neotermes castaneus,223394,high,NCBI Taxonomy name2taxid reviewed import
Trinervitermes sp.,Trinervitermes sp.,3092881,high,NCBI Taxonomy name2taxid reviewed import
Procypris rabaudi,Procypris rabaudi,367866,high,NCBI Taxonomy name2taxid reviewed import
Cyprinus carpio,Cyprinus carpio,7962,high,NCBI Taxonomy name2taxid reviewed import
Polygala myrtifolia,Polygala myrtifolia,292129,high,NCBI Taxonomy name2taxid reviewed import
Alexandromys oeconomus,Alexandromys oeconomus,2162900,high,NCBI Taxonomy name2taxid reviewed import
Avicennia marina,Avicennia marina,82927,high,NCBI Taxonomy name2taxid reviewed import
Megadyptes antipodes,Megadyptes antipodes,37085,high,NCBI Taxonomy name2taxid reviewed import
Tenebrio molitor,Tenebrio molitor,7067,high,NCBI Taxonomy name2taxid reviewed import
Toxicodendron radicans,Toxicodendron radicans,43853,high,NCBI Taxonomy name2taxid reviewed import
Bos primigenius,Bos primigenius,9909,high,NCBI Taxonomy name2taxid reviewed import
Alviniconcha marisindica,Alviniconcha marisindica,1491186,high,NCBI Taxonomy name2taxid reviewed import
Phoca vitulina,Phoca vitulina,9720,high,NCBI Taxonomy name2taxid reviewed import
Cucurbita pepo subsp. pepo,Cucurbita pepo subsp. pepo,3664,high,NCBI Taxonomy name2taxid reviewed import
Gorilla gorilla gorilla,Gorilla gorilla gorilla,9595,high,NCBI Taxonomy name2taxid reviewed import
Siniperca knerii,Siniperca knerii,214812,high,NCBI Taxonomy name2taxid reviewed import
Triticum turgidum subsp. durum,Triticum turgidum subsp. durum,4567,high,NCBI Taxonomy name2taxid reviewed import
Ruditapes decussatus,Ruditapes decussatus,104385,high,NCBI Taxonomy name2taxid reviewed import
Colpophyllia natans,Colpophyllia natans,242718,high,NCBI Taxonomy name2taxid reviewed import
Orbicella faveolata,Orbicella faveolata,48498,high,NCBI Taxonomy name2taxid reviewed import
Dictyostelium discoideum,Dictyostelium discoideum,44689,high,NCBI Taxonomy name2taxid reviewed import
Phacoides pectinatus,Phacoides pectinatus,244486,high,NCBI Taxonomy name2taxid reviewed import
Saccharum hybrid cultivar,Saccharum hybrid cultivar,128810,high,NCBI Taxonomy name2taxid reviewed import
Cladocopium sp. CButler-2023c,Cladocopium sp. CButler-2023c,3025019,high,NCBI Taxonomy name2taxid reviewed import
Alnus glutinosa,Alnus glutinosa,3517,high,NCBI Taxonomy name2taxid reviewed import
Odocoileus hemionus,Odocoileus hemionus,9872,high,NCBI Taxonomy name2taxid reviewed import
Salvelinus fontinalis,Salvelinus fontinalis,8038,high,NCBI Taxonomy name2taxid reviewed import
Grass carp,Grass carp,7959,high,NCBI Taxonomy name2taxid reviewed import
Equus quagga,Equus quagga,89248,high,NCBI Taxonomy name2taxid reviewed import
Sparus aurata,Sparus aurata,8175,high,NCBI Taxonomy name2taxid reviewed import
Rusa unicolor,Rusa unicolor,662561,high,NCBI Taxonomy name2taxid reviewed import
Dioon edule,Dioon edule,58033,high,NCBI Taxonomy name2taxid reviewed import
