isolation_source_sd,assembly_count,recommended_action
Abdominal Tissue,1,route_to_sample_type
Abdominal cavity Tissue,1,route_to_sample_type
Acetabular Tissue,1,route_to_sample_type
Adenoid tissue,1,route_to_sample_type
Adult female worm tissue,1,route_to_sample_type
Alveolar lavage specimen,1,route_to_sample_type
Aorta Tissue,1,route_to_sample_type
Aorta Tissue Clot,1,route_to_sample_type
Aortic Tissue,1,route_to_sample_type
Aortic Valve Tissue,1,route_to_sample_type
Aortic tissue,1,route_to_sample_type
Arm Tissue,1,route_to_sample_type
Bovine Mixed Tissue,1,route_to_sample_type
Brochoalveolar lavage,1,route_to_sample_type
Bronchialveolar Lavage,1,route_to_sample_type
Bronchialveolar lavage,1,route_to_sample_type
Bronchioaleveolar lavage,1,route_to_sample_type
Bronchioalveolar lavage,1,route_to_sample_type
Bronchoalve. Lavage,1,route_to_sample_type
Bronchoalvelar lavage (BAL),1,route_to_sample_type
Bronchoavleolar lavage,1,route_to_sample_type
Broncholaveolar lavage,1,route_to_sample_type
Bronchoscopic lavage,1,route_to_sample_type
Broncial Lavage,1,route_to_sample_type
Bronco-alveolar lavage,1,route_to_sample_type
Bronko-alveolær lavage,1,route_to_sample_type
Brown adipose tissue,1,route_to_sample_type
Buccal mucosa Tissue,1,route_to_sample_type
Burn tissue,1,route_to_sample_type
Canine bladder tissue and stones,1,route_to_sample_type
Canine faeces,1,route_to_sample_type
Carbuncle Tissue,1,route_to_sample_type
Cat faeces,1,route_to_sample_type
Cervical spinal cord tissue,1,route_to_sample_type
Chest (PUS),1,route_to_sample_type
Chest tissue,1,route_to_sample_type
"Colorado Serum Co., Anthrax Spore Vaccine",1,route_to_sample_type
Corn Snake (Faeces),1,route_to_sample_type
Cup Lump Rubber Serum,1,route_to_sample_type
Dadih (a traditional fermented buffalo milk Indonesian yogurt),1,route_to_sample_type
Dadih (fermented buffalo milk),1,route_to_sample_type
Deep tissue bit,1,route_to_sample_type
Deep tissue coccyx,1,route_to_sample_type
Diaphragm tissue,1,route_to_sample_type
Distal femur tissue,1,route_to_sample_type
Duodenum loop tissue,1,route_to_sample_type
Elbow Tissue,1,route_to_sample_type
Elbow(PUS)-left,1,route_to_sample_type
Empyema Tissue,1,route_to_sample_type
Epidural Tissue,1,route_to_sample_type
Evap (midpoint from sample petcock) - Liquid (WIP),1,route_to_non_source_descriptor
FFPE tissue,1,route_to_sample_type
Faeces - Goat - Local livestock market,1,route_to_sample_type
Faeces of piglets,1,route_to_sample_type
Fascial tissue,1,route_to_sample_type
Fat Tissue,1,route_to_sample_type
Fat tissue,1,route_to_sample_type
Femoral Artery Tissue,1,route_to_sample_type
Femur Tissue,1,route_to_sample_type
Focus (Wound swab),1,route_to_sample_type
Foetal tissue,1,route_to_sample_type
Forearm Tissue,1,route_to_sample_type
Forefoot tissue,1,route_to_sample_type
Fracture Site Tissue,1,route_to_sample_type
Graft Tissue,1,route_to_sample_type
Granular tissue,1,route_to_sample_type
Great toe Tissue,1,route_to_sample_type
Great toe Tissue ulcer,1,route_to_sample_type
Hand Tissue,1,route_to_sample_type
Hand tissue,1,route_to_sample_type
Heel ulcer Tissue,1,route_to_sample_type
Homogenized tissue of Zophobas morio larvae colonized with Ec-042 at T28 exp 8,1,route_to_sample_type
Homogenized tissue of Zophobas morio larvae colonized with Ec-042 at T28 exp6,1,route_to_sample_type
Homogenized tissue of Zophobas morio larvae colonized with Ec-050 at T21 exp 9,1,route_to_sample_type
Homogenized tissue of Zophobas morio larvae colonized with Ec-050 at T28 exp 7,1,route_to_sample_type
Homogenized tissue of Zophobas morio larvae colonized with Ec-4901.28 at T21 exp9,1,route_to_sample_type
Homogenized tissue of Zophobas morio larvae colonized with Ec-4901.28 at T28 exp 11,1,route_to_sample_type
IRIS TISSUE,1,route_to_sample_type
Incision Dehiscence Tissue - R Thigh,1,route_to_sample_type
Incision Tissue,1,route_to_sample_type
Infant faeces,1,route_to_sample_type
Ixodes ricinus larvae cultured in MKP-F (human serum),1,route_to_sample_type
Knee tissue,1,route_to_sample_type
L Heel Tissue,1,route_to_sample_type
LLE Tissue,1,route_to_sample_type
Lamellibrachia barhami trophosome tissue,1,route_to_sample_type
Left Hand Tissue,1,route_to_sample_type
Left Knee Tissue,1,route_to_sample_type
Left Olecranon Bursa Tissue,1,route_to_sample_type
Left Toe Tissue,1,route_to_sample_type
Left arm tissue,1,route_to_sample_type
Left upper extremity tissue,1,route_to_sample_type
Lift Hip Tissue,1,route_to_sample_type
Lip Tissue,1,route_to_sample_type
Lizard Faeces,1,route_to_sample_type
Lizard faeces,1,route_to_sample_type
"Lizard, faeces",1,route_to_sample_type
Lumbar Spine tissue,1,route_to_sample_type
Lumbar Tissue,1,route_to_sample_type
Lungs tissue,1,route_to_sample_type
Manubrium Tissue,1,route_to_sample_type
Mare placental tissue,1,route_to_sample_type
Mastoid Tissue,1,route_to_sample_type
Meningeal tissue of necropsy,1,route_to_sample_type
Mosquito midgut tissue,1,route_to_sample_type
Mulberry blight tissue,1,route_to_sample_type
NWASH TISSUE,1,route_to_sample_type
Neck Tissue,1,route_to_sample_type
Necrotic pancreatic tissue,1,route_to_sample_type
Necrotizing tissue,1,route_to_sample_type
Pancreatic tissue,1,route_to_sample_type
Pericardial Tissue,1,route_to_sample_type
Periprosthetic tissue,1,route_to_sample_type
Peritoneal lavage,1,route_to_sample_type
Periurethral adipose tissue,1,route_to_sample_type
Peryosteosynthesis tissue,1,route_to_sample_type
Post lavage,1,route_to_sample_type
Proximal phalynx Tissue,1,route_to_sample_type
RIGHT ELBOW CAPSULE TISSUE,1,route_to_sample_type
Rayeb (fermented milk),1,route_to_sample_type
Retroperitoneal Tissue,1,route_to_sample_type
Right Hand Tissue,1,route_to_sample_type
Right arm tissue,1,route_to_sample_type
Right hip tissue,1,route_to_sample_type
"Right,Hip Tissue",1,route_to_sample_type
Rodent faeces,1,route_to_sample_type
SF1.4_hsp60_Mantle Tissue,1,route_to_sample_type
Sacral tissue,1,route_to_sample_type
Scrotal tissue,1,route_to_sample_type
Second metatarsal Tissue,1,route_to_sample_type
Shin Tissue,1,route_to_sample_type
Shoulder Tissue (Collar membrane),1,route_to_sample_type
Shoulder tissue (suture),1,route_to_sample_type
Snake faeces,1,route_to_sample_type
Sternum Tissue,1,route_to_sample_type
Stored plasma,1,route_to_sample_type
Subcutaneous Tissue,1,route_to_sample_type
Subcutaneous tissue,1,route_to_sample_type
Submaxillary tissue,1,route_to_sample_type
Superficial Tissue,1,route_to_sample_type
Surgical site tissue,1,route_to_sample_type
Symbiotic tissue of Blasia pusilla L.,1,route_to_sample_type
Synovial tissue (knee),1,route_to_sample_type
TISSUE/ RIGHT BUTTOCK,1,route_to_sample_type
TISSUE; AORTA,1,route_to_sample_type
TIssue,1,route_to_sample_type
Thigh tissue,1,route_to_sample_type
Third toe Tissue,1,route_to_sample_type
Tibia Tissue,1,route_to_sample_type
Tissue (Left Buttoks),1,route_to_sample_type
Tissue (Sternum/Sternal),1,route_to_sample_type
Tissue (buttock),1,route_to_sample_type
Tissue (capula haematoma),1,route_to_sample_type
Tissue (from biceps-tendon),1,route_to_sample_type
Tissue (non-sterile),1,route_to_sample_type
Tissue (right elbow),1,route_to_sample_type
Tissue - aortic valve,1,route_to_sample_type
Tissue - chest wall,1,route_to_sample_type
Tissue - hip,1,route_to_sample_type
Tissue - knee,1,route_to_sample_type
Tissue - knee synovium,1,route_to_sample_type
Tissue - lower extremity,1,route_to_sample_type
Tissue Fragment,1,route_to_sample_type
Tissue Left Shoulder,1,route_to_sample_type
Tissue Left Shoulder glenoid membrane,1,route_to_sample_type
Tissue Left Shoulder humeral membrane,1,route_to_sample_type
Tissue Maternal side,1,route_to_sample_type
Tissue NO 1 Shoulder Right COLLAR MEMBRANE,1,route_to_sample_type
Tissue No. 1 Right HUMERAL MEMBRANE,1,route_to_sample_type
Tissue R knee,1,route_to_sample_type
Tissue Radial Fracture,1,route_to_sample_type
Tissue Right GLENOID MEMBRANE No. 2,1,route_to_sample_type
Tissue Right Shoulder GLENOID MEMBRANE No. 2,1,route_to_sample_type
Tissue Right Shoulder HUMERAL MEMBRANE No. 3,1,route_to_sample_type
Tissue Right Shoulder SUTURE,1,route_to_sample_type
Tissue SUPERFICIAL HUMERAL MEMBRANE AND SUTURE,1,route_to_sample_type
