isolation_source_sd,assembly_count,recommended_action
FL798,1,route_to_non_source_descriptor
FL812,1,route_to_non_source_descriptor
FL813,1,route_to_non_source_descriptor
FL814,1,route_to_non_source_descriptor
FL818,1,route_to_non_source_descriptor
FL82,1,route_to_non_source_descriptor
FL820,1,route_to_non_source_descriptor
FL822,1,route_to_non_source_descriptor
FL83,1,route_to_non_source_descriptor
FL84,1,route_to_non_source_descriptor
FL86,1,route_to_non_source_descriptor
FL919,1,route_to_non_source_descriptor
FL921,1,route_to_non_source_descriptor
FL922,1,route_to_non_source_descriptor
FL923,1,route_to_non_source_descriptor
FL925,1,route_to_non_source_descriptor
FL926,1,route_to_non_source_descriptor
FL927,1,route_to_non_source_descriptor
FL928,1,route_to_non_source_descriptor
FL929,1,route_to_non_source_descriptor
FredPark1,1,route_to_non_source_descriptor
GM01359,1,route_to_non_source_descriptor
GM04616,1,route_to_non_source_descriptor
GM12878,1,route_to_non_source_descriptor
H002,1,route_to_non_source_descriptor
H014,1,route_to_non_source_descriptor
H042,1,route_to_non_source_descriptor
H047,1,route_to_non_source_descriptor
H077,1,route_to_non_source_descriptor
H081,1,route_to_non_source_descriptor
H085,1,route_to_non_source_descriptor
H086,1,route_to_non_source_descriptor
H090,1,route_to_non_source_descriptor
H1-hESC,1,route_to_non_source_descriptor
H1299_NT2,1,route_to_non_source_descriptor
H1299_SOX2_KD,1,route_to_non_source_descriptor
H2AZ_WT12_ZT18,1,route_to_non_source_descriptor
H3K27Ac_shASXL3_1_H1963,1,route_to_non_source_descriptor
H3K4me1.rep1.s_1,1,route_to_non_source_descriptor
H3K4me1.rep2.s_2,1,route_to_non_source_descriptor
H3K4me1_H2171,1,route_to_non_source_descriptor
H3K4me3.rep1.s_3,1,route_to_non_source_descriptor
H3K4me3.rep2.s_4,1,route_to_non_source_descriptor
H3_WT_22C_rep1,1,route_to_non_source_descriptor
H3k36me3_ChIPSeq,1,route_to_non_source_descriptor
H9-IFI16sh1865,1,route_to_non_source_descriptor
H9-ectoderm_IFI16sh1865,1,route_to_non_source_descriptor
H9-endoderm,1,route_to_non_source_descriptor
HEK293T,1,route_to_non_source_descriptor
Herder1,1,route_to_non_source_descriptor
Herder16,1,route_to_non_source_descriptor
Herder2,1,route_to_non_source_descriptor
Herder3,1,route_to_non_source_descriptor
Herder30,1,route_to_non_source_descriptor
Herder37,1,route_to_non_source_descriptor
Herder45,1,route_to_non_source_descriptor
Herder5,1,route_to_non_source_descriptor
Herder6,1,route_to_non_source_descriptor
Herder8,1,route_to_non_source_descriptor
Hs746T_Afa_24h,1,route_to_non_source_descriptor
Hs746T_untreated_4h,1,route_to_non_source_descriptor
Hybrid_cDNASeq_08,1,route_to_non_source_descriptor
Hydrothorax_P1_BU24,1,route_to_non_source_descriptor
I015,1,route_to_non_source_descriptor
I016,1,route_to_non_source_descriptor
I033,1,route_to_non_source_descriptor
I051,1,route_to_non_source_descriptor
IBET-151_R1,1,route_to_non_source_descriptor
IgG.s_5,1,route_to_non_source_descriptor
Input_H2171,1,route_to_non_source_descriptor
JPB1,1,route_to_non_source_descriptor
Jax4,1,route_to_non_source_descriptor
Jax6,1,route_to_non_source_descriptor
Jeko-1-Sen_DMSO_6hr,1,route_to_non_source_descriptor
K562_flavopiridol_exp-1,1,route_to_non_source_descriptor
KPN7,1,route_to_non_source_descriptor
Kre33-data-I,1,route_to_non_source_descriptor
Kre33-data-II,1,route_to_non_source_descriptor
LA16BALB_18S,1,route_to_non_source_descriptor
Locker_P140_BU25,1,route_to_non_source_descriptor
Locker_P23_BU25,1,route_to_non_source_descriptor
Locker_P44_BU19,1,route_to_non_source_descriptor
Locker_P77_BU10,1,route_to_non_source_descriptor
MCF7_4hrs_post_E2,1,route_to_non_source_descriptor
MCF7_5hrs_post_E2,1,route_to_non_source_descriptor
MDA-MB-231_WT,1,route_to_non_source_descriptor
MKN7_untreated_24h,1,route_to_non_source_descriptor
MKN7_untreated_4h,1,route_to_non_source_descriptor
MR_Ser_Gly_free_Pyr_Ph2,1,route_to_non_source_descriptor
Meat1,1,route_to_non_source_descriptor
Meat2,1,route_to_non_source_descriptor
Mstd2,1,route_to_non_source_descriptor
Mut18-H3K122ac-2,1,route_to_non_source_descriptor
Mut18-H4K5ac-1,1,route_to_non_source_descriptor
Mut18-H4K8ac-2,1,route_to_non_source_descriptor
Mut43-H3K122ac-2,1,route_to_non_source_descriptor
Mut43-H3K18ac-1,1,route_to_non_source_descriptor
Mut43-H3K18ac-2,1,route_to_non_source_descriptor
Mut43-H3K27me3-1,1,route_to_non_source_descriptor
Mut43-H3K27me3-2,1,route_to_non_source_descriptor
Mut43-H3K4me1-1,1,route_to_non_source_descriptor
Mut43-H3K4me3-1,1,route_to_non_source_descriptor
Mut43-H3K9ac-1,1,route_to_non_source_descriptor
NA_chicken3,1,route_to_non_source_descriptor
Nebuliser_NA_BU12,1,route_to_non_source_descriptor
Nebuliser_NA_BU13,1,route_to_non_source_descriptor
Nebuliser_NA_BU21,1,route_to_non_source_descriptor
Nebuliser_NA_BU6,1,route_to_non_source_descriptor
Nebuliser_P101_BU13,1,route_to_non_source_descriptor
Nebuliser_P108_BU14,1,route_to_non_source_descriptor
Nebuliser_P10_BU11,1,route_to_non_source_descriptor
Nebuliser_P113_BU11,1,route_to_non_source_descriptor
Nebuliser_P115_BU7,1,route_to_non_source_descriptor
Nebuliser_P121_BU10,1,route_to_non_source_descriptor
Nebuliser_P122_BU20,1,route_to_non_source_descriptor
Nebuliser_P124_BU21,1,route_to_non_source_descriptor
Nebuliser_P131_BU4,1,route_to_non_source_descriptor
