assembly_accession	biosample	organism	migrated_entries
GCA_001608685.1	SAMN04422051	Vibrio parahaemolyticus	3
GCA_001608855.1	SAMN04422063	Vibrio parahaemolyticus	3
GCA_001609105.1	SAMN04441017	Vibrio parahaemolyticus	3
GCA_004419265.1	SAMN02265461	Listeria monocytogenes	3
GCA_006167925.1	SAMN07781588	Salmonella enterica	2
GCA_007080465.1	SAMN07781593	Salmonella enterica	2
GCA_007106675.1	SAMN07781624	Salmonella enterica	2
GCA_012313545.1	SAMN07781656	Escherichia coli	2
GCA_012362315.1	SAMN07781724	Escherichia coli	2
GCA_015698745.2	SAMN16955493	Escherichia coli	2
GCA_018409345.1	SAMN16131620	Klebsiella pneumoniae	3
GCA_032302435.1	SAMEA112957164	Escherichia coli	3
GCA_034907325.1	SAMN14437247	Streptococcus pyogenes	3
GCA_034907825.1	SAMN14436808	Streptococcus pyogenes	3
GCA_034910365.1	SAMN14436457	Streptococcus pyogenes	3
GCA_034910665.1	SAMN14436876	Streptococcus pyogenes	3
GCA_034911305.1	SAMN14436905	Streptococcus pyogenes	3
GCA_034913625.1	SAMN14436574	Streptococcus pyogenes	3
GCA_034914445.1	SAMN14436755	Streptococcus pyogenes	3
GCA_034917685.1	SAMN14437010	Streptococcus pyogenes	3
GCA_034918365.1	SAMN14437299	Streptococcus pyogenes	3
GCA_045185625.1	SAMN32815831	Neisseria meningitidis	3
GCA_050265555.1	SAMN41150861	Pseudomonas aeruginosa	3
GCA_052704245.1	SAMN51207528	Escherichia coli	2
GCA_900030515.1	SAMEA2238802	Streptococcus pneumoniae	3
GCA_900050955.1	SAMEA1033586	Streptococcus pneumoniae	3
GCA_002407305.1	SAMN05786721	Escherichia coli	3
GCA_022525925.1	SAMN25988962	Klebsiella pneumoniae	1
GCA_029722095.1	SAMN28858601	Escherichia coli	3
GCA_034902665.1	SAMN14437062	Streptococcus pyogenes	3
GCA_034904305.1	SAMN14436793	Streptococcus pyogenes	3
GCA_034904745.1	SAMN14436729	Streptococcus pyogenes	3
GCA_051347425.1	SAMN46444741	Pseudomonas aeruginosa	3
GCA_052182525.1	SAMN50721761	Salmonella enterica	2
GCA_052625785.1	SAMN43306782	Escherichia coli	3
GCA_054559795.1	SAMN54138467	Staphylococcus aureus	3
GCA_055534785.1	SAMN53842228	Klebsiella pneumoniae	3
GCA_900025895.1	SAMEA2238950	Streptococcus pneumoniae	3
GCA_901219905.1	SAMEA2553906	Streptococcus pneumoniae	3
GCA_901246595.1	SAMEA2658896	Streptococcus pneumoniae	3
GCA_901249125.1	SAMEA2298239	Streptococcus pneumoniae	3
GCA_901273755.1	SAMEA2204101	Streptococcus pneumoniae	3
GCA_901278465.1	SAMEA2554306	Streptococcus pneumoniae	3
GCA_901299255.1	SAMEA3389852	Streptococcus pneumoniae	3
GCA_901296505.1	SAMEA3389842	Streptococcus pneumoniae	3
GCA_901325185.1	SAMEA3389931	Streptococcus pneumoniae	3
GCA_901299145.1	SAMEA4388388	Streptococcus pneumoniae	3
GCA_901299455.1	SAMEA4388322	Streptococcus pneumoniae	3
GCA_901299935.1	SAMEA4388323	Streptococcus pneumoniae	3
GCA_901306835.1	SAMEA4388024	Streptococcus pneumoniae	3
GCA_901333735.1	SAMEA2814137	Streptococcus pneumoniae	3
GCA_000259025.1	SAMN02471032	Pseudomonas aeruginosa PADK2_CF510	3
GCA_000685135.1	SAMN02688504	Staphylococcus epidermidis	3
GCA_000784385.1	SAMN03196741	Staphylococcus aureus subsp. aureus MRSA_PR1	3
GCA_003836255.1	SAMN07424098	Pseudomonas aeruginosa	3
GCA_003861575.1	SAMN10241263	Klebsiella pneumoniae	3
GCA_004549305.1	SAMN11191530	Listeria monocytogenes	2
GCA_005594995.1	SAMN11347716	Salmonella enterica	2
GCA_005868165.1	SAMN11655239	Salmonella enterica	2
GCA_006296055.1	SAMN11942931	Salmonella enterica	2
GCA_011592985.1	SAMN08395770	Salmonella enterica subsp. enterica serovar Dublin	3
GCA_015674125.1	SAMN16304169	Escherichia coli	2
GCA_015868425.1	SAMN17034121	Escherichia coli	2
GCA_016413865.1	SAMN17032685	Escherichia coli	2
GCA_019969035.1	SAMN14657202	Acinetobacter baumannii	3
GCA_020669945.1	SAMN20150253	Escherichia coli	2
GCA_025567675.1	SAMN28157368	Escherichia coli	2
GCA_027534705.1	SAMN06640026	Staphylococcus aureus	3
GCA_037262445.1	SAMN29407210	Neisseria meningitidis	3
GCA_043267445.1	SAMN44234721	Salmonella enterica	1
GCA_043269105.1	SAMN44234673	Salmonella enterica	1
GCA_043277185.1	SAMN44236841	Salmonella enterica	1
GCA_043279205.1	SAMN44236782	Salmonella enterica	1
GCA_043279485.1	SAMN44236774	Salmonella enterica	1
GCA_043855235.1	SAMN44265587	Salmonella enterica	1
GCA_043860775.1	SAMN44265380	Salmonella enterica	1
GCA_043861075.1	SAMN44265364	Salmonella enterica	1
GCA_044684105.1	SAMN41817373	Klebsiella michiganensis	3
GCA_047978695.1	SAMN45227933	Pseudomonas aeruginosa	1
GCA_047984265.1	SAMN45227856	Pseudomonas aeruginosa	1
GCA_050282105.1	SAMN47200987	Pseudomonas sp.	2
GCA_053211195.1	SAMN49890871	Salmonella enterica	3
GCA_053834525.1	SAMEA120398500	Klebsiella pneumoniae	1
GCA_054578825.1	SAMN46553710	Streptococcus pyogenes	3
GCA_054886855.1	SAMN55012741	Listeria monocytogenes	2
GCA_055784065.1	SAMN56444041	Listeria monocytogenes	2
GCA_901222545.1	SAMEA2553971	Streptococcus pneumoniae	3
GCA_901239965.1	SAMEA2298184	Streptococcus pneumoniae	3
GCA_901255765.1	SAMEA2554149	Streptococcus pneumoniae	3
GCA_964188815.1	SAMEA115461149	Enterococcus lactis	2
GCA_964191795.1	SAMEA115461493	Enterococcus lactis	2
GCA_964192235.1	SAMEA114863429	Enterococcus lactis	2
GCA_964193185.1	SAMEA115461513	Enterococcus lactis	2
GCA_964193345.1	SAMEA114863379	Enterococcus lactis	2
GCA_964193395.1	SAMEA115461494	Enterococcus lactis	2
GCA_978432025.1	SAMEA118437129	Enterococcus faecium	3
GCA_000248475.2	SAMN02435806	Staphylococcus aureus subsp. aureus CIG1057	3
GCA_000255955.1	SAMN02604318	Helicobacter pylori ELS37	3
GCA_001333295.1	SAMEA751465	Bordetella pertussis	3
GCA_001333515.1	SAMEA751484	Bordetella pertussis	2
GCA_001198095.1	SAMEA751341	Bordetella pertussis	2
GCA_001209065.1	SAMEA751494	Bordetella pertussis	2
GCA_013413495.1	SAMN15470663	Achromobacter xylosoxidans	3
GCA_003992955.1	SAMN09009258	Xanthomonas vesicatoria	4
GCA_002174875.1	SAMN06197031	Pseudomonas syringae pv. actinidiae	4
GCA_002175185.1	SAMN06197063	Pseudomonas syringae pv. actinidiae	4
GCA_002252075.2	SAMN06821038	Acholeplasma laidlawii	3
GCA_004804375.1	SAMN11349924	Enterobacter bugandensis	2
GCA_001676315.1	SAMN05188789	Stenotrophomonas maltophilia	2
GCA_004462905.1	SAMN11110190	Micrococcus yunnanensis	3
GCA_009663665.1	SAMN10240014	Faecalicatena contorta	2
GCA_014235285.1	SAMN15689521	Pseudomonas aeruginosa	3
GCA_015015595.1	SAMN14091595	Listeria monocytogenes	1
GCA_015017195.1	SAMN14091662	Listeria monocytogenes	1
GCA_015018535.1	SAMN14091622	Listeria monocytogenes	1
GCA_015019075.1	SAMN14091644	Listeria monocytogenes	1
GCA_015019275.1	SAMN14091733	Listeria monocytogenes	1
GCA_015117075.1	SAMN07807110	Escherichia coli	3
GCA_015845675.1	SAMN03654337	Bacillus xiamenensis	2
GCA_017160735.1	SAMN15355021	Aggregatibacter actinomycetemcomitans	2
GCA_017291725.1	SAMN18087506	Klebsiella pneumoniae	3
GCA_017933235.1	SAMN12730703	Streptomyces scabiei	3
GCA_018647105.1	SAMN04460984	Clostridioides difficile	4
GCA_018907525.1	SAMEA5849369	Clostridioides difficile	2
GCA_019278105.1	SAMN18809432	Lactobacillus crispatus	2
GCA_020528635.1	SAMN20884484	Salmonella enterica subsp. enterica serovar Newport	2
GCA_021095345.1	SAMEA8581364	Enterobacter hormaechei	3
GCA_021310275.1	SAMN14969741	Aggregatibacter actinomycetemcomitans	2
GCA_021380265.1	SAMN24691148	Salmonella enterica	2
GCA_022263075.1	SAMN07421104	Klebsiella pneumoniae	2
GCA_022263915.1	SAMN07421118	Klebsiella pneumoniae	2
GCA_022518725.1	SAMN25989040	Klebsiella pneumoniae	3
GCA_022535075.1	SAMN25990045	Klebsiella pneumoniae	3
GCA_021095195.1	SAMEA8581376	Enterobacter hormaechei	3
GCA_021211315.1	SAMN24104992	Listeria monocytogenes	2
GCA_021308725.1	SAMN14969763	Aggregatibacter actinomycetemcomitans	2
GCA_023840245.1	SAMN26764578	Salmonella enterica	3
GCA_023840445.1	SAMN26764568	Salmonella enterica	3
GCA_023841265.1	SAMN26764526	Salmonella enterica	3
GCA_023841605.1	SAMN26764512	Salmonella enterica	3
GCA_023842935.1	SAMN26764443	Salmonella enterica	3
GCA_023843375.1	SAMN26764421	Salmonella enterica	3
GCA_023843815.1	SAMN26764397	Salmonella enterica	3
GCA_023843935.1	SAMN26764391	Salmonella enterica	3
GCA_023844275.1	SAMN26764372	Salmonella enterica	3
GCA_024146065.1	SAMN29507128	Escherichia coli	2
GCA_024271735.1	SAMN27959352	Escherichia coli	2
GCA_024366795.1	SAMN27959349	Escherichia coli	2
GCA_022519305.1	SAMN25989519	Klebsiella pneumoniae	3
GCA_022520805.1	SAMN25989244	Citrobacter farmeri	1
GCA_022528245.1	SAMN25989726	Klebsiella pneumoniae	3
GCA_023218995.1	SAMN26664683	Citrobacter koseri	3
GCA_024979275.1	SAMN30149034	Herbiconiux oxytropis	3
GCA_025193225.1	SAMN15461199	Elizabethkingia anophelis	3
GCA_029636405.1	SAMN32614585	Bacillus anthracis	2
GCA_029648645.1	SAMN11638066	Pasteurella multocida	2
GCA_030371865.1	SAMN34359415	Phocaeicola barnesiae	2
GCA_028536525.1	SAMEA7997330	Staphylococcus aureus	3
GCA_040790535.1	SAMN42383339	Enterobacter hormaechei subsp. xiangfangensis	3
GCA_032410565.1	SAMEA111551689	Escherichia coli	2
GCA_057609895.1	SAMN50509768	Candidatus Duodenibacillus intestinigallinarum	1
GCA_034909605.1	SAMN14436471	Streptococcus pyogenes	3
GCA_034912225.1	SAMN14436929	Streptococcus pyogenes	3
GCA_034420975.1	SAMN13291840	Clostridium perfringens	2
GCA_035748285.1	SAMEA10254899	Streptococcus pneumoniae	3
GCA_035748425.1	SAMEA10254890	Streptococcus pneumoniae	3
GCA_035028885.1	SAMEA8426144	Streptococcus pyogenes	2
GCA_035030425.1	SAMEA8426064	Streptococcus pyogenes	2
GCA_036095415.1	SAMN17390636	Streptococcus pneumoniae	3
GCA_040533685.1	SAMN42052451	Yersinia enterocolitica	2
GCA_043353875.1	SAMN43896503	Enterococcus faecalis	2
GCA_041076755.1	SAMN42353885	Enterobacter hormaechei	2
GCA_048823155.1	SAMN47422048	Corynebacterium striatum	3
GCA_049856835.1	SAMN48009803	Salmonella enterica subsp. enterica	2
GCA_050284965.1	SAMN47200953	Alcaligenes sp.	2
GCA_051896015.1	SAMN45100559	Yersinia enterocolitica	2
GCA_051945375.1	SAMN39605061	Staphylococcus aureus	2
GCA_052517265.1	SAMN43306212	Escherichia coli	3
GCA_052560215.1	SAMN47846019	Haemophilus influenzae	2
GCA_053093845.1	SAMN51023247	Escherichia coli	2
GCA_000781695.1	SAMN02801868	Escherichia coli	3
GCA_003833745.1	SAMN07424216	Pseudomonas aeruginosa	3
GCA_003835155.1	SAMN07424138	Pseudomonas aeruginosa	3
GCA_003835825.1	SAMN07424121	Pseudomonas aeruginosa	3
GCA_003841125.1	SAMN07423903	Pseudomonas aeruginosa	3
GCA_009725435.1	SAMN13009025	Staphylococcus aureus	3
GCA_009770655.1	SAMN13441399	Enterococcus faecium	3
GCA_013038545.1	SAMN07682653	Escherichia coli	3
GCA_015322985.1	SAMN16711532	Salmonella enterica	2
GCA_015452105.1	SAMEA5367960	Enterococcus faecium	2
GCA_015452405.1	SAMEA5367967	Enterococcus faecium	2
GCA_015454385.1	SAMEA5367904	Enterococcus faecium	2
GCA_015454665.1	SAMEA5367828	Enterococcus faecium	2
GCA_015455445.1	SAMEA5367783	Enterococcus faecium	2
GCA_015455725.1	SAMEA5368455	Enterococcus faecium	2
GCA_015457095.1	SAMEA5368434	Enterococcus faecium	2
GCA_015457805.1	SAMEA5368403	Enterococcus faecium	2
GCA_015458065.1	SAMEA5368404	Enterococcus faecium	2
GCA_015459345.1	SAMEA5368538	Enterococcus faecium	2
GCA_015459925.1	SAMEA5368495	Enterococcus faecium	2
GCA_015460625.1	SAMEA5368245	Enterococcus faecium	2
GCA_015461925.1	SAMEA5368313	Enterococcus faecium	2
GCA_015464445.1	SAMEA5368792	Enterococcus faecium	2
GCA_015464545.1	SAMEA5368673	Enterococcus faecium	2
GCA_015465945.1	SAMEA5368788	Enterococcus faecium	2
GCA_015467485.1	SAMEA5368027	Enterococcus faecium	2
GCA_015468145.1	SAMEA5367922	Enterococcus faecium	2
GCA_015468405.1	SAMEA5368247	Enterococcus faecium	2
GCA_015674205.1	SAMN16304165	Escherichia coli	2
GCA_018087105.1	SAMEA5368123	Enterococcus faecium	2
GCA_021283105.1	SAMN23773732	Pseudomonas sp. NMI1173_11	3
GCA_021696815.1	SAMN14523355	Pseudomonas aeruginosa	3
GCA_021697935.1	SAMN14523612	Pseudomonas aeruginosa	3
GCA_021699175.1	SAMN14523629	Pseudomonas aeruginosa	3
GCA_021705215.1	SAMN14523508	Pseudomonas aeruginosa	3
GCA_021920045.1	SAMN15908363	Klebsiella pneumoniae	3
GCA_022272775.1	SAMN03074836	Klebsiella aerogenes	3
GCA_022527825.1	SAMN25988618	Klebsiella pneumoniae	1
GCA_022531405.1	SAMN25988456	Klebsiella pneumoniae	1
GCA_023197235.1	SAMN26026471	Staphylococcus aureus	3
GCA_023348045.1	SAMN27294957	Salmonella enterica subsp. enterica serovar Enteritidis	3
GCA_023720555.1	SAMN26028955	Escherichia coli	3
GCA_023905165.1	SAMN11339286	Pseudomonas aeruginosa	3
GCA_023905205.1	SAMN11339283	Pseudomonas aeruginosa	3
GCA_023905785.1	SAMN11339254	Pseudomonas aeruginosa	3
GCA_023906985.1	SAMN11339191	Pseudomonas aeruginosa	3
GCA_023910935.1	SAMN11339015	Pseudomonas aeruginosa	3
GCA_023912735.1	SAMN11338926	Pseudomonas aeruginosa	3
GCA_024610055.1	SAMN29955746	Campylobacter jejuni	2
GCA_024669325.1	SAMN29955738	Campylobacter jejuni	2
GCA_025543315.1	SAMN18871249	Sutterella wadsworthensis	2
GCA_026730615.1	SAMN14112709	Staphylococcus aureus	3
GCA_026732795.1	SAMN14112777	Staphylococcus aureus	3
GCA_027273835.1	SAMN32247457	Escherichia coli	2
GCA_027275325.1	SAMN32247496	Escherichia coli	2
GCA_027276545.1	SAMN32247409	Escherichia coli	2
GCA_027540485.1	SAMN06640194	Staphylococcus aureus	3
GCA_027544305.1	SAMN06640196	Staphylococcus aureus	3
GCA_029853535.1	SAMN32966868	Staphylococcus aureus	3
GCA_029853615.1	SAMN32966864	Staphylococcus aureus	3
GCA_030796405.1	SAMD00500635	Escherichia coli	3
GCA_032816505.1	SAMN35758834	Campylobacter jejuni	2
GCA_032817465.1	SAMN35758893	Campylobacter jejuni	2
GCA_032817605.1	SAMN35758902	Campylobacter jejuni	2
GCA_033091255.1	SAMN11339324	Pseudomonas aeruginosa	3
GCA_034651835.1	SAMN37746768	Klebsiella pneumoniae	3
GCA_034897245.1	SAMN14440579	Streptococcus pyogenes	3
GCA_034899385.1	SAMN14440266	Streptococcus pyogenes	3
GCA_035321625.1	SAMN38909796	Streptococcus pneumoniae	2
GCA_036366525.1	SAMN38380773	Streptococcus pneumoniae	3
GCA_037112735.1	SAMN40376606	Listeria monocytogenes	3
GCA_037406595.1	SAMN10275876	Neisseria meningitidis	3
GCA_037407715.1	SAMN10275950	Neisseria meningitidis	3
GCA_037410615.1	SAMN10275812	Neisseria meningitidis	3
GCA_040343305.1	SAMN42051218	Listeria monocytogenes	3
GCA_041403385.1	SAMN43154256	Acinetobacter baumannii	3
GCA_041449415.1	SAMN42036865	Pseudomonas ficuserectae	4
GCA_043859675.1	SAMN44265419	Salmonella enterica	1
GCA_045030455.1	SAMN22781162	Neisseria meningitidis	3
GCA_045028555.1	SAMN22781015	Neisseria meningitidis	3
GCA_050863655.1	SAMN46214478	Pseudomonas aeruginosa	3
GCA_051411635.1	SAMN46424025	Escherichia coli	2
GCA_051411715.1	SAMN46424022	Acinetobacter gandensis	2
GCA_051411755.1	SAMN46424019	Klebsiella pneumoniae	2
GCA_051794205.1	SAMN41834280	Neisseria meningitidis	3
GCA_052258505.1	SAMN50623208	Psychrobacter sp. 1Y7	2
GCA_052371375.1	SAMN50736699	Acinetobacter baumannii	3
GCA_052498755.1	SAMN43307349	Escherichia coli	3
GCA_053724855.1	SAMN52754785	Escherichia coli	3
GCA_053725075.1	SAMN52754867	Escherichia coli	3
GCA_053725575.1	SAMN52754973	Escherichia coli	3
GCA_053725915.1	SAMN52754813	Escherichia coli	3
GCA_054459855.1	SAMN54272849	Klebsiella pneumoniae	3
GCA_054906955.1	SAMN55046984	Neisseria meningitidis	3
GCA_055818135.1	SAMN53502906	Escherichia coli	2
GCA_057346835.1	SAMN58876626	Escherichia coli	2
GCA_057347835.1	SAMN58876544	Escherichia coli	2
GCA_057352105.1	SAMN59157922	Escherichia coli	2
GCA_057354325.1	SAMN58971142	Escherichia coli	2
GCA_057355225.1	SAMN58971090	Escherichia coli	2
GCA_057355425.1	SAMN58971071	Escherichia coli	2
GCA_057356485.1	SAMN58971125	Escherichia coli	2
GCA_057358605.1	SAMN59518289	Escherichia coli	2
GCA_057375565.1	SAMN59518293	Escherichia coli	2
GCA_057375765.1	SAMN59518204	Escherichia coli	2
GCA_057377165.1	SAMN59518334	Escherichia coli	2
GCA_057377325.1	SAMN59518347	Escherichia coli	2
GCA_057378165.1	SAMN59518375	Escherichia coli	2
GCA_057379005.1	SAMN59518245	Escherichia coli	2
GCA_900022785.1	SAMEA2238776	Streptococcus pneumoniae	3
GCA_900050495.1	SAMEA685713	Streptococcus pneumoniae	3
GCA_901226205.1	SAMEA2658405	Streptococcus pneumoniae	3
GCA_901268145.1	SAMEA2554219	Streptococcus pneumoniae	3
GCA_901309055.1	SAMEA104155113	Streptococcus pneumoniae	3
GCA_976954685.1	SAMEA120250264	Klebsiella pneumoniae	3
GCA_053891885.1	SAMN52822231	Edwardsiella tarda	2
GCA_054855725.1	SAMN51360173	Escherichia coli	2
GCA_046573825.1	SAMN46052165	Helicobacter pylori	3
GCA_046573965.1	SAMN46052161	Helicobacter pylori	3
GCA_056652225.1	SAMN56813356	Escherichia coli	2
GCA_057044065.1	SAMN50509422	Ruminiclostridium sp.	1
GCA_004078655.1	SAMN10640885	Labedella populi	3
GCA_056465465.1	SAMN56810725	Escherichia coli	2
GCA_056468725.1	SAMN56812867	Escherichia coli	2
GCA_056485445.1	SAMN50024721	Enterobacter roggenkampii	3
GCA_047896975.1	SAMN46423088	Enterobacter hormaechei	3
GCA_900034985.1	SAMEA2238295	Streptococcus pneumoniae	3
GCA_900035355.1	SAMEA2238833	Streptococcus pneumoniae	3
GCA_900040005.1	SAMEA2238814	Streptococcus pneumoniae	3
GCA_900046715.1	SAMEA2238562	Streptococcus pneumoniae	3
GCA_900046915.1	SAMEA2239182	Streptococcus pneumoniae	3
GCA_901270385.1	SAMEA2554231	Streptococcus pneumoniae	3
GCA_049502095.1	SAMN21850783	Haemophilus influenzae	3
GCA_049502535.1	SAMN21850879	Haemophilus influenzae	3
GCA_910585095.1	SAMEA8805476	uncultured Lachnospira sp.	3
GCA_910585675.1	SAMEA8805473	uncultured Desulfovibrio sp.	3
GCA_947085485.1	SAMEA111451394	uncultured Prolixibacteraceae bacterium	3
GCA_947084865.1	SAMEA111451372	uncultured Nitrospinota bacterium	3
GCA_947085905.1	SAMEA111451296	uncultured Actinomycetes bacterium	3
GCA_947085885.1	SAMEA111451404	uncultured Syntrophobacterales bacterium	3
GCA_947085585.1	SAMEA111451398	uncultured Rhodocyclaceae bacterium	3
GCA_051896415.1	SAMN45100551	Yersinia enterocolitica	2
GCA_051898455.1	SAMN45100465	Yersinia enterocolitica	2
GCA_001512885.1	SAMN03779016	Rikenellaceae bacterium DTU001	2
GCA_052560915.1	SAMN47846128	Haemophilus influenzae	2
GCA_052561475.1	SAMN47845941	Haemophilus influenzae	2
GCA_052561655.1	SAMN47845952	Haemophilus influenzae	2
GCA_052565275.1	SAMN47846081	Haemophilus influenzae	2
GCA_964506005.1	SAMEA117305444	uncultured Anaerolineae bacterium	2
GCA_964636205.1	SAMEA117295582	uncultured Chitinophagaceae bacterium	2
GCA_057608325.1	SAMN50509846	Candidatus Stercorousia faecigallinarum	1
GCA_000585195.1	SAMN02951875	Aliarcobacter lanthieri	2
GCA_002554755.1	SAMN07597500	Bacillus toyonensis	3
GCA_005171095.1	SAMN08768112	Escherichia coli O113:H21	2
GCA_051898095.1	SAMN45100484	Yersinia enterocolitica	2
GCA_009917565.1	SAMN10053175	Adlercreutzia caecimuris	2
GCA_009736645.1	SAMN09095575	Acinetobacter baumannii	2
GCA_015273855.1	SAMN15665272	Staphylococcus epidermidis	3
GCA_015274095.1	SAMN15665261	Staphylococcus capitis	3
GCA_015274235.1	SAMN15665253	Staphylococcus epidermidis	3
GCA_015274365.1	SAMN15665246	Staphylococcus haemolyticus	3
GCA_017160835.1	SAMN15355025	Aggregatibacter actinomycetemcomitans	2
GCA_018175015.1	SAMEA5905426	Escherichia coli	2
GCA_018175375.1	SAMEA5905408	Escherichia coli	2
GCA_018314145.1	SAMN18920621	Klebsiella pneumoniae subsp. pneumoniae	3
GCA_026152295.1	SAMN31538040	Salmonella enterica	2
GCA_018908245.1	SAMEA5849402	Clostridioides difficile	2
GCA_026157645.1	SAMN30260685	Streptococcus mitis	2
GCA_026160385.1	SAMN30260572	Streptococcus mitis	2
GCA_020421375.1	SAMN21855322	Burkholderia multivorans	3
GCA_022533205.1	SAMN25989295	Klebsiella pneumoniae	3
GCA_025211055.1	SAMN30713057	Vallitalea sp.	2
GCA_029404275.1	SAMD00467432	Staphylococcus aureus	2
GCA_028535415.1	SAMEA7997411	Staphylococcus aureus	3
GCA_032322335.1	SAMN33372415	Staphylococcus aureus	3
GCA_032411205.1	SAMEA111551616	Escherichia coli	2
GCA_032648505.1	SAMN12856460	Escherichia coli	3
GCA_034250055.1	SAMEA4355194	Streptococcus suis	3
GCA_034892485.1	SAMN14440506	Streptococcus pyogenes	3
GCA_034919465.1	SAMN14437289	Streptococcus pyogenes	3
GCA_034920385.1	SAMN14437157	Streptococcus pyogenes	3
GCA_034920485.1	SAMN14437162	Streptococcus pyogenes	3
GCA_035029665.1	SAMEA8426105	Streptococcus pyogenes	2
GCA_035029825.1	SAMEA8426097	Streptococcus pyogenes	2
GCA_035592615.1	SAMEA685799	Streptococcus pneumoniae	3
GCA_037400295.1	SAMN40355368	Escherichia coli	3
GCA_040533095.1	SAMN42052474	Yersinia enterocolitica	2
GCA_023001505.1	SAMN20599390	Acinetobacter baumannii	3
GCA_023147655.1	SAMN19899822	Staphylococcus haemolyticus	2
GCA_023826255.1	SAMN28592663	Klebsiella pneumoniae	3
GCA_056651405.1	SAMN56813734	Escherichia coli O157:H7	2
GCA_056651765.1	SAMN56813549	Escherichia coli	2
GCA_056846615.1	SAMN47254572	Xanthomonas citri pv. citri	3
GCA_057038195.1	SAMN50509577	Alistipes communis	1
GCA_057042085.1	SAMN50509474	Angelakisella sp.	1
GCA_056469865.1	SAMN56812481	Escherichia coli O157:H7	2
GCA_056496685.1	SAMN56813148	Escherichia coli O157:H7	2
GCA_056529725.1	SAMN56812973	Escherichia coli O109:H10	2
GCA_056530185.1	SAMN56812483	Escherichia coli O177:H25	2
GCA_900018525.1	SAMEA2239001	Streptococcus pneumoniae	3
GCA_900018865.1	SAMEA2239255	Streptococcus pneumoniae	3
GCA_900020595.1	SAMEA2238610	Streptococcus pneumoniae	3
GCA_900043255.1	SAMEA2673789	Neisseria meningitidis	3
GCA_043475555.1	SAMN35991937	Klebsiella pneumoniae	3
GCA_043476695.1	SAMN35991966	Klebsiella pneumoniae	3
GCA_045699375.2	SAMN45080242	Klebsiella pneumoniae	2
GCA_045136755.1	SAMN17862028	Neisseria meningitidis	3
GCA_046549365.1	SAMN16788666	Streptomyces sp. 049-1	3
GCA_046570355.1	SAMN46052298	Helicobacter pylori	3
GCA_046570665.1	SAMN46052220	Helicobacter pylori	3
GCA_046571165.1	SAMN46052249	Helicobacter pylori	3
GCA_046634645.1	SAMN45032240	Klebsiella pneumoniae	2
GCA_046634865.1	SAMN45032234	Klebsiella pneumoniae	2
GCA_046635165.1	SAMN45032224	Klebsiella pneumoniae	2
GCA_048801205.1	SAMN45061387	Staphylococcus aureus	3
GCA_048804325.1	SAMN45061020	Staphylococcus aureus	3
GCA_052509925.1	SAMN43306409	Escherichia coli	3
GCA_052513325.1	SAMN43306856	Escherichia coli	3
GCA_052514725.1	SAMN43306356	Escherichia coli	3
GCA_052547915.1	SAMN47845981	Haemophilus influenzae	2
GCA_052548615.1	SAMN47846172	Haemophilus influenzae	2
GCA_052558635.1	SAMN47846074	Haemophilus influenzae	2
GCA_052559825.1	SAMN47845927	Haemophilus influenzae	2
GCA_052559955.1	SAMN47846004	Haemophilus influenzae	2
GCA_053091465.1	SAMN43325414	Streptococcus pyogenes	3
GCA_055393645.1	SAMN53380907	Enterococcus faecalis	3
GCA_056637255.1	SAMN54271659	Klebsiella pneumoniae	3
GCA_056639655.1	SAMN54271642	Klebsiella pneumoniae	3
GCA_963565895.1	SAMEA4874857	Burkholderia pseudomallei	2
GCA_007845295.1	SAMN10782564	TM7 phylum sp. oral taxon 352	2
GCA_007845265.1	SAMN10782566	TM7 phylum sp. oral taxon 352	2
GCA_000808135.1	SAMN03154130	Listeria monocytogenes	3
GCA_001027815.1	SAMN02721472	Pasteurella multocida subsp. multocida	2
GCA_002571315.1	SAMN07598186	Bacillus thuringiensis	3
GCA_002576875.1	SAMN07598007	Bacillus thuringiensis	3
GCA_003833455.1	SAMN07424244	Pseudomonas aeruginosa	3
GCA_009736805.1	SAMN09095567	Acinetobacter baumannii	2
GCA_011868945.1	SAMN12715300	Escherichia coli O157:H7	2
GCA_012400905.1	SAMN12668247	Escherichia coli	2
GCA_012439255.2	SAMN07363398	Escherichia coli	2
GCA_013078785.1	SAMEA3531630	Escherichia coli	3
GCA_018279445.1	SAMN19011054	Escherichia coli	2
GCA_020614355.1	SAMN22377381	Bifidobacterium pseudolongum	1
GCA_022536235.1	SAMN25988735	Klebsiella pneumoniae	3
GCA_022991725.1	SAMN27566827	Escherichia coli	2
GCA_023286385.1	SAMEA104127649	Salmonella enterica subsp. enterica serovar Paratyphi C	3
GCA_025654235.1	SAMN25232815	Shewanella sp. SM32	3
GCA_033332425.1	SAMN33700634	Mannheimia haemolytica	2
GCA_034892865.1	SAMN14440522	Streptococcus pyogenes	3
GCA_034894585.1	SAMN14440343	Streptococcus pyogenes	3
GCA_034895745.1	SAMN14440361	Streptococcus pyogenes	3
GCA_034900905.1	SAMN14440639	Streptococcus pyogenes	3
GCA_034906445.1	SAMN14437180	Streptococcus pyogenes	3
GCA_034907505.1	SAMN14437259	Streptococcus pyogenes	3
GCA_034910465.1	SAMN14436867	Streptococcus pyogenes	3
GCA_034912505.1	SAMN14436543	Streptococcus pyogenes	3
GCA_034914385.1	SAMN14436754	Streptococcus pyogenes	3
