assembly_accession	biosample	organism	migrated_entries
GCA_051897855.1	SAMN45100504	Yersinia enterocolitica	2
GCA_051783825.1	SAMN49740157	Dickeya dianthicola	3
GCA_052564675.1	SAMN47846062	Haemophilus influenzae	2
GCA_964623425.1	SAMEA117305457	uncultured Micromonosporaceae bacterium	2
GCA_057039045.1	SAMN50509556	Oscillospiraceae bacterium	1
GCA_057042665.1	SAMN50509458	Clostridia bacterium	1
GCA_025210485.1	SAMN30713058	Marinifilaceae bacterium	2
GCA_001202475.1	SAMEA970300	Streptococcus pneumoniae	3
GCA_002577475.1	SAMN07597932	Bacillus anthracis	3
GCA_003048185.1	SAMN06546775	Campylobacter jejuni	3
GCA_005222125.1	SAMN08579952	Spiroplasma melliferum	2
GCA_006777045.1	SAMN12158196	Escherichia coli O1:H42	2
GCA_902652075.1	SAMEA6160254	Blautia glucerasea	2
GCA_902652225.1	SAMEA6160268	Thomasclavelia ramosa	2
GCA_902652245.1	SAMEA6160260	uncultured Clostridium sp.	2
GCA_943368025.1	SAMEA14447035	Algoriphagus zhangzhouensis	1
GCA_943370465.1	SAMEA14446981	Variovorax paradoxus	2
GCA_001512825.1	SAMN03779015	Clostridiales bacterium DTU010	2
GCA_052565195.1	SAMN47846078	Haemophilus influenzae	2
GCA_008823185.1	SAMN12512712	Escherichia coli	2
GCA_001014595.1	SAMN03454257	Streptomyces sp. KE1	2
GCA_913778725.1	SAMEA8943755	uncultured Acidovorax sp.	1
GCA_012934595.1	SAMN14609782	Escherichia coli	2
GCA_002162295.1	SAMN06141922	Histophilus somni	2
GCA_013361855.1	SAMN14571727	Nonomuraea sp.	1
GCA_001535835.1	SAMN03992217	Pseudomonas syringae pv. rhaphiolepidis	4
GCA_003670235.1	SAMN10024784	Parabacteroides goldsteinii	2
GCA_003839305.1	SAMN07423955	Pseudomonas aeruginosa	3
GCA_004328005.1	SAMN10962555	Pseudoxanthomonas winnipegensis	3
GCA_930990055.1	SAMEA13009022	uncultured Butyricicoccus sp.	3
GCA_013362785.1	SAMN14571682	Streptomyces sp.	1
GCA_015019355.1	SAMN14091607	Listeria monocytogenes	1
GCA_015159735.1	SAMN16435603	Ligilactobacillus salivarius	2
GCA_016307185.1	SAMN16793265	Lacticaseibacillus casei	2
GCA_016937335.1	SAMN17983222	Ruthenibacterium lactatiformans	2
GCA_017160845.1	SAMN15355024	Aggregatibacter actinomycetemcomitans	2
GCA_026159885.1	SAMN30260597	Streptococcus mitis	2
GCA_026160105.1	SAMN30260583	Streptococcus mitis	2
GCA_026161105.1	SAMN30260537	Streptococcus mitis	2
GCA_009738225.1	SAMN06066184	Streptococcus salivarius	2
GCA_019885745.1	SAMN21217547	Escherichia coli	3
GCA_021694955.1	SAMN14523558	Pseudomonas aeruginosa	3
GCA_021286545.1	SAMN24183529	Enterobacter hormaechei	2
GCA_021892675.1	SAMN14372660	Lactiplantibacillus plantarum	3
GCA_021893205.1	SAMN14372630	Lactiplantibacillus plantarum	3
GCA_021893275.1	SAMN14372629	Lactiplantibacillus plantarum	3
GCA_022263675.1	SAMN07421065	Klebsiella pneumoniae	2
GCA_022763365.1	SAMN26879089	Minisyncoccota bacterium	2
GCA_023005915.1	SAMN20599230	Acinetobacter baumannii	3
GCA_023147175.1	SAMN19899842	Micrococcus luteus	2
GCA_023840685.1	SAMN26764556	Salmonella enterica	3
GCA_024160985.1	SAMN29507203	Escherichia coli	2
GCA_024919095.1	SAMN30473216	Bacillus velezensis	3
GCA_025541895.1	SAMN18871320	Oscillospiraceae bacterium	2
GCA_025542815.1	SAMN18871278	Agathobaculum butyriciproducens	2
GCA_025542955.1	SAMN18871269	Lachnospiraceae bacterium	2
GCA_025543155.1	SAMN18871258	Agathobaculum butyriciproducens	2
GCA_025917765.1	SAMN29490475	Klebsiella pneumoniae	3
GCA_026732135.1	SAMN14112749	Staphylococcus aureus	3
GCA_029693225.1	SAMN32614598	Bacillus anthracis	2
GCA_030646155.1	SAMN36726704	Conexibacter sp. CPCC 205762	3
GCA_028537235.1	SAMEA7997295	Staphylococcus aureus	3
GCA_040796785.1	SAMN42394831	Klebsiella pneumoniae	3
GCA_033336175.1	SAMN37358319	Klebsiella pneumoniae	3
GCA_033336855.1	SAMN37358285	Klebsiella pneumoniae	3
GCA_034899605.1	SAMN14440609	Streptococcus pyogenes	3
GCA_035748685.1	SAMEA10254874	Streptococcus pneumoniae	3
GCA_035030545.1	SAMEA8426055	Streptococcus pyogenes	2
GCA_036226805.1	SAMN24016268	Streptomyces melanogenes	3
GCA_031712475.1	SAMN36398538	Pasteurella multocida	2
GCA_036531475.1	SAMN32745595	Escherichia coli	3
GCA_036763305.1	SAMN39962214	Serratia marcescens	2
GCA_035802875.1	SAMN33769538	Bacillus anthracis	2
GCA_044780005.1	SAMN44423695	Pseudomonas aeruginosa	3
GCA_044788395.1	SAMN44414988	Ralstonia solanacearum	2
GCA_036906595.1	SAMN40026083	Cutibacterium avidum	2
GCA_046570305.1	SAMN46052293	Helicobacter pylori	3
GCA_046573365.1	SAMN46052188	Helicobacter pylori	3
GCA_049839995.1	SAMN40121539	Escherichia coli	3
GCA_051349875.1	SAMN46444726	Pseudomonas aeruginosa	3
GCA_051794805.1	SAMN41834105	Neisseria meningitidis	3
GCA_054440175.1	SAMN46905785	Vibrio cholerae O1 biovar El Tor Ogawa	3
GCA_052548235.1	SAMN47846134	Haemophilus influenzae	2
GCA_052560015.1	SAMN47846005	Haemophilus influenzae	2
GCA_052560295.1	SAMN47846024	Haemophilus influenzae	2
GCA_056386615.1	SAMN54874729	Pasteurella multocida	2
GCA_056387235.1	SAMN54874676	Pasteurella multocida	2
GCA_056651025.1	SAMN56813752	Escherichia coli O157:H7	2
GCA_056652245.1	SAMN56813342	Escherichia coli	2
GCA_057046545.1	SAMN50509359	Bacteroides eggerthii	1
GCA_057046725.1	SAMN50509349	Vescimonas sp.	1
GCA_056466045.1	SAMN56810967	Escherichia coli	2
GCA_056466245.1	SAMN56810715	Escherichia coli O157:H7	2
GCA_057376705.1	SAMN59518231	Escherichia coli	2
GCA_900038035.1	SAMEA2673851	Neisseria meningitidis	3
GCA_011878755.1	SAMN12637493	Escherichia coli O157:H7	2
GCA_011884245.1	SAMN12637413	Escherichia coli O157:H7	2
GCA_011938425.1	SAMN11942539	Escherichia coli O157:H7	2
GCA_012619705.1	SAMN13719190	Escherichia coli	2
GCA_015452965.1	SAMEA5367919	Enterococcus faecium	2
GCA_018757015.1	SAMN04461019	Clostridioides difficile	4
GCA_022522685.1	SAMN25989544	Klebsiella pneumoniae	3
GCA_022557115.1	SAMN19471632	Staphylococcus coagulans	3
GCA_025907745.1	SAMN31394341	Riemerella anatipestifer	2
GCA_026166565.1	SAMN31538108	Salmonella enterica	2
GCA_033330485.1	SAMN33700731	Mannheimia haemolytica	2
GCA_033332695.1	SAMN33700619	Mannheimia haemolytica	2
GCA_033334775.1	SAMN33700516	Mannheimia haemolytica	2
GCA_033729065.1	SAMN34588015	Salmonella enterica	2
GCA_033729715.1	SAMN34587845	Salmonella enterica	2
GCA_034898685.1	SAMN14440489	Streptococcus pyogenes	3
GCA_034907765.1	SAMN14436804	Streptococcus pyogenes	3
GCA_034911365.1	SAMN14436907	Streptococcus pyogenes	3
GCA_034914945.1	SAMN14436492	Streptococcus pyogenes	3
GCA_034916985.1	SAMN14436661	Streptococcus pyogenes	3
GCA_034919445.1	SAMN14437288	Streptococcus pyogenes	3
GCA_034920685.1	SAMN14437171	Streptococcus pyogenes	3
GCA_036882285.1	SAMN39937541	Escherichia coli	3
GCA_040347335.1	SAMN42089625	Escherichia coli	2
GCA_040609715.1	SAMN41496047	Streptomyces sp. NPDC004610	2
GCA_042713925.1	SAMN43645597	Rahnella aquatilis	2
GCA_043560475.1	SAMN44260369	Burkholderia pseudomallei	3
GCA_043967685.1	SAMN37798763	Listeria monocytogenes	3
GCA_049054525.1	SAMN46017818	Enterococcus faecalis	1
GCA_049488305.1	SAMN26645541	Haemophilus influenzae	3
GCA_000382065.1	SAMN02441648	Stenotrophomonas hibiscicola ATCC 19867	3
GCA_050835975.1	SAMD00624119	Staphylococcus aureus	3
GCA_000781805.1	SAMN02801861	Escherichia coli	3
GCA_051244865.1	SAMN49510496	Enterococcus faecium	2
GCA_051949865.1	SAMN41787743	Xanthomonas citri pv. mangiferaeindicae	3
GCA_052405305.1	SAMN50921839	Salmonella enterica	2
GCA_053895865.1	SAMD00916404	Salmonella enterica subsp. enterica serovar Enteritidis	3
GCA_054473855.1	SAMN54472049	Stenotrophomonas genospecies 3	3
GCA_056464405.1	SAMN56810484	Escherichia coli O157:H7	2
GCA_057036205.1	SAMN50509630	Sutterella wadsworthensis	1
GCA_900032715.1	SAMEA2383305	Listeria monocytogenes	3
GCA_901248675.1	SAMEA3176069	Streptococcus pneumoniae	3
GCA_901253735.1	SAMEA3175982	Streptococcus pneumoniae	3
GCA_903978195.1	SAMEA6962647	Xanthomonas hortorum pv. vitians	2
GCA_009796175.1	SAMN09428007	Clavibacter michiganensis subsp. michiganensis	3
GCA_018175055.1	SAMEA5905425	Escherichia coli	2
GCA_025195495.1	SAMN15461172	Elizabethkingia anophelis	3
