assembly_accession	biosample	organism	decision	reason	Host	Host_Original	Host_SD	Host_TaxID	Host_Context_SD	Sampling_Context_SD	Host_Colonization_Status_SD	Host_Vital_Status_SD	Sample_Material_SD	Isolation_Source_SD	Sample_Type_SD	Environment_Medium_SD	Environment_Local_Scale_SD	Environment_Broad_Scale_SD	raw_context
GCA_023840865.1	SAMN26764548	Salmonella enterica	keep	patient-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606	human-associated	clinical subject			feces/stool		feces/stool		gut/fecal local context	host-associated gut/oral/fecal environment	feces/stool | feces/stool | gut/fecal local context | host-associated gut/oral/fecal environment | feces from patient with diarrhea
GCA_030290775.1	SAMN32360803	Staphylococcus aureus	keep	patient-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606	human-associated	clinical subject					oral/oropharyngeal swab				oral/oropharyngeal swab | swab | nasal cavity/sinus/upper respiratory tract | Patient Sinus Swab
GCA_028536125.1	SAMEA7997362	Staphylococcus aureus	clear	patient-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606	human-associated	clinical subject				healthcare facility			healthcare facility	healthcare-associated environment	healthcare facility | healthcare-associated environment | healthcare facility | healthcare-associated environment | Patient visiting Queen Elizabeth Central Hospital, Blantyre
GCA_040796965.1	SAMN42394829	Klebsiella pneumoniae	keep	patient-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606	human-associated	clinical subject			blood		blood				blood | clinical/host-associated material | blood from critically ill patient
GCA_032322455.1	SAMN33372422	Staphylococcus aureus	clear	patient-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606	human-associated	clinical subject				healthcare facility			healthcare facility	healthcare-associated environment	healthcare facility | healthcare-associated environment | healthcare facility | healthcare-associated environment | Patient in hospital
GCA_034891345.1	SAMN14436587	Streptococcus pyogenes	keep	patient-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606	human-associated	clinical subject				clinical/host-associated material	clinical sample			clinical/host-associated material	clinical sample | clinical/host-associated material | clinical/host-associated material | clinical/host-associated material | clinical/host-associated material | patient clinical specimen
GCA_034904125.1	SAMN14436786	Streptococcus pyogenes	keep	patient-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606	human-associated	clinical subject				clinical/host-associated material	clinical sample			clinical/host-associated material	clinical sample | clinical/host-associated material | clinical/host-associated material | clinical/host-associated material | clinical/host-associated material | patient clinical specimen
GCA_034904705.1	SAMN14436726	Streptococcus pyogenes	keep	patient-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606	human-associated	clinical subject				clinical/host-associated material	clinical sample			clinical/host-associated material	clinical sample | clinical/host-associated material | clinical/host-associated material | clinical/host-associated material | clinical/host-associated material | patient clinical specimen
GCA_034904915.1	SAMN14436736	Streptococcus pyogenes	keep	patient-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606	human-associated	clinical subject				clinical/host-associated material	clinical sample			clinical/host-associated material	clinical sample | clinical/host-associated material | clinical/host-associated material | clinical/host-associated material | clinical/host-associated material | patient clinical specimen
GCA_034905445.1	SAMN14437366	Streptococcus pyogenes	keep	patient-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606	human-associated	clinical subject				clinical/host-associated material	clinical sample			clinical/host-associated material	clinical sample | clinical/host-associated material | clinical/host-associated material | clinical/host-associated material | clinical/host-associated material | patient clinical specimen
GCA_036181725.1	SAMN14440690	Streptococcus pyogenes	keep	patient-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606	human-associated	clinical subject				clinical/host-associated material	clinical sample			clinical/host-associated material	clinical sample | clinical/host-associated material | clinical/host-associated material | clinical/host-associated material | clinical/host-associated material | patient clinical specimen
GCA_037006985.1	SAMN37345401	Shewanella indica	keep	patient-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606	human-associated	clinical subject			feces/stool		feces/stool				feces/stool | feces/stool | fecal sample from patient with diarrhea | fecal sample from patient with diarrhea
GCA_037007065.1	SAMN37345393	Shewanella algae	keep	patient-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606	human-associated	clinical subject			feces/stool		feces/stool				feces/stool | feces/stool | fecal sample from patient with diarrhea | fecal sample from patient with diarrhea
GCA_046572425.1	SAMN46052311	Helicobacter pylori	keep	patient-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606	human-associated	clinical subject				clinical/host-associated material	gastric biopsy				gastric biopsy | gut content | clinical/host-associated material | clinical/host-associated material | from gastric biopsy sample of the child patient | Whole organism | from gastric biopsy sample of the child patient | Whole organism
GCA_019795275.1	SAMN20858506	Burkholderia dolosa	keep	patient-context audit	Homo sapiens	Homo sapiens	Homo sapiens	9606	human-associated	clinical subject			sputum		sputum				sputum | clinical/host-associated material | sputum from CF patient | Sputum | sputum from CF patient | Sputum
