count,host_original,host_method,decision,destination,proposed_value,reason
1,Food Crop,non_host_source,route_non_host_source,Isolation_Source_SD,food/food product,food source
1,Gut of Protaetia brevitarsis seulensis (larva),non_host_source,retained_manual_review,,,No deterministic source/sample/environment route matched.
1,Food Material,non_host_source,route_non_host_source,Isolation_Source_SD,food/food product,food source
1,aerobic activated sludge from the secondary sedimentation tank of WWTP of NB production plant,non_host_source,route_non_host_source,Environment_Medium_SD,sludge,sludge source
1,sediment of Yellow River,non_host_source,route_non_host_source,Environment_Medium_SD,sediment,sediment source
1,Cell culture collection,non_host_source,route_non_host_source,Sample_Type_SD,bacterial culture,culture/laboratory
1,broad-scale environmental context,non_host_source,route_non_host_source,Isolation_Source_SD,environmental material,environment/source context
1,surface of hospital environment,non_host_source,route_non_host_source,Isolation_Source_SD,healthcare facility,healthcare environment
1,environmental surface,non_host_source,route_non_host_source,Isolation_Source_SD,environmental material,environment/source context
1,marine water,non_host_source,route_non_host_source,Environment_Medium_SD,seawater,marine water source
1,HayFlick modified culture medium,non_host_source,route_non_host_source,Sample_Type_SD,bacterial culture,culture/laboratory
1,Milk thistle,non_host_source,route_non_host_source,Sample_Type_SD,milk/dairy product,milk/dairy source
1,ocean metagenome,non_host_source,retained_manual_review,,,No deterministic source/sample/environment route matched.
1,river water,non_host_source,route_non_host_source,Environment_Medium_SD,water,water source
1,Milk product,non_host_source,route_non_host_source,Sample_Type_SD,milk/dairy product,milk/dairy source
1,tidal flat sediment,non_host_source,route_non_host_source,Environment_Medium_SD,sediment,sediment source
1,fresh water green algae,non_host_source,route_non_host_source,Environment_Medium_SD,freshwater,freshwater source
1,Soil in kangaroo area of zoo,non_host_source,route_non_host_source,Environment_Medium_SD,soil,soil source
1,Tidal flat sediment,non_host_source,route_non_host_source,Environment_Medium_SD,sediment,sediment source
1,salted seafood,non_host_source,route_non_host_source,Sample_Type_SD,seafood,seafood source
1,Surface,non_host_source,retained_manual_review,,,No deterministic source/sample/environment route matched.
1,Aquatic environment,non_host_source,route_non_host_source,Isolation_Source_SD,environmental material,environment/source context
1,Pond sediment,non_host_source,route_non_host_source,Environment_Medium_SD,sediment,sediment source
1,Hanam-si wastewater treatment,non_host_source,route_non_host_source,Environment_Medium_SD,wastewater,wastewater source
1,gut,non_host_source,retained_manual_review,,,No deterministic source/sample/environment route matched.
1,Surface seawater,non_host_source,route_non_host_source,Environment_Medium_SD,seawater,marine water source
