rule_file,action,normalized_synonym,before_value,after_value,before_taxid,after_taxid
host_synonyms,added,greek oregano,,Origanum vulgare,,39352
host_synonyms,added,green eggplant,,Solanum melongena,,4111
host_synonyms,added,green spruce,,Picea,,3328
host_synonyms,added,groundnut,,Arachis hypogaea,,3818
host_synonyms,added,guang chen pi,,Citrus reticulata,,85571
host_synonyms,added,guar pulse,,Cyamopsis tetragonoloba,,3832
host_synonyms,added,guinea multimammate,,Mastomys,,30639
host_synonyms,added,guineapig,,Cavia porcellus,,10141
host_synonyms,added,h. concina,,Haemaphysalis concinna,,523089
host_synonyms,added,haemophisalus,,Haemaphysalis,,34622
host_synonyms,added,halophytes,,Viridiplantae,,33090
host_synonyms,added,hexactinellida,,Hexactinellida,,60882
host_synonyms,added,hibiscus,,Hibiscus,,47605
host_synonyms,added,hime yuzuriha,,Daphniphyllum,,4387
host_synonyms,added,hipocampus ingens,,Hippocampus ingens,,109285
host_synonyms,added,hippocampus,,Hippocampus,,72046
host_synonyms,added,holothurian,,Holothuroidea,,7705
host_synonyms,added,homalodisca coagulata,,Homalodisca vitripennis,,197043
host_synonyms,added,honeysuckle,,Lonicera,,49606
host_synonyms,added,howardula sp.,,Howardula,,209929
host_synonyms,added,hyacint,,Hyacinthus,,82024
host_synonyms,added,hyacinth,,Hyacinthus,,82024
host_synonyms,added,hyacynth,,Hyacinthus,,82024
host_synonyms,added,i. ricinus,,Ixodes ricinus,,34613
host_synonyms,added,iophon,,Iophon,,1336928
host_synonyms,added,iophon sp.,,Iophon,,1336928
host_synonyms,added,ipomea obscura,,Ipomoea obscura,,89652
host_synonyms,added,ipomoea aquatic,,Ipomoea aquatica,,89636
host_synonyms,added,ircinia cf. reteplana jbk 2021,,Ircinia,,275431
host_synonyms,added,isolated from cauliflower,,Brassica oleracea,,3712
host_synonyms,added,ixodes aulacodi str. akure,,Ixodes aulacodi,,1790017
host_synonyms,added,ixodes frontalis str. montpellier,,Ixodes frontalis,,213683
host_synonyms,added,ixodes ricinus str. naples,,Ixodes ricinus,,34613
host_synonyms,added,ixodes ricinus str. viterbo,,Ixodes ricinus,,34613
host_synonyms,added,ixodes stilesi collected from oligoryzomys longicaudatus,,Ixodes stilesi,,330945
host_synonyms,added,jujube,,Ziziphus,,72171
host_synonyms,added,kestrel,,Falco,,8952
host_synonyms,added,king palm,,Arecaceae,,4710
host_synonyms,added,kroswia sp. s13,,Kroswia,,1344011
host_synonyms,added,lampropeltis,,Lampropeltis,,94873
