count,isolation_source_sd
66,Broncho-alveolar lavage
66,Sacrum
66,algae
65,raw product
65,#REF!
65,Wild Bird
65,Salami
65,ThroatNasal
65,bagged salad mixture
65,cuban sandwich
65,hydrothermal vent
64,slaughterhouse
64,fermented milk/dairy product
64,Mouse embryonic cells
64,Madrid
64,ballast tank
64,Anaerobic reactor
64,forestomach
63,"""drag swabs, Gallus gallus domesticus"""
63,Lamb
63,seeds
63,femus
63,ESBA
63,abcess
63,Rotting apple
63,BK
63,O
63,mWWTPs outlet
63,Burn
63,tree bark
63,"Yiwu, Zhejiang, China"
63,CNR Borrelia - Pasteur Institute
62,salad
62,pleural effusion
62,foot ulcer
62,Grassland
62,DTA
62,Leg infection
62,N
62,South Pacific Ocean
62,Japanese pickles
62,Archaean Domes Dome-shaped microbial mat at 0-10 cm depth
61,Ducks
61,Bladder
61,semen
60,macadamia nut
60,horse
60,Harbour / creek
60,Facility 2
60,Orchard
60,e9.5 right ventricle
59,purified colonies
59,forest
59,Yolk Sac
59,screen
59,Digesta
59,agricultural biome
59,P
59,ice sheet [ENVO_00000132]
59,[ENVO_01000249]
59,Cystic Fibrosis
58,basil
58,lamb
58,WWTP inflow Grand Prado
58,Bronchial Wash (Lavage)
58,Sepsis
58,Healthcare worker (oral rinse)
58,Foremilk
58,Ifremeria nautilei
57,hulled sesame seed
57,jalapeno pepper
57,scat
57,field
57,anus
57,Lesion
57,Caeca
57,China:Yangzhou
57,Pneumonia
57,Secreta
57,South Atlantic Ocean
56,flour/flour products
56,retail store
56,standard
56,MRSA [Broth]
56,STERILE BODY SITE
55,Grey seal pup; live wild
55,mWWTPs inflow
55,Silage
55,derived from the strain Pseudomonas aeruginosa 1202
55,Eastern Africa Coastal Province
55,ventilators
55,Switzerland
54,salami
54,flush slurry
54,Uterine
54,Exudate
54,Facility A
54,Bronchial aspiration
54,eye swab
54,Stromatolite
53,lab
53,VDG
53,Facility 1
53,dog mouth
53,Naris
53,catheteruria
53,habitat
53,Unknow
53,axilla
53,No source bacteriemia
53,Litopenaeus vannamei
53,Microtus fuscus
53,pyropia
52,tahini sesame seed paste
52,colon content
52,INTEST_CONTENTS
52,Facility 6
52,bedside tables
52,coral
52,Digital dermatitis lesion
51,sprout
51,LBC
51,Carriage
51,bronchial alveolar lavage
51,"Huiquan Bay, Qingdao"
51,Household swabs
51,seedling
51,formation fluids from subseafloor aquifer collected in 2012 through 2014
50,infraorbital sinuses
50,Channel catfish
50,rabbit
50,Chick Paper
50,cabbage
50,Troups Creek Wetland
50,eces
50,Baby Wipes
50,bioreactor inoculated with peat from an acidic fen and consecutively exposed to oxic and anoxic cycles
49,parsley
49,Lab
49,Surgical site
49,insect
49,Ganjang
49,Chinese sausage
49,Apple dumpster
48,frozen tilapia
48,wheat
48,Ruijin Hosiptal
48,Calf
48,Tongue
48,bronchial wash
48,Popliteal_fossa
48,sterile
48,Anorectal
48,Cooling tower
48,resected colorectal tumor
47,LIVESTOCK FEED
47,tilapia
47,fox
47,Lab generated
47,secreta
47,bronch
47,Domestic animal
47,egg salad
47,Ward
47,ENVO:00010483
47,airway
47,bacteriome
46,serrano pepper
46,pleural cavity
46,chromosome
46,Tonsil
46,Rice seed
46,"Participant hand , Facility 1000"
46,Environ
46,chemically distinct water
46,Northern Sea Otter
46,Cyanide and thiocyanate bioreactor
46,Chile-Peru Current Coastal Province
46,Medard lake
45,gauze pad
45,pool of organs
45,kibble
45,cormorant double crested
45,Pleural effusion
45,bos taurus
45,Semen
45,pituita
45,cell culure
45,satellite cells
45,bark on land
45,flea
45,Balaton lake
45,hydrothermal plume
44,alfalfa sprouts
44,apple
44,Diarrhoea children
44,Meconium
44,Hen
44,Agaricus bisporus production chain
44,bark
44,North Atlantic Ocean
44,biocrust
43,pepper
43,Animal-Goat
43,PAR
43,teat/nipple swab
43,Centre M�dico-Chirurgical InterArm�es Dominique Mattei
43,I
43,peach
43,runoff filter
43,Catch basin
43,metagenomic assembly
43,Landštejn reservoir
43,Wetland A3
43,sashimi
43,nodi lymphatici mesenterici
43,Anaerobic digestion
42,porcine
42,drainage/runoff water
42,Catch Basin
42,Herbaceous Wetland
42,sp
42,ENVO:00002003
42,"Lavage, Bronchial"
42,endotracheal tube
42,Intra-abdominal
42,Disease
42,Infection of surgical site
42,Rectalswab
42,Raw lamb
42,Citellophilus tesquorum
42,surface/open water
42,Entryway Floor
42,nematodes
41,bovine necropsy
41,alfalfa sprout
41,paprika
41,coriander
41,rice
41,ur
41,WW Barachois
41,dung
41,Bronchial lavage
41,sand
41,bloodculture
41,lavage
41,Kantong
40,Retail table eggs
40,frozen lobster tail
40,Wild bird
40,Mouth
40,plasma
40,mutton
40,Camel
40,ENVO:00000428
40,Scotland: Glasgow
40,kefir
40,Puncture Fluids
40,Alicante
40,North Pacific Ocean
40,Mid-Cayman Rise Vent Fluids
40,Aquatic
40,Gossenköllesee lake
40,Retinal epithelial cells
40,Partial nitritation anammox bioreactor
39,cell culuture
39,Kibera
39,Sausage
39,Celery
39,Intermediate-Care Facility
39,"wild bird, Fulica atra"
39,Neck/Axilla
39,sacrum
39,nasogastric tube
39,grassland
39,tuber
39,ventilator shelves
39,Mediterranean Sea
39,anaerobic dechlorinating bioreactor; SDC-9 consortium maintain in serum bottles and exposed to biochar pyrolyzed at different temperatures
39,Citellus undulatus
39,aerobic bioreactor [ENVO:00002123]
38,curry powder
38,egg hatchery
38,fresh basil
38,eggs
38,Turkeys
38,microbial culture
38,Bronchial
38,colostrum
38,queso fresco
38,ceaca
38,Industrial ABE fermentation
38,organic whole grain oatmeal baby cereal
38,hollow stalk
37,Campania
37,whole egg
37,embryo
37,Animal feed
37,punctate
37,oviduct
37,Bovine carcasse
37,saline lake
37,mangrove
37,Cystic fibrosis attention center
37,cystic fibrosis
37,ECG monitors
37,Traditional komiss
37,Bioreactor (Turbidostat)
37,Pasta
37,Milada lake
37,Cortex
37,Most lake
37,Opened Powdered Infant Formula
37,Odocoileus virginianus
36,egg yolk
36,finished product
36,organ
36,ham
36,Hip
36,periphyton
36,Tips
36,Digestive tract
36,Wild Boar
36,Retail Breast
36,seaweed
36,biological product
36,retailer
36,trout
36,silage
36,Hydrothermal Plume
36,2149
36,midgut junction
35,sesame seeds
35,mesenteric nodes
35,peritoneum
35,hydrothorax
35,decubitus
35,Incubator
35,broncho-alveolar lavage
35,Shengli oilfield at Shandong province
35,Čertovo lake
35,Estuarine biome [ENVO:01000020]
35,Microtus brandtii
35,bioreactors innoculated with microbial mats from alkaline soda lake
35,Epidemic materials
35,Bacteremia
34,fertilizer
34,spice
34,catfish
34,alpaca
34,aborted fetus
34,raccoon
34,sepsis
34,Facility K
34,carrot
34,Tilapia
34,Bull prepuce
34,Endotracheal tube
34,Faucet
34,subsurface aquifer
34,Vitamin B2 feed additive
34,Honey
34,cave
34,Powdered Infant Formula
34,Crucian Carp
34,Aquatics
33,Surfaces slaughterhouse
33,turmeric powder
33,Taiwan
33,kale
33,ovary
33,Zoo
33,puncture
33,Mixed Parts
33,All purpose Wheat flour
33,Wooded Wetland
33,Incision
33,Knee
33,gastric juice
33,midgut
33,Atopic Dermatitis
33,tip
33,HTST Pasteurization
33,contaminant
33,Coccyx
33,microbial mat
33,BALs
33,beach
33,Subgingival plaque
33,Cryopreserved PBMC
33,Beach
32,ground
32,Carcasses
32,Cellulitis lesion
32,layer cloacal (backyard)
32,animal infection
32,Facility 5
32,Buttocks
32,Seagull
32,plaque
32,Guttural pouch
32,bronchial secretions
32,bronchial washing
32,Rinsate
32,bronchial washings
32,"Participant hand , Facility 2000"
32,mobile device
32,Ventilator
32,nasal swab
32,salami paste production
32,rehabilitation department
32,haemolymph
32,Onion bulb
32,String method
32,toilet drainpipe
32,Ixodes pacificus
31,Mashed product
31,internal organs
31,Reptile
31,live_animal
31,coyote
31,organism
31,MRV
31,Perianal
31,Facility J
31,Intraabdominal infection
31,Endotracheal
31,CVC
31,Insect
31,Punktat
31,Venous
31,bacteremia
31,Seaweed
31,desert sand
31,peaches
31,whole cell
31,Muscle
31,Footwear Sole
30,pine siskin
30,house sparrow
30,alfalfa seed
30,tahini
30,guacamole
30,mushroom
30,PA
30,WWTP influent
30,ovaries
30,Digestive
30,phlegm
30,cell passaging
30,China
30,supragingival plaque isolated from 88 juvenile twins
30,Abattoir Breast
30,Chilli
30,floor-dry aisle
30,WILD BOAR
30,microbiological samples
30,boreal forest
30,salt lake
30,hypersaline soda lake brine
30,embryonic death
30,tick
30,necrobiome
30,Femoral Arterial Sheath
30,Thiocyanate ramp bioreactor
30,e9.5 right ventricular septum
30,organic whole grain oatmeal cereal
30,nasophraynx
30,The Red Sea
29,Uknown
29,herring gull
29,Unspecified Bird
29,bovine feed
29,litter
29,Animal-Calf-Non Formula-fed Veal
29,broth
29,Abdominal
