synonym,canonical,taxid,confidence,rank,superkingdom,lineage,current_note,recommended_action,action_detail
Acmispon brachycarpus,Acmispon brachycarpus,390700,high,species,Eukaryota,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;rosids;fabids;Fabales;Fabaceae;Papilionoideae;50 kb inversion clade;NPAAA clade;Hologalegina;robinioid clade;Loteae;Acmispon;Acmispon brachycarpus,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Phascolarctos cinereus,Phascolarctos cinereus,38626,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Metatheria;Diprotodontia;Phascolarctidae;Phascolarctos;Phascolarctos cinereus,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Milvus milvus,Milvus milvus,43518,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Archelosauria;Archosauria;Dinosauria;Saurischia;Theropoda;Coelurosauria;Aves;Neognathae;Neoaves;Telluraves;Accipitrimorphae;Accipitriformes;Accipitridae;Accipitrinae;Milvus;Milvus milvus,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Apis cerana,Apis cerana,7461,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Altocrustacea;Allotriocarida;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Eumetabola;Endopterygota;Hymenoptera;Apocrita;Aculeata;Apoidea;Anthophila;Apidae;Apinae;Apini;Apis;Apis cerana,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Lathyrus oleraceus,Lathyrus oleraceus,3888,high,species,Eukaryota,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;rosids;fabids;Fabales;Fabaceae;Papilionoideae;50 kb inversion clade;NPAAA clade;Hologalegina;IRL clade;Fabeae;Lathyrus;Lathyrus oleraceus,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Cervus elaphus,Cervus elaphus,9860,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Eutheria;Boreoeutheria;Laurasiatheria;Artiodactyla;Ruminantia;Pecora;Cervidae;Cervinae;Cervus;Cervus elaphus,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Neogale vison,Neogale vison,452646,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Eutheria;Boreoeutheria;Laurasiatheria;Carnivora;Caniformia;Musteloidea;Mustelidae;Mustelinae;Neogale;Neogale vison,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Bos primigenius taurus,Bos primigenius taurus,9913,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Eutheria;Boreoeutheria;Laurasiatheria;Artiodactyla;Ruminantia;Pecora;Bovidae;Bovinae;Bos;Bos taurus,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Ixodes ricinus,Ixodes ricinus,34613,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Chelicerata;Arachnida;Acari;Parasitiformes;Ixodida;Ixodoidea;Ixodidae;Ixodinae;Ixodes;Ixodes ricinus,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Populus alba,Populus alba,43335,high,species,Eukaryota,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;rosids;fabids;Malpighiales;Salicaceae;Saliceae;Populus;Populus alba,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Dermacentor nuttalli,Dermacentor nuttalli,1046038,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Chelicerata;Arachnida;Acari;Parasitiformes;Ixodida;Ixodoidea;Ixodidae;Rhipicephalinae;Dermacentor;Dermacentor nuttalli,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Brassica napus,Brassica napus,3708,high,species,Eukaryota,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;rosids;malvids;Brassicales;Brassicaceae;Brassiceae;Brassica;Brassica napus,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Pteropus poliocephalus,Pteropus poliocephalus,9403,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Eutheria;Boreoeutheria;Laurasiatheria;Chiroptera;Yinpterochiroptera;Pteropodoidea;Pteropodidae;Pteropodinae;Pteropus;Pteropus poliocephalus,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Pteropus livingstonii,Pteropus livingstonii,589508,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Eutheria;Boreoeutheria;Laurasiatheria;Chiroptera;Yinpterochiroptera;Pteropodoidea;Pteropodidae;Pteropodinae;Pteropus;Pteropus livingstonii,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Larus michahellis,Larus michahellis,119627,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Archelosauria;Archosauria;Dinosauria;Saurischia;Theropoda;Coelurosauria;Aves;Neognathae;Neoaves;Charadriiformes;Laridae;Larus;Larus michahellis,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Diaphorina citri,Diaphorina citri,121845,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Ecdysozoa;Panarthropoda;Arthropoda;Mandibulata;Pancrustacea;Altocrustacea;Allotriocarida;Hexapoda;Insecta;Dicondylia;Pterygota;Neoptera;Eumetabola;Paraneoptera;Hemiptera;Sternorrhyncha;Psylloidea;Psyllidae;Diaphorininae;Diaphorina;Diaphorina citri,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Arachis hypogaea,Arachis hypogaea,3818,high,species,Eukaryota,cellular organisms;Eukaryota;Viridiplantae;Streptophyta;Streptophytina;Embryophyta;Tracheophyta;Euphyllophyta;Spermatophyta;Magnoliopsida;Mesangiospermae;eudicotyledons;Gunneridae;Pentapetalae;rosids;fabids;Fabales;Fabaceae;Papilionoideae;50 kb inversion clade;dalbergioids sensu lato;Dalbergieae;Pterocarpus clade;Arachis;Arachis hypogaea,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Vulpes zerda,Vulpes zerda,68732,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Eutheria;Boreoeutheria;Laurasiatheria;Carnivora;Caniformia;Canidae;Vulpes;Vulpes zerda,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Coloeus monedula,Coloeus monedula,30423,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Sauropsida;Sauria;Archelosauria;Archosauria;Dinosauria;Saurischia;Theropoda;Coelurosauria;Aves;Neognathae;Neoaves;Telluraves;Australaves;Passeriformes;Corvoidea;Corvidae;Coloeus;Coloeus monedula,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Agaricus bisporus,Agaricus bisporus,5341,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Agaricomycetes;Agaricomycetidae;Agaricales;Agaricineae;Agaricaceae;Agaricus;Agaricus bisporus,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Ictalurus punctatus,Ictalurus punctatus,7998,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Actinopterygii;Actinopteri;Neopterygii;Teleostei;Osteoglossocephalai;Clupeocephala;Otomorpha;Ostariophysi;Otophysi;Characiphysae;Siluriformes;Siluroidei;Ictaluridae;Ictalurus;Ictalurus punctatus,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Apodemus agrarius,Apodemus agrarius,39030,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Eutheria;Boreoeutheria;Euarchontoglires;Glires;Rodentia;Myomorpha;Muroidea;Muridae;Murinae;Apodemus;Apodemus agrarius,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Marmota himalayana,Marmota himalayana,93163,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Eutheria;Boreoeutheria;Euarchontoglires;Glires;Rodentia;Sciuromorpha;Sciuridae;Xerinae;Marmotini;Marmota;Marmota himalayana,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Vulpes lagopus,Vulpes lagopus,494514,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Deuterostomia;Chordata;Craniata;Vertebrata;Gnathostomata;Teleostomi;Euteleostomi;Sarcopterygii;Dipnotetrapodomorpha;Tetrapoda;Amniota;Mammalia;Theria;Eutheria;Boreoeutheria;Laurasiatheria;Carnivora;Caniformia;Canidae;Vulpes;Vulpes lagopus,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
Alviniconcha boucheti,Alviniconcha boucheti,1491183,high,species,Eukaryota,cellular organisms;Eukaryota;Opisthokonta;Metazoa;Eumetazoa;Bilateria;Protostomia;Spiralia;Lophotrochozoa;Mollusca;Gastropoda;Caenogastropoda;Caenogastropoda incertae sedis;Abyssochrysoidea;Provannidae;Alviniconcha;Alviniconcha boucheti,NCBI Taxonomy name2taxid reviewed import,keep,TaxID lineage is not bacterial/archaeal/viral.
